小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称
idelalisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",HDAC11 — Histone deacetylase 11,PANOBINOSTAT
betrixaban,Coagulation factor X,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）
tedizolid,Bacterial 70S ribosome,NTRK2 — BDNF/NT-3 growth factors receptor,MIDOSTAURIN
clascoterone,Androgen receptor,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE
levamlodipine,Voltage-gated L-type calcium channel,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）
acetaminophen,Cyclooxygenase; Fatty-acid amide hydrolase 1; Transient receptor potential cation channel subfamily V member 1,MIF — Macrophage migration inhibitory factor,BTZO-1
gemcitabine,DNA polymerase (alpha/delta/epsilon); Ribonucleoside-diphosphate reductase RR1,DNMT1 — DNA (cytosine-5)-methyltransferase 1,研究化合物 CHEMBL5592841（无通用名称）
pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE
thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,VORINOSTAT
etonogestrel,Progesterone receptor,ESR2 — Estrogen receptor beta,RALOXIFENE
bictegravir,Human immunodeficiency virus type 1 integrase,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126
baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC1 — Histone deacetylase 1,VORINOSTAT
articaine,Sodium channel alpha subunit,MME — Neprilysin,OMAPATRILAT
oxycodone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE
bempedoic acid,ATP-citrate synthase,MMP3 — Stromelysin-1,ILOMASTAT
olmesartan,Type-1 angiotensin II receptor,MME — Neprilysin,OMAPATRILAT
duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",HDAC11 — Histone deacetylase 11,PANOBINOSTAT
nilotinib,Bcr/Abl fusion protein; Tyrosine-protein kinase ABL1,GART — Trifunctional purine biosynthetic protein adenosine-3,研究化合物 CHEMBL5653589（无通用名称）
landiolol,Beta-1 adrenergic receptor,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE
rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,YES1 — Tyrosine-protein kinase Yes,STAUROSPORINE
capmatinib,Hepatocyte growth factor receptor,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126
bempedoic acid,ATP-citrate synthase,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN
thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
nicotine,Neuronal acetylcholine receptor; alpha4/beta2,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB
paroxetine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE
lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,VORINOSTAT
ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,IGF1R — Insulin-like growth factor 1 receptor,LINSITINIB
nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）
articaine,Sodium channel alpha subunit,XDH — Xanthine dehydrogenase/oxidase,FEBUXOSTAT
pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,CDK9 — Cyclin-dependent kinase 9,DINACICLIB
rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,FYN — Tyrosine-protein kinase Fyn,DASATINIB ANHYDROUS
teriflunomide,"Dihydroorotate dehydrogenase (quinone), mitochondrial",XDH — Xanthine dehydrogenase/oxidase,FEBUXOSTAT
baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
dabrafenib,Serine/threonine-protein kinase B-raf,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",GEDATOLISIB
ruxolitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
alvimopan,Mu-type opioid receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）
retapamulin,70S ribosome,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS
pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
brivaracetam,Synaptic vesicle glycoprotein 2A,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
meropenem,Bacterial penicillin-binding protein,MMP7 — Matrilysin,PRINOMASTAT
mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE
ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
epinephrine,Adrenergic receptor,FAAH — Fatty-acid amide hydrolase 1,MK-3168
eltrombopag,Thrombopoietin receptor,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS
vorapaxar,Proteinase-activated receptor 1,DPP4 — Dipeptidyl peptidase 4,LINAGLIPTIN
bazedoxifene,Estrogen receptor,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,VANDETANIB
hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,TYK2 — Non-receptor tyrosine-protein kinase TYK2,TOFACITINIB
perampanel,Glutamate receptor ionotropic AMPA,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE
calcipotriene,Vitamin D3 receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）
imipenem,Bacterial penicillin-binding protein,FAAH — Fatty-acid amide hydrolase 1,MK-3168
meloxicam,Prostaglandin G/H synthase 2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）
crisaborole,Phosphodiesterase 4,FAAH — Fatty-acid amide hydrolase 1,MK-3168
deutetrabenazine,Synaptic vesicular amine transporter,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT
tazemetostat,Histone-lysine N-methyltransferase EZH2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）
zavegepant,"Calcitonin gene-related peptide type 1 receptor; Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",INSR — Insulin receptor,STAUROSPORINE
olmesartan,Type-1 angiotensin II receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）
atrasentan,Endothelin-1 receptor,ERBB2 — Receptor tyrosine-protein kinase erbB-2,IBRUTINIB
colchicine,Tubulin,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS
ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE
methylnaltrexone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE
raloxifene,Estrogen receptor; Estrogen receptor beta,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,VANDETANIB
olopatadine,Histamine H1 receptor,NR3C1 — Glucocorticoid receptor,PREDNISONE
amisulpride,Dopamine receptors; D2 & D3; Serotonin (5-HT) receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE
ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126
aclidinium,Muscarinic acetylcholine receptor M3,PPARG — Peroxisome proliferator-activated receptor gamma,PIOGLITAZONE
enzalutamide,Androgen receptor,NTRK1 — High affinity nerve growth factor receptor,STAUROSPORINE
glycopyrronium,Muscarinic acetylcholine receptor; Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE
dolutegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE
pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,"PDE3A — cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",研究化合物 CHEMBL4247714（无通用名称）
vigabatrin,"4-aminobutyrate aminotransferase, mitochondrial",MMP8 — Neutrophil collagenase,CIPEMASTAT
vardenafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
trametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2; Dual specificity mitogen-activated protein kinase kinase; MEK1/2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）
mesalamine,Cyclooxygenase; Peroxisome proliferator-activated receptor gamma; Polyunsaturated fatty acid 5-lipoxygenase,XDH — Xanthine dehydrogenase/oxidase,FEBUXOSTAT
rivaroxaban,Coagulation factor X,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS
selumetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT
sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE
sufentanil,Mu-type opioid receptor,F12 — Coagulation factor XII,SEPIMOSTAT
levamlodipine,Voltage-gated L-type calcium channel,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE
calcipotriene,Vitamin D3 receptor,AR — Androgen receptor,TESTOSTERONE
norephinephrine,Adrenergic receptor,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB
brexpiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",TADALAFIL
aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,PTK2 — Focal adhesion kinase 1,STAUROSPORINE
ivosidenib,Isocitrate dehydrogenase [NADP] cytoplasmic,AKT1 — RAC-alpha serine/threonine-protein kinase,IPATASERTIB
afatinib,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
baclofen,GABA-B receptor,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
clobazam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS
ozenoxacin,DNA gyrase; DNA topoisomerase IV; Topoisomerase IV,TYK2 — Non-receptor tyrosine-protein kinase TYK2,TOFACITINIB
dexrazoxane,DNA topoisomerase II; Iron,MMP7 — Matrilysin,PRINOMASTAT
rolapitant,Substance-P receptor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）
glasdegib,Protein smoothened,FLT3 — Receptor-type tyrosine-protein kinase FLT3,SUNITINIB
bempedoic acid,ATP-citrate synthase,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）
pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",GEDATOLISIB
relugolix,Gonadotropin-releasing hormone receptor,KDR — Vascular endothelial growth factor receptor 2,SUNITINIB
oliceridine,Mu-type opioid receptor,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
diazepam,GABA-A receptor; anion channel,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE
dimethyl fumarate,Kelch-like ECH-associated protein 1,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN
linagliptin,Dipeptidyl peptidase 4,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",TADALAFIL
colchicine,Tubulin,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT
umeclidinium,Muscarinic acetylcholine receptor M3,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
brexanolone,GABA-A receptor; anion channel,ESR1 — Estrogen receptor,RALOXIFENE
ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,PRKCB — Protein kinase C beta type,ENZASTAURIN
chloroprocaine,Sodium channel alpha subunit,ACHE — Acetylcholinesterase,DONEPEZIL
cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
etonogestrel,Progesterone receptor,CYP19A1 — Aromatase,ANASTROZOLE
indacaterol,Beta-2 adrenergic receptor,TYK2 — Non-receptor tyrosine-protein kinase TYK2,TOFACITINIB
umeclidinium,Muscarinic acetylcholine receptor M3,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）
varenicline,Neuronal acetylcholine receptor; alpha4/beta2,MAPKAPK2 — MAP kinase-activated protein kinase 2,STAUROSPORINE
copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK3 — NT-3 growth factor receptor,STAUROSPORINE
benoxinate,Sodium channel alpha subunit,PPARD — Peroxisome proliferator-activated receptor delta,GW 0742
migalastat,Alpha-galactosidase A,UMPS — Uridine 5'-monophosphate synthase,研究化合物 CHEMBL5653589（无通用名称）
sonidegib,Protein smoothened,NTRK2 — BDNF/NT-3 growth factors receptor,MIDOSTAURIN
pilocarpine,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",BIFONAZOLE
lesinurad,Solute carrier family 22 member 12,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT
tedizolid,Bacterial 70S ribosome,"PDE10A — cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",研究化合物 CHEMBL248380（无通用名称）
trospium,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE
remimazolam,GABA-A receptor; anion channel,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）
epinephrine,Adrenergic receptor,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,研究化合物 CHEMBL3113617（无通用名称）
imipenem,Bacterial penicillin-binding protein,MMP8 — Neutrophil collagenase,CIPEMASTAT
osilodrostat,"Cytochrome P450 11B1, mitochondrial",UGCG — Ceramide glucosyltransferase,ELIGLUSTAT
tedizolid,Bacterial 70S ribosome,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE
furosemide,Solute carrier family 12 member 1,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）
ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,PDGFRA — Platelet-derived growth factor receptor alpha,SUNITINIB
bempedoic acid,ATP-citrate synthase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE
macimorelin,Growth hormone secretagogue receptor type 1,MMP3 — Stromelysin-1,ILOMASTAT
pantoprazole,Potassium-transporting ATPase,"NOS2 — Nitric oxide synthase, inducible",1400W
asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE
palonosetron,5-hydroxytryptamine receptor 3A,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT
remimazolam,GABA-A receptor; anion channel,ACHE — Acetylcholinesterase,DONEPEZIL
lifitegrast,Integrin alpha-L/beta-2 (LFA-1),TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE
copanlisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",NTRK2 — BDNF/NT-3 growth factors receptor,MIDOSTAURIN
sonidegib,Protein smoothened,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS
oliceridine,Mu-type opioid receptor,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",KETOCONAZOLE
tetracaine,Sodium channel alpha subunit,F12 — Coagulation factor XII,SEPIMOSTAT
tedizolid,Bacterial 70S ribosome,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN
eltrombopag,Thrombopoietin receptor,HCK — Tyrosine-protein kinase HCK,STAUROSPORINE
dexrazoxane,DNA topoisomerase II; Iron,MMP8 — Neutrophil collagenase,CIPEMASTAT
remimazolam,GABA-A receptor; anion channel,FAAH — Fatty-acid amide hydrolase 1,MK-3168
lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT
edoxaban,Coagulation factor X,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）
fluvoxamine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE
fenofibric acid,Peroxisome proliferator-activated receptor alpha,CYP19A1 — Aromatase,ANASTROZOLE
avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）
riluzole,Sodium channel alpha subunit,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE
dexmethylphenidate,Sodium-dependent dopamine transporter; Sodium-dependent noradrenaline transporter,AKT3 — RAC-gamma serine/threonine-protein kinase,STAUROSPORINE
efavirenz,Human immunodeficiency virus type 1 reverse transcriptase,AR — Androgen receptor,TESTOSTERONE
avanafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",ROLIPRAM
metformin,"Glycerol-3-phosphate dehydrogenase, mitochondrial; Mitochondrial complex I (NADH dehydrogenase)",JAK2 — Tyrosine-protein kinase JAK2,RUXOLITINIB
deutetrabenazine,Synaptic vesicular amine transporter,COMT — Catechol O-methyltransferase,OPICAPONE
morphine,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE
duloxetine,Sodium-dependent noradrenaline transporter; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,DONEPEZIL
