对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途,pair_id,原对照编号,替换前对照名称,替换前对照ChEMBL编号,对照修订版本,本次FDA替换,FDA身份状态,FDA审批申请号,FDA审批来源,对照构建适用条件,替换依据,选用参考activity_id,选用参考端点,选用参考值_nM,选用参考实验描述,对照原靶点名称,对照原靶点编号,对照原作用机制
CTRL-030,NR3C1 — Glucocorticoid receptor,PREDNISONE,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL2034,NR3C1,PREDNISONE,Kd_RECORD_PRESENT,CHEMBL4680589,CHEMBL4680066,10.1039/d0md00278j,XOFYZVNMUHMLCC-ZPOLXVRWSA-N__CHEMBL2034,每个靶点另计参考；不计入384候选；不是384次重复采购,XOFYZVNMUHMLCC-ZPOLXVRWSA-N__CHEMBL2034,CTRL-030,PREDNISONE,CHEMBL635,20260910_FDA_V2,False,FDA名称匹配；精确结构身份待复核,ANDA040256; ANDA040362; ANDA040392; ANDA040581; ANDA040584; ANDA040611; ANDA080352; ANDA080356; ANDA083677; ANDA084275; ANDA085161; ANDA085162; ANDA088703; ANDA088810; ANDA089247; ANDA208412; ANDA210785; ANDA211575; ANDA212629; ANDA213385; ANDA213386; ANDA215246; ANDA215671; ANDA215672; ANDA218035; ANDA219477,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040256; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040362; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040392,,,,,,,Glucocorticoid receptor,CHEMBL2034,Glucocorticoid receptor agonist
CTRL-FDA-031,MAOB — Amine oxidase [flavin-containing] B,SAFINAMIDE,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL396778,NEMGRZFTLSKBAP-LBPRGKRZSA-N,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,CHEMBL2039,MAOB,LAZABEMIDE,Kd_RECORD_PRESENT,CHEMBL3404821,CHEMBL3399931,10.1016/j.bmc.2014.12.063,JZXRLKWWVNUZRB-UHFFFAOYSA-N__CHEMBL2039,每个靶点另计参考；不计入384候选；不是384次重复采购,NEMGRZFTLSKBAP-LBPRGKRZSA-N__CHEMBL2039,CTRL-031,LAZABEMIDE,CHEMBL279390,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA207145,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207145,人源活性MAO-B含FAD；来源为微粒体重组蛋白ITC，需核对膜环境/去污剂与固定化影响。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,15163775,Kd,187.2,Binding affinity to human recombinant microsomal MAO-B by ITC,Amine oxidase [flavin-containing] B,CHEMBL2039,Monoamine oxidase B inhibitor
CTRL-FDA-032,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,VANDETANIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL24828,UHTHHESEBZOYNR-UHFFFAOYSA-N,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,CHEMBL2041,RET,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061179,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2041,每个靶点另计参考；不计入384候选；不是384次重复采购,UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL2041,CTRL-032,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022405,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022405,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2906660,Kd,34.0,Binding constant for RET kinase domain,Angiopoietin-1 receptor; Ephrin receptor; Epidermal growth factor receptor; Protein-tyrosine kinase 6; Proto-oncogene tyrosine-protein kinase Src; Proto-oncogene tyrosine-protein kinase receptor Ret; Vascular endothelial growth factor receptor,CHEMBL2041; CHEMBL2095227; CHEMBL2363043; CHEMBL2363049; CHEMBL267; CHEMBL4128; CHEMBL4601,Ephrin receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor
CTRL-033,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,True,通用名称已收录,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL205,CA2,DORZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL2329241; CHEMBL3419421; CHEMBL3419422; CHEMBL3588577,CHEMBL2321768; CHEMBL3414464; CHEMBL3585326,10.1016/j.bmc.2015.04.019; 10.1016/j.bmcl.2012.12.058; 10.1021/acs.jmedchem.5b00043,IAVUPMFITXYVAF-XPUUQOCRSA-N__CHEMBL205,每个靶点另计参考；不计入384候选；不是384次重复采购,IAVUPMFITXYVAF-XPUUQOCRSA-N__CHEMBL205,CTRL-033,DORZOLAMIDE,CHEMBL218490,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA202667,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202667,,,,,,,Carbonic anhydrase 2,CHEMBL205,Carbonic anhydrase II inhibitor
CTRL-FDA-034,ESR1 — Estrogen receptor,RALOXIFENE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL81,GZUITABIAKMVPG-UHFFFAOYSA-N,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL206,ESR1,CHEMBL377849,Ki_NO_Kd_RECORD,CHEMBL983675,CHEMBL1144155,10.1016/j.bmcl.2008.07.121,ANMCTAWGJSYPPA-LPYMAVHISA-N__CHEMBL206,每个靶点另计参考；不计入384候选；不是384次重复采购,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL206,CTRL-034,研究化合物 CHEMBL377849（无通用名称）,CHEMBL377849,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022042,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022042,人源ERalpha完整配体结合域；来源使用全长受体的竞争结合。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2369799,Ki,2.0,Displacement of [3H]estradiol from full length biotinylated human ERalpha by scintillation proximity assay,Estrogen receptor; Estrogen receptor beta,CHEMBL206; CHEMBL242,Estrogen receptor beta modulator; Estrogen receptor modulator
CTRL-035,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,CHEMBL2063,UGCG,ELIGLUSTAT,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL3599363,CHEMBL3596159,10.1039/C4MD00086B,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL2063,每个靶点另计参考；不计入384候选；不是384次重复采购,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL2063,CTRL-035,ELIGLUSTAT,CHEMBL2110588,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA205494,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205494,,,,,,,Ceramide glucosyltransferase,CHEMBL2063,Ceramide glucosyltransferase inhibitor
CTRL-036,YES1 — Tyrosine-protein kinase Yes,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2073,YES1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051262; CHEMBL3820678; CHEMBL4050200; CHEMBL4328656; CHEMBL5720944; CHEMBL859642,CHEMBL1144455; CHEMBL1150977; CHEMBL3817824; CHEMBL4049399; CHEMBL4325871; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.02.030; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2073,每个靶点另计参考；不计入384候选；不是384次重复采购,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2073,CTRL-036,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-037,PGR — Progesterone receptor,NORETHINDRONE,True,FDA获批药物精确结构已匹配,Ki,FDA药物拟用对照；本次依据Ki记录，非SPR实测Kd；待实验室确认构建并测通,CHEMBL1162,VIKNJXKGJWUCNN-XGXHKTLJSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,CHEMBL208,PGR,CHEMBL2311103,Ki_NO_Kd_RECORD,CHEMBL765846,CHEMBL1131299,10.1021/jm9705770,IJLXLZGJDSJGIQ-BILPMHSYSA-N__CHEMBL208,每个靶点另计参考；不计入384候选；不是384次重复采购,VIKNJXKGJWUCNN-XGXHKTLJSA-N__CHEMBL208,CTRL-037,研究化合物 CHEMBL2311103（无通用名称）,CHEMBL2311103,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022001; NDA022501; NDA204426; NDA213388; NDA214846; NDA218718,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022001; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022501; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204426,PR-A或包含相同完整配体结合域的构建；核对受体亚型。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,700985,Ki,1.87,The binding affinity measured using baculovirus-expressed hPR-A in sf21 cells.,Progesterone receptor,CHEMBL208,Progesterone receptor agonist
CTRL-038,MIF — Macrophage migration inhibitory factor,BTZO-1,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL4516611,GBAKVEWPYUIGHN-UHFFFAOYSA-N,O=c1nc(-c2ccccn2)sc2ccccc12,CHEMBL2085,MIF,BTZO-1,Kd_RECORD_PRESENT,CHEMBL4886501; CHEMBL5210492; CHEMBL5717025; CHEMBL5717028; CHEMBL5717040,CHEMBL4507329; CHEMBL5210307; CHEMBL5715946,10.1016/j.chembiol.2010.10.011; 10.6019/CHEMBL4507329; 10.6019/CHEMBL5210307,GBAKVEWPYUIGHN-UHFFFAOYSA-N__CHEMBL2085,每个靶点另计参考；不计入384候选；不是384次重复采购,GBAKVEWPYUIGHN-UHFFFAOYSA-N__CHEMBL2085,CTRL-038,BTZO-1,CHEMBL4516611,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-039,JAK3 — Tyrosine-protein kinase JAK3,TOFACITINIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL221959,UJLAWZDWDVHWOW-YPMHNXCESA-N,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL2148,JAK3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051335,CHEMBL1150977,10.1038/nbt1358,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2148,每个靶点另计参考；不计入384候选；不是384次重复采购,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL2148,CTRL-039,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA203214; NDA208246; NDA213082,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203214; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208246; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213082,JH1催化域；不得用于只有JH2假激酶域的构建。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,2895854,Kd,2.2,Binding constant for JAK3(Kin.Dom.2/JH1 - catalytic) kinase domain,Janus Kinase (JAK),CHEMBL2363062,Janus Kinase (JAK) inhibitor
CTRL-040,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,研究化合物 CHEMBL3113617（无通用名称）,True,仅研究编号，实物待落实,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL3113617,RFZWCDJCCQBGPO-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)O)c3ccccc32)cc1,CHEMBL215,ALOX5,CHEMBL3113617,Ki_NO_Kd_RECORD,CHEMBL3118894; CHEMBL3118900,CHEMBL3112507,10.1016/j.bmc.2014.01.027,RFZWCDJCCQBGPO-UHFFFAOYSA-N__CHEMBL215,每个靶点另计参考；不计入384候选；不是384次重复采购,RFZWCDJCCQBGPO-UHFFFAOYSA-N__CHEMBL215,CTRL-040,研究化合物 CHEMBL3113617（无通用名称）,CHEMBL3113617,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-041,GBA1 — Lysosomal acid glucosylceramidase,研究化合物 CHEMBL5951426（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5951426,VIPLIVNKNZODIT-UHFFFAOYSA-O,CN(C)c1ccc2c(-c3ccc(C(=O)NCCOCCOCCOCCOCCC(=O)NCCCCCC(=O)Nc4ccc(-c5nc(NC6Cc7ccccc7C6)c6ccccc6n5)cc4)cc3OC=O)c3ccc(=[N+](C)C)cc-3oc2c1,CHEMBL2179,GBA1,CHEMBL5951426,Kd_RECORD_PRESENT,CHEMBL5731965,CHEMBL5726058,,VIPLIVNKNZODIT-UHFFFAOYSA-O__CHEMBL2179,每个靶点另计参考；不计入384候选；不是384次重复采购,VIPLIVNKNZODIT-UHFFFAOYSA-O__CHEMBL2179,CTRL-041,研究化合物 CHEMBL5951426（无通用名称）,CHEMBL5951426,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-042,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3287735,FKSFKBQGSFSOSM-QFIPXVFZSA-N,CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21,CHEMBL2189110,EZH2,GSK2816126,Kd_RECORD_PRESENT,CHEMBL3417985; CHEMBL3417986; CHEMBL3417987; CHEMBL3417988; CHEMBL3417989; CHEMBL3417990; CHEMBL3418240; CHEMBL3418486; CHEMBL3607425; CHEMBL3607426; CHEMBL3607427; CHEMBL4833634; CHEMBL4833635; CHEMBL5039016; CHEMBL5319234; CHEMBL5340358; CHEMBL5518866; CHEMBL5518867; CHEMBL5709054; CHEMBL5713837,CHEMBL3414551; CHEMBL3603747; CHEMBL4831544; CHEMBL5038571; CHEMBL5316326; CHEMBL5338739; CHEMBL5518170; CHEMBL5705896; CHEMBL5712895,10.1016/j.bmcl.2015.06.056; 10.1016/j.ejmech.2023.116054; 10.1021/acs.jmedchem.0c02234; 10.1021/acs.jmedchem.1c01154; 10.1021/acs.jmedchem.2c01370; 10.1021/acs.jmedchem.3c00003; 10.1021/cb400133j; 10.1021/jm501234a; 10.1534/g3.117.300311,FKSFKBQGSFSOSM-QFIPXVFZSA-N__CHEMBL2189110,每个靶点另计参考；不计入384候选；不是384次重复采购,FKSFKBQGSFSOSM-QFIPXVFZSA-N__CHEMBL2189110,CTRL-042,GSK2816126,CHEMBL3287735,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-043,ACHE — Acetylcholinesterase,DONEPEZIL,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL502,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL220,ACHE,HUPERZINE A,Kd_RECORD_PRESENT,CHEMBL4815506,CHEMBL4813953,10.1021/acs.jmedchem.0c01863,ZRJBHWIHUMBLCN-YQEJDHNASA-N__CHEMBL220,每个靶点另计参考；不计入384候选；不是384次重复采购,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,CTRL-043,HUPERZINE A,CHEMBL395280,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA022568; NDA206439,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022568; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206439,人源重组AChE；已有CM5固定SPR记录，仍须本批蛋白和芯片条件测通。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,23176017,Kd,8.0,Binding affinity to CM5 sensor chip immobilized recombinant human AChE assessed as dissociation constant at 298.15 K by surface plasmon resonance assay,Acetylcholinesterase,CHEMBL220,Acetylcholinesterase inhibitor
CTRL-044,MAPKAPK2 — MAP kinase-activated protein kinase 2,STAUROSPORINE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2208,MAPKAPK2,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061090; CHEMBL1071870; CHEMBL1071871; CHEMBL1071872; CHEMBL1071873; CHEMBL4328480; CHEMBL4720673; CHEMBL5720781; CHEMBL864421,CHEMBL1146102; CHEMBL1150977; CHEMBL1153133; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2005.12.065; 10.1016/j.bmcl.2009.10.102; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2208,每个靶点另计参考；不计入384候选；不是384次重复采购,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2208,CTRL-044,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-045,FAAH — Fatty-acid amide hydrolase 1,MK-3168,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N,CN(C)C(=O)[C@H]1C[C@@H]1c1ccc(-c2ncn(C)c2Sc2ccc(Cl)cn2)cc1,CHEMBL2243,FAAH,MK-3168,Kd_RECORD_PRESENT,CHEMBL2388902,CHEMBL2385021,10.1021/ml4000996,WRBFPGYDKJBYBI-SJORKVTESA-N__CHEMBL2243,每个靶点另计参考；不计入384候选；不是384次重复采购,WRBFPGYDKJBYBI-SJORKVTESA-N__CHEMBL2243,CTRL-045,MK-3168,CHEMBL2386558,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-046,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,CHEMBL2252,CTSC,BRENSOCATIB,Kd_RECORD_PRESENT,CHEMBL3859628; CHEMBL3859629; CHEMBL3859664; CHEMBL3859666; CHEMBL3859667; CHEMBL3859668; CHEMBL3859669; CHEMBL4829859; CHEMBL4829860; CHEMBL4829861; CHEMBL5733670; CHEMBL6093420,CHEMBL3856275; CHEMBL4828733; CHEMBL5726916; CHEMBL6092168,10.1016/j.ejmech.2024.116914; 10.1021/acs.jmedchem.1c00104; 10.1021/acs.jmedchem.6b01127,AEXFXNFMSAAELR-RXVVDRJESA-N__CHEMBL2252,每个靶点另计参考；不计入384候选；不是384次重复采购,AEXFXNFMSAAELR-RXVVDRJESA-N__CHEMBL2252,CTRL-046,BRENSOCATIB,CHEMBL3900409,20260910_FDA_V2,False,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA217673,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217673,,,,,,,Dipeptidyl peptidase 1,CHEMBL2252,Dipeptidyl peptidase I inhibitor
CTRL-047,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2276,MAPK8,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061076; CHEMBL4050190; CHEMBL4328461; CHEMBL4720692; CHEMBL5386176; CHEMBL5386789; CHEMBL5636346; CHEMBL5720763; CHEMBL6124983; CHEMBL860799,CHEMBL1144455; CHEMBL1150977; CHEMBL4049399; CHEMBL4325871; CHEMBL4715818; CHEMBL5385844; CHEMBL5385856; CHEMBL5634117; CHEMBL5715954; CHEMBL6121018,10.1016/j.bmc.2017.02.030; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2022.114894; 10.1016/j.ejmech.2022.114917; 10.1016/j.ejmech.2023.115779; 10.1016/j.ejmech.2024.117209; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2276,每个靶点另计参考；不计入384候选；不是384次重复采购,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2276,CTRL-047,STAUROSPORINE,CHEMBL388978,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
CTRL-FDA-048,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,ABEMACICLIB,True,FDA获批药物精确结构已匹配,Kd,FDA药物拟用对照；有选用Kd结合记录；待实验室确认构建并测通,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CHEMBL2292,DYRK1A,HARMINE,Kd_RECORD_PRESENT,CHEMBL5251383,CHEMBL5247649,10.1021/acs.jmedchem.2c02068,BXNJHAXVSOCGBA-UHFFFAOYSA-N__CHEMBL2292,每个靶点另计参考；不计入384候选；不是384次重复采购,UZWDCWONPYILKI-UHFFFAOYSA-N__CHEMBL2292,CTRL-048,HARMINE,CHEMBL269538,20260910_FDA_V2,True,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDA208716; NDA208855,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208716; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208855,包含完整药物结合位点的人源野生型胞内激酶域；不适用于仅胞外结构域，需确认活性构象。,替换拟用对照；FDA身份与具体活性记录已核对，实验室构建和SPR适用性仍待确认,25065162,Kd,3.349,Binding affinity to human DYRK1A assessed as equilibrium dissociation constant measured upto 240 min by TR-FRET assay,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6,CHEMBL2508; CHEMBL331,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor
CTRL-049,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL2326,CA7,ETHOXZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL2446503; CHEMBL828071,CHEMBL1141985; CHEMBL2439997,10.1016/j.bmc.2013.09.029; 10.1016/j.bmcl.2004.12.052,OUZWUKMCLIBBOG-UHFFFAOYSA-N__CHEMBL2326,每个靶点另计参考；不计入384候选；不是384次重复采购,OUZWUKMCLIBBOG-UHFFFAOYSA-N__CHEMBL2326,CTRL-049,ETHOXZOLAMIDE,CHEMBL18,20260910_FDA_V2,False,本轮未确认FDA批准身份,,,,,,,,,,,
