drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits,origin_scope_note
oxycodone,NEURO_PSYCHIATRIC,替代治疗不足、需阿片的重度疼痛；剂型/持续治疗/耐受性限制依原文,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=928227bf-89c5-4c64-9823-0e84cc669388;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=585405bc-8b85-286f-e063-6394a90aa5cd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=744f5d1c-7427-492c-8994-c8e817793e53;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6b6db42b-9821-4aa6-8566-297037d84079,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
ozenoxacin,INFECTION;DERMATOLOGIC,XEPI 1% 外用乳膏：≥2月龄金黄色葡萄球菌或化脓链球菌所致脓疱疮,EXTERNAL_REVIEWED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208945s001lbl.pdf,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 FDA 2019 标签；仅皮肤外用，非口服/眼用/阴道用；不外推全身感染适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
palonosetron,GASTROINTESTINAL,成人及特定儿科化疗相关恶心呕吐预防；成人术后恶心呕吐预防至24h；低风险不常规预防；非抗癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ee6f6f94-1ca7-481e-9909-b19ae64e80c2;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb2be46a-56f7-48b6-bb05-3c6b12c8b1ea;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=689c953c-2120-2546-67a4-22bb34ba3330;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=42e2d437-0712-4e9c-9c2a-00093c406d62,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
paroxetine,NEURO_PSYCHIATRIC,成人MDD、OCD、惊恐、社交焦虑、GAD、PTSD；抓取片剂未涵盖其他用途,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=598ece4d-0ac4-993b-e063-6294a90a1d34;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7d558598-6905-46da-8f34-668456c68411;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=88b4c469-19b3-44b9-a378-c7c3f4f436db;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8e176ff2-ed3a-4909-94e1-6b9a3581a621,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。 标签剂型/检索截断可能漏其他实际获批用途，不能当完整原用途排除表。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
pilocarpine,EYE_ENT;IMMUNE_INFLAMMATORY,头颈放疗或Sjogren口干症状；眼用剂开角青光眼/眼高压降眼压、急性闭角管理、激光术后升压预防及缩瞳；不是抗癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6272ccac-b543-404d-9938-8583bb59ed2c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f950741-fd3f-4bf7-83b0-f5aa9dbceb76;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b85547d8-fcec-323d-e053-2995a90a4e7e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84428e9a-f486-44d9-ad93-4ea9069a6787,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
plerixafor,HEMATOLOGIC,与filgrastim联合为NHL/MM患者自体移植采集动员造血干细胞；支持治疗不是直接抗肿瘤,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b42fda2a-80c8-4bdd-a91d-03d11bef064a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb8e1167-8378-4e73-9bcb-d69093ec829b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5d670cb4-163e-498c-b5fa-c193ea9d55c0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ed08d2b-5051-46b2-aa37-1d6275bf9003,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
pramipexole,NEURO_PSYCHIATRIC,Parkinson病及中重度原发不宁腿综合征,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=468830df-941c-4363-b432-94de9b7fd2ac;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46f88017-7b0e-437e-90b1-37bdf9013e72;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3db0613d-524b-4b33-9a07-602f84d6c304;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f4d97c2e-f447-4cfe-b9d4-852323f0cfb5,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
prucalopride,GASTROINTESTINAL,成人慢性特发性便秘,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89a7bdb1-e1cd-4986-bab9-a939dc764faa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c9d7152d-b117-4346-b60c-dc87b59ead09;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=70fced73-c25b-46cb-ad30-19328e6130c3;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=124e8e82-972d-4800-9d68-14db416959b5,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
raloxifene,MUSCULOSKELETAL_CONNECTIVE;ENDOCRINE_METABOLIC_REPRODUCTIVE;ONCOLOGY,绝经后骨质疏松治疗/预防；绝经后骨质疏松或高风险女性浸润乳腺癌风险降低；不是乳腺癌治疗/复发或非浸润癌预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3798c70b-a4b0-4811-9788-e4c9cff47ebe;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fcaaa6dc-74e8-4fb8-800c-5574bf0f8de9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f7eb934-aa60-51e1-e053-2a91aa0a3914;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=804e873e-f48b-4c25-ad7b-41d44f61bdde,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
rasagiline,NEURO_PSYCHIATRIC,Parkinson病,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9bf059f4-4da8-48fe-aacb-c50717d36606;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2c5e3cde-1158-4b5a-9a2b-ea6c987a65e4;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ee5cc48-7e1e-b268-e063-6394a90a5629;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3b57a1c9-0ad9-40cf-a972-29851a658489,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
remimazolam,NEURO_PSYCHIATRIC,成人≤30分钟操作镇静诱导和维持,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e1838f2-b999-41a7-a761-d94f09aa531f,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
rilpivirine,INFECTION,符合初治/病毒载量≤100000条件HIV1联合ARV；稳定病毒抑制者与cabotegravir短期口服联合；年龄体重及无耐药/失败条件依剂型,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dadbf50d-6b7d-4fb5-bd9f-7769b048e764;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fb109de9-d88d-4405-8dd6-d458cbc387d1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03880372-2c68-45c6-a53a-f420c49541d6,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
rivaroxaban,CARDIOVASCULAR;HEMATOLOGIC,NVAF卒中/系统栓塞风险降低；DVT/PE治疗及复发预防；关节置换或特定急性病VTE预防；CAD/PAD联合aspirin风险降低；儿科VTE治疗/复发预防及≥2岁Fontan术后血栓预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=481b7802-5093-43e7-bbd9-1532197eb6e6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d0e105f6-28f3-45ee-83bd-7d458835242b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3b53cebf-946c-b82b-e063-6394a90a5da7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=88246a0e-befe-4dc6-81e1-4b7adc266db2,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
rosuvastatin,ENDOCRINE_METABOLIC_REPRODUCTIVE;CARDIOVASCULAR,血脂异常含原发/家族性高胆固醇、高甘油三酯、异型β脂蛋白血症；延缓动脉粥样硬化及特定成人主要CV事件风险降低；儿科年龄依HeFH/HoFH,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a370a6c2-b5cd-4aa0-b072-a5a8017a2d5b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6985e729-d963-4f32-89a1-727472b86daa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c992d3d-d754-48b6-a267-1451208352ed;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c607da3c-47f5-4773-8391-2a7b0826d30e,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
safinamide,NEURO_PSYCHIATRIC,Parkinson病off期levodopa/carbidopa辅助,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4d65f28-983f-42b4-bb23-023ae0fe81b2,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
selinexor,ONCOLOGY,当前所抓美国标签：指定既往治疗后 MM 联合 bortezomib/dexamethasone 或 dexamethasone；历史 R/R DLBCL（含由 FL 转化，≥2线后）加速批准已于2026-04-30撤回,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6dd2682-75a6-4863-90a8-a3197f6f78a8|https://www.fda.gov/drugs/resources-information-approved-drugs/withdrawn-cancer-accelerated-approvals|https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2026/212306Orig1s018ltr.pdf,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 DLBCL 仅记录历史用途，不作为现行有效适应证；MM 和 DLBCL 均 ONCOLOGY，撤回不制造新的跨宏类机会。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
solifenacin,RENAL_URINARY,成人OAB尿急、尿频与急迫性失禁；此快照片剂,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56026679-4002-a6c6-e063-6294a90a7b55;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d8e8f6f-0a59-479f-8415-c5c5f19e1977;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=010c0657-c907-477f-8bd7-5d455a5f50eb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f0b8f111-1d76-4b04-9e2f-9fca9e5a0b00,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。 标签剂型/检索截断可能漏其他实际获批用途，不能当完整原用途排除表。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
sotalol,CARDIOVASCULAR,已证实危及生命室性心律失常；高度症状AFIB/AFL复发延迟/窦律维持；未证实增生存、不用于低症状或易逆转情形,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7cb4879f-31e7-4862-bc0c-d439e592d81c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9a36d95c-6e93-4e57-befe-b5274f359244;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c824f6b2-80c5-45a6-a491-4c14c9f5e33d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4614480b-b36e-4dbd-9fc0-d083890d297d,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tafamidis,CARDIOVASCULAR;NEURO_PSYCHIATRIC,美国口服 VYNDAQEL/VYNDAMAX：成人野生型或遗传型 ATTR 心肌病，降低 CV 死亡及相关住院；欧盟 Vyndaqel：成人 TTR 淀粉样变 I 期症状性多发性神经病，延缓外周神经损伤,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=1b4121ee-a733-4456-a917-be2603477839|https://www.ema.europa.eu/en/medicines/human/EPAR/vyndaqel,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 区分美国 ATTR-CM 与欧盟神经病标签，不能声称美国已批多发性神经病；tafamidis meglumine 与游离 tafamidis 不按每 mg 直接替换。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tapentadol,NEURO_PSYCHIATRIC,替代不足成人及部分≥6岁且≥40kg急性重痛；ER成人严重持续疼痛、非PRN；剂型年龄限制不同,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d4c5938a-68f0-46d2-9bad-8988d5724b09;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e0ecb809-6a55-4afe-b981-b8f174e5c344;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38de863e-56ff-4c43-9ab8-9b3e1ba82858;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=863f3fd3-1e8d-41b0-855f-8f9a29237cda,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tazemetostat,ONCOLOGY,≥16岁不可完全切除局晚/转移上皮样肉瘤；成人复发难治滤泡淋巴瘤EZH2突变且≥2线后或无满意替代；所抓标签为加速批准条件,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7db07b5f-4e22-467c-9c0a-f830b08dbb1d,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
telmisartan,CARDIOVASCULAR,高血压及不能使用ACE抑制剂患者CV风险降低,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57da6ef2-2e86-4e4d-90df-73a2a8cf97f6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=91215664-6e19-4e04-9ae7-ab5664799426;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5743c58e-deab-ac93-e063-6294a90ac1eb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09d31eee-cd22-4918-a889-3eb4d2969525,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tetracaine,EYE_ENT,短效快速表面眼科麻醉操作；仅抓眼用剂，不外推其他局麻给药途径,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=01fba5f8-a60a-444c-9abd-299540b8815a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90ffa320-652b-442f-97fa-6d618439db79;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f12d5944-0d6c-43ff-89fd-e0b5669e9b4a,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。 标签剂型/检索截断可能漏其他实际获批用途，不能当完整原用途排除表。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
timolol,EYE_ENT;CARDIOVASCULAR;NEURO_PSYCHIATRIC,单药眼用：眼高压/开角青光眼；美国口服片：高血压，临床稳定急性 MI 后降低 CV 死亡及再梗死，偏头痛预防,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=64561dfd-3704-4820-aef6-d0d26cef7255;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=16323b0e-78ae-40e5-be93-04f698dd672b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=02d89d37-cbca-4e06-83ef-2a10f988f1ea;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=272bb565-f099-4896-b2f6-48ab9180e941|https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0bc40b2c-65eb-4095-87e6-4752d5b19a3a,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 初始抓取混入 dorzolamide 复方段；新增用途由独立 timolol 口服标签支持，非该复方推断。滴眼/口服暴露不互换；偏头痛是预防非急性发作治疗。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tofacitinib,IMMUNE_INFLAMMATORY;MUSCULOSKELETAL_CONNECTIVE;GASTROINTESTINAL,TNF阻滞不足/不耐受的RA、PsA、AS、UC及特定儿科pcJIA/PsA；禁止推荐联合其他生物DMARD/强免疫抑制的限制依剂型,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=253635c8-1ea7-41ba-b216-dea5e3305c47;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=327f6b60-1a5d-49e6-acff-18603d0ee9d0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=576722e5-6639-452d-a5c3-33a064f19481;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=179ffbb2-bedc-40e6-b77b-33d4f7832172,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
tretinoin,ONCOLOGY;DERMATOLOGIC,口服≥1岁特定t(15;17)/PML-RARα APL诱导缓解且蒽环失败/禁忌；外用痤疮，长期其他病用途未确立,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c4ae9d9-c2a0-4995-a27a-e3f0f0284db9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57d1e8ed-ffc8-5e19-e063-6294a90af941;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5304df69-5d29-48f5-8227-80c7a6f12e6d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b6006e3-f7a4-4823-8217-3e5b0f7e58d9,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
ubrogepant,NEURO_PSYCHIATRIC,成人伴或不伴先兆偏头痛急性治疗；不预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd9f9458-fd96-4688-be3f-f77b3d1af6ab,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
upadacitinib,IMMUNE_INFLAMMATORY;MUSCULOSKELETAL_CONNECTIVE;DERMATOLOGIC;GASTROINTESTINAL;CARDIOVASCULAR,RA/PsA、难治特应皮炎、UC/CD、AS/非放射轴性脊关节炎、pJIA及成人巨细胞动脉炎；不同既往治疗、年龄/体重限制；不推荐其他JAK/生物/强免疫抑制联合,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2966aec7-2ef0-923c-d8ff-fe1a957bf095,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
vardenafil,ENDOCRINE_METABOLIC_REPRODUCTIVE;RENAL_URINARY,勃起功能障碍；剂型不可自动互换,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=083a3282-254f-4042-b0eb-70f76a279f10;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5876e062-e604-42a7-99c3-5da30b8dac06;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ce4eb7b-fa50-441d-ae71-eb33dca27926;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ad213e0-d18a-4e67-a405-df95322eaa52,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
vibegron,RENAL_URINARY,成人OAB及接受BPH药物治疗成年男性OAB；不表示直接缩小前列腺,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=25f21d25-14f8-4fda-91f6-7aa8b68aa1c8,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
vorapaxar,CARDIOVASCULAR;HEMATOLOGIC,口服 ZONTIVITY：既往 MI 或 PAD 患者降低血栓性 CV 事件；联合 aspirin 和/或 clopidogrel 按其指征/标准治疗,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2abe3ed-ed3d-4215-a489-b18341ce85bc,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 标签无作为唯一抗血小板药的经验；既往卒中/TIA/颅内出血或活动病理性出血禁用；不把降低卒中风险误写为有卒中史患者适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
zanubrutinib,ONCOLOGY,成人既往治疗后MCL、WM、抗CD20后MZL、CLL/SLL及≥2线后FL联合obinutuzumab；部分为加速批准条件,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3e08fe23-d70e-424c-bc51-1222e320f902,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。,Reviewed retrieved official-label/regulatory material; not a complete worldwide approval registry; formulation/combination/historical limits retained.
