target_feature_index,sequence_sha256,length,selected_actual_residues,pocket_union_residues,selected_pocket_residues,full_mean_coverage
252,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,96,83,83,1187
253,bd8e45b1aef9315c01c2eb13419bf370f4ed06c8b8e7d209cbb101abec31b070,493,96,99,96,493
254,c6dd0092b775896c1534636ea95779a84e074f590068fcc7fec370765e4e3a99,695,96,0,0,695
255,946738194771d8903ea1de39783f6bebe496fb1b4c6d06255e560ee6678d0676,393,96,56,56,393
256,f7316e90f68b60994d35f7513e4b9b781c43b6ab0a099325aa3dbf8890800df5,274,96,15,15,274
257,f76d4444f84e1144c3d580f7f6c2ccb02d021a741c16a909ae2a9e2bc90b32f3,391,96,32,32,391
258,07006f6f455a8ea5033763db94d09ca6ca730ec8a322959ac7fe6b489baa94e0,824,96,38,38,824
259,ef0ddbb0badae4eac53608fa57cf54c55cb837d4929048fa6a2339bb30ae8f03,822,96,58,58,822
260,18033136f0b1562946ef34206594155695acf1088cd70ca93bc77d821a72f149,372,96,64,64,372
261,b8c0da372cb95f619176f62b3fc72e6e5d9f61e414d27b8729e4cf94beee0cf4,663,96,74,74,663
262,0cf59f4757410f8f74d27a1b9a605bcea29a6c7c9c84839bc6505306280f27b4,863,96,92,92,863
263,df665a32b583fcffa4eacb9bd8880a0c240f00418d00c7a4a14bac26a4ea8e5b,824,96,31,31,824
264,d27936d3053623e7b362f972e2897b1b9d66aec063a21d2cb4540543b90c301c,774,96,36,36,774
265,cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,1390,96,59,59,1390
266,5c8f6c84561e4836ba257bc1182486257393c8dc7073d72f08afd8e522ee95c4,1101,96,86,86,1101
267,62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,312,96,30,30,312
268,a23099a3856f1e0ce5a8563a28fdc25422081c8f516879f23e98abf0da67ba8d,479,96,19,19,479
269,d1e98792da352b2d83ccca532e6144d5e51ae1b39a9c272494a4c18a7d3ec3fd,460,96,32,32,460
270,4793c5b0a3bb8263732fb612f8f21834b21a20617a8ea595843c2ec3fead15e5,970,96,20,20,970
271,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,96,30,30,465
272,cbbde4fd45aee67b8bb1fa7f40c2f8aeabfa5c09fa32954630085fa8b1c47744,533,96,90,90,533
273,eb594aca44a18b58a3b7b54b501b766b15fafc0feb13c934d52f97e6da419581,593,96,54,54,593
274,18afa63e36d6157b163608e12bce93118922bef5ec51dc9811cf59ab3855dc14,672,96,59,59,672
275,d6d8452f76cc3f6139b4f8a26fda368bf45c8a247218abf27402397b08b56943,1150,96,48,48,1150
276,b70cdec6cd43cdcdf11909033159e3c13c0c2556f6b71f1e884f5fa5a2fafb99,1042,96,59,59,1042
277,cd085d4391829da9e96878c9f2170c05c298e1c4c86a7f810400d6adda64bbb6,210,96,19,19,210
278,87208f7d25d760d405971be60e739e07826b41f96550fef7b3e4b593f208c082,512,96,57,57,512
279,9fe72522f21ef73d3cb27a82fb3d198f1c871bca25715a5049ce11c8653f9956,478,96,24,24,478
280,652e9b375dbfa639eace1fcaeab438211e2b79b1d49c40add44ead3710e65990,309,96,36,36,309
281,c6506b4a937e3a2dfb3534c595b075c700a8dc0eb18b8996c0e43cdfec088e1a,364,96,26,26,364
282,2b50a9bdb76401c564adebe2d7cebb4de1094be4bea454c59063a59361c2e5a1,1010,96,81,81,1010
283,defa1995fbabefcd7f4bf6dab888d02769c2ab647bb8d52c3e2e827bd3630cfe,802,96,32,32,802
284,f85202b5d75177e17ae2f6ce9634dd0f5a12ba04f3d22ab75c2febd126f075bf,441,96,45,45,441
285,6d5bab5d8d70be3a440bacfb3ec857e93468837e7e7298ba8ba0a1486ec8d732,857,96,26,26,857
286,16e201eb49237f1092a05dc94a1cc131f78e10e8ba32e0f005076714062ff9e3,466,96,29,29,466
287,9ffde4f57ca334105303436a914b7fa6d8c58eb8161c57c232fb808135ce115b,452,96,51,51,452
288,d3e28ff8f2168f2761be02fb067e5259b4e759814600f522127a8e2a8d383555,1068,96,79,79,1068
289,b89a34e8176a3aa843db2f9bb6c1a9011b7179891282e17e8dea7ac94fe76c1b,883,96,44,44,883
290,53ca26e9a4eeb6dc55931307bed794b7dde0c3f5bdbdfb91ea34506062a3e318,888,96,45,45,888
291,eaac9e9e767af863f147d3e73bfc2fa6441dcd6fa09f4a35d72f78f9a9973f5a,292,96,21,21,292
292,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49,360,96,20,20,360
293,a86f7dbeb9c5f48401a1a452b440d782c35067d2da152180a09ce26f76d11639,1480,96,146,96,1480
294,61cb0337dda814c4297cda4289bf9f49b7cc3edb376a1562936e114443f83b3d,247,96,0,0,247
295,0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,267,96,22,22,267
296,456b0bd6f627e1b046e11eb32cede3edc8125bd526e9d62d6a237b897f455cff,460,96,25,25,460
297,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,96,0,0,393
298,ed8a1691faf6bd8eac040ff9346640c46fa2a683425b30a4f9292b4abfd96835,374,96,50,50,374
299,098f8e95556545c4417a8526c58549235f89930e00529d662ba941c1c2e8a9dd,1124,96,58,58,1124
300,c81b4e9e806e0ace9f779e65477e6c988dea6cad5eecfbcb35f2364c5fc884dd,821,96,35,35,821
301,91879df6c55d94de68c2f51e05a06f8a798076a5bca1b45a5ad1d3fefa3c065f,424,96,19,19,424
302,448e29b0b2d00f0702d2821a9d17cc5beff8d25389cce602e3f746e22a9584c2,2005,96,109,96,2005
303,6e07b46dcedc0ec3990f75af51364e261ded9d1f9fd0409f771daaae0948e6f1,303,96,34,34,303
304,266e943682a0ddcb4cd4532fc9a4d6b6bf941ce7d8c2bd9f5011cf7fd02d13bd,505,96,68,68,505
305,c1d8460d5126247ab038e25728de72367a0b8b3a5cad88ce58627800b516b936,499,96,53,53,499
306,ddd04e390c6c6a21de3d05d005744796031167d578e9155c8d9f9ecf067e881f,292,96,42,42,292
307,47f215840b7ee1171d9fe5b93552ff6be5333e0e7dd49eee0d8b106793ccbc2c,458,96,13,13,458
308,74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,1620,96,53,53,1620
309,c0c4e4c51ca175b1a63d7e7645719706938dbfdcf3cba49b54896c64634e0bdf,2506,96,57,57,2506
310,51db38ca000f0471707445dbc6e933598ffa1311b809a8da10aaf05174e5182d,480,96,35,35,480
311,6cf2c19bfc54eef2d536181ce04a499c239d2c869bf5d7a463d316dd221786f2,1988,96,132,96,1988
312,e104bd0942475592d1b9846250cd047178657b11a0718e3dc71de016002d13f9,1280,96,67,67,1280
313,d4e6b670eb793c48c392c9c64f22329115e774a583534592d95c3da5ba283e65,1236,96,57,57,1236
314,7ad0211f6f1856263e963aa8f65d2f66843a22412af6c78570724639b15733b8,613,96,0,0,613
315,26869a7fa856d719c193b67a32ea0b6e3508c17ae6b4a22b7ec5e3fcce984a5f,289,96,24,24,289
316,a77a65704b9ea9bce6c2f5f2312b945c7cda764b41fa08b0a802c7a6c8dfde79,165,96,16,16,165
317,d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,470,96,47,47,470
318,af1da04ff0aec04b89f2c4605eb222fc00ba4b5fdb08b537f284cac275b33a17,1055,96,58,58,1055
319,639fec58970beb225b8efb16a3ad59713134601c6ee978bb08af353971c651ec,503,96,25,25,503
320,873156a7a929474a459571e94fb623f12d92e6af90d92b51b3f3cf556215a96e,522,96,110,96,522
321,455a3743ead4dc373fcf76bcaa0ba8a3cd517d97ac52e18988d560da6c3747c9,2339,96,79,79,2339
322,045de6b23d69dba05552c9aae2f5507478a5c7eddd1a1641df8082b145478595,1153,96,100,96,1153
323,261a58d7e60edfc0e5856fbe4a7731d73aecba5005d564fad9d5dafb5bfe869e,591,96,59,59,591
324,5108f141bd89daf8332040d559884335f4f156f72cf7a919dc97f8e0322cbda4,525,96,34,34,525
325,6bac7f2ffc270dc95b451aae54c85ce01ab5e4f15f7ced5e397d76fe1501dea2,146,96,16,16,146
326,499d7bf59db33f2a877745045c7f1885e74a10e88dab5c10d5d7faddbbc8ab8f,747,96,29,29,747
327,ff4962a4e5c623868caea8a7527dd4bea19a76126d7cdbfa24fe1d4c75fc58a2,500,96,70,70,500
328,174342209ff7997c1d7b13c4caf0cec2736c7567b3e3f0ebc61838003007f3b8,574,96,0,0,574
329,105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,467,96,26,26,467
330,72ae3fbfaabc73063f5b44342bc0fc94ddc2c535148ab9ca1dbcf91c673da3f4,451,96,25,25,451
331,419e4dc8adbe6e5c40c24c2479e48931f61150dfe7759907fb8e3a6144e21e98,611,96,70,70,611
332,7ff04ddccf949e11263e780f4fb3492ae973c50c851a4df836fb5d6e323a318a,233,96,32,32,233
333,a43bba725114d4c16c5b3b5bef27c7b952c8f9b6cb244e89980991f6337bf1e6,476,96,57,57,476
334,39cab1db4ac394157a582eb025b06086ce3ec5b96fe16205e2d1d91b08a6482d,1390,96,21,21,1390
335,553ddef377b84167048c087d19725632b8355f16ce8d6c8e47cdea8591dbc6cf,403,96,70,70,403
336,369ec29171b6cdc692766d64e716681db8e6f2bb3004c12acc5f79c99bc484a1,309,96,16,16,309
337,7192d652f813d4d86f957b1edb7729c8adb429515fb591d7f4c6937a9d54dec2,403,96,34,34,403
338,f62bb087ea9a01852d3f792583b5a06baf0f905c43ca0e011e4fd124bc63ab37,424,96,0,0,424
339,e3eb0529ac8c161622b5b757f7a6500333d7b1781b474e1e4b71785d579f4a31,770,96,75,75,770
340,ed2277a5b7e4e7c44a5a8b9cb05f59452041ffcfcca4654de1a91e4705570cda,839,96,45,45,839
341,beec7f48b884ff00dab1aa4e52663858ce7c00a8499385c4008b88cd8c058176,404,96,13,13,404
342,7807e896342f7584ad6033dfdf0a6b0076732db9c708df5d0544de83fdf47511,479,96,32,32,479
343,4bc37e873a119418b1c915dcfcbc6cc483e3c641a511a9203a50ff1614c7b6b1,501,96,26,26,501
344,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,239,96,0,0,239
345,0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,894,96,23,23,894
346,5700fd20b890228dc7e812e55ae9c8c398a6acd114445a1139ed0655f81a77ad,822,96,70,70,822
347,85be618bbf0bc60ffeab00ec3415cc19dfeb475b3da875a80c6c34f2c9af80bf,467,96,47,47,467
348,2546fc8eb85f6ddb0c86a8118b17e473bd385a8c6e3d14c60d4193d21d098fc1,416,96,63,63,416
349,53fa4ae6a617800609887f91e4486400c41053d4ecf0df681c3dd225675c2938,451,96,0,0,451
350,e8bea1dfd0a8c2ec4d98cd0838eacf112aef4b3cf82ace51b15a0ba957e1b4ae,664,96,57,57,664
351,39060bb69c4e8f76b5ea4babc2f97724fa4e7d5c79be4dc83ef5cc192a840c31,855,96,21,21,855
352,90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d,497,96,63,63,497
353,1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,766,96,32,32,766
354,37003eca217f6b25fc4ae29a2d6ffc1e7b18df0a7f2e9f9ea509a636a68f8260,987,96,34,34,987
355,92527863dc4b011caad9cf573b20b6c8616efaf0581b30b1aea9ec850f141aa3,2000,96,87,87,2000
356,31f3d057dcbc2abdd4120b7c760ca6af6ae43dd23ee21bbb6f2b25d42fe0fcc2,1791,96,92,92,1791
357,48b7226dc34e609ce66665fa7364fb3124108ada1effd7c7ef61ca7ca51b1974,1980,96,131,96,1980
358,c303d7e7724c7beedc8089712b3939a89de9ef2ec912b0e488240d9c7393bb88,480,96,34,34,480
359,2050e121c40716b1679af0b304ba648e1f3f6d4bf32ac563318974ec64d5167a,659,96,51,51,659
360,acb6bfceb028a3ae5829248426f3ea5eb5863b320d20d32d78a5fa3bcb55f7fe,1374,96,47,47,1374
361,41225f390d79410ec5e7bfef7e5f05341e7142207310e2a3d53bb09826db1795,503,96,44,44,503
362,aa54247704f55ea2a11e5e339c873318fa24bfd23de6d43aa67e2f416e2b8e82,999,96,41,41,999
363,632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,583,96,47,47,583
364,6a25cf3375cffdb55b1ac9fcd0bfd67323d01427cd5e8efd34cb623c84d72b48,574,96,36,36,574
365,c345e66ed21d45f9acfe03a6e99ca5b9744199478b48087e17cb99e2ac0364f4,1956,96,79,79,1956
366,a5738db82a0d8d4b3b1be01d61879e9adcd8fef0377366ac0d930a850c227edc,671,96,22,22,671
367,87744367b800f3cc95c3a6d293b833f1eb880275dbff337dd1b2025d071efdaf,1009,96,59,59,1009
368,5ef1f29ae6c48b186caa6e996c42991c0077374bda1649603ab90d4cbe9752aa,646,96,44,44,646
369,cf559ca22e969dc6a8bb865fe5e89cf38d07e22a24caf182f8384201045496e1,2347,96,88,88,2347
370,3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1,839,96,59,59,839
371,26609ead5948182ab7db59542853a0a1d88afd779de2e29919cf8ca312cfc55b,318,96,23,23,318
372,11464cac78fa396921bed3a7cd586d5bd145164fc65b01b3a84a2ed8f3a2bb8f,444,96,55,55,444
373,cb17e7a0aae2e99ddfd0bf964ad621c4b9f2342f01a43321ac1acd75c135d635,426,96,27,27,426
374,9ed9d245a1ccec30c57b21996b7795d43966ae87dc4c5292f48fd56fb80def56,239,96,26,26,239
375,f59ab0673a16b8a9d27cc39a4b28a9bca0e3952e77e9644cfc3c455a520bc990,693,96,45,45,693
376,f9c47916ec9ee1cf8af91ccc42f6a3a095bebec36067307a68a484b6c928c423,764,96,51,51,764
377,17edac2fa022b912a92821032c8b6d4a300cd07a4c81906cb7faa2b94996f600,1342,96,58,58,1342
378,7c2a7bcf3a9e687a4734d149429648beaeb58a4936962328b18c1fd4d5c90203,509,96,39,39,509
379,a93ba2d243a68358de9b9adec225e83c68e9ffc050c5d9a71ea6483fb92db338,1119,96,50,50,1119
380,602770d3014bf6d6ea687ec5967462bda3efc028d8a34ad15709bcce552e3b6a,488,96,82,82,488
381,fe76404c5e0db4b161b830fbcbffabe5f6574550ded0cfdf7f3c45837c165164,175,96,0,0,175
382,b2f7f8437797ff0397a89aeb7f6ff2916d84a5895e2cca8247f9dc9428c257dd,553,96,61,61,553
383,54d4ad68b7f18c59288a5d0ac6b402df893d8aadb55fda3f5e03b57be254e647,852,96,88,88,852
