sequence_key,primary_gene,representative_protein_id,target_assay_family,structure_bin,pdb_path,scope_source,inclusion_reason
SEQ000194,HPD,P32754,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P32754-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000198,HSD3B2,P26439,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P26439-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000206,HTR3A,P46098,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P46098-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000208,IDH1,O75874,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O75874-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000209,IDH2,P48735,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P48735-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000212,IGF1R,P08069,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08069-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000228,IMPA1,P29218,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P29218-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000229,IMPDH1,P20839,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P20839-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000231,INSR,P06213,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06213-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000232,IRAK1,P51617,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51617-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000233,ITK,Q08881,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q08881-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000234,JAK1,P23458,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23458-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000235,JAK2,O60674,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O60674-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000236,JAK3,P52333,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P52333-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000237,KCNA5,P22460-2,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22460-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000238,KCND3,Q9UK17,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UK17-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000239,KCNH2,Q12809,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q12809-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000240,KCNJ11,Q14654,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14654-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000241,KCNJ2,P63252,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P63252-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000242,KCNJ8,Q15842,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15842-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000243,KCNK10,P57789,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P57789-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000244,KCNK18,Q7Z418,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q7Z418-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000245,KCNK2,O95069,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O95069-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000246,KCNK3,O14649,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O14649-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000247,KCNK9,Q9NPC2,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9NPC2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000248,KCNN4,O15554,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O15554-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000249,KDR,P35968,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35968-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000250,KEAP1,Q14145,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14145-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000251,KIT,P10721,kinase,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10721-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000252,KLKB1,P03952,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03952-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000253,KRAS,P01116,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P01116-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000255,LCK,P06239,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06239-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000258,LIPF,P07098,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07098-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000259,LYN,P07948,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07948-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000261,MALT1,Q9UDY8,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UDY8-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000262,MAOA,P21397,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21397-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000263,MAOB,P27338,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P27338-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000264,MAP2K1,Q02750,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q02750-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000265,MAP2K2,P36507,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P36507-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000266,MAPK11,Q15759,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15759-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000270,MEN1,O00255,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00255-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000271,MET,P08581,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08581-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000272,MGAM,O43451-1,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O43451-1-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000273,MME,P08473,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08473-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000274,MMP1,P03956,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03956-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000275,MMP13,P45452,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P45452-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000276,MMP7,P09237,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09237-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000277,MMP8,P22894,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22894-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000279,MS4A1,P11836,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11836-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000280,MST1R,Q04912,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q04912-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000281,MTOR,P42345,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P42345-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000284,NFE2L2,Q16236,nuclear_epigenetic,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16236-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000289,NPR1,P16066,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P16066-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000290,NPR2,P20594,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P20594-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000291,NR1H4,Q96RI1,nuclear_epigenetic,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q96RI1-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000292,NR3C1,P04150,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04150-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000293,NR3C2,P08235,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08235-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000294,NTRK1,P04629,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04629-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000295,NTRK2,Q16620,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16620-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000296,NTRK3,Q16288,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16288-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000297,ODC1,P11926,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11926-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000302,P2RX3,P56373,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P56373-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000308,PAH,P00439,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00439-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000309,PARP1,P09874,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09874-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000310,PARP2,Q9UGN5-2,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UGN5-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000311,PCSK9,Q8NBP7,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q8NBP7-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000313,PDE10A,Q9Y233,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9Y233-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000314,PDE3A,Q14432,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14432-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000315,PDE5A,O76074,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O76074-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000316,PDGFRA,P16234,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P16234-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000317,PDGFRB,P09619,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09619-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000319,PGA5,P0DJD9,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P0DJD9-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000321,PGR,P06401,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06401-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000322,PIK3CA,P42336,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P42336-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000323,PIK3CD,O00329,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00329-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000324,PIK3CG,P48736,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P48736-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000325,PKLR,P30613,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P30613-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000326,PLAT,P00750-4,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00750-4-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000327,PLAU,P00749-2,kinase,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00749-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000328,PLG,P00747,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00747-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000330,PNLIP,P16233,enzyme,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P16233-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000331,PNP,P00491,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00491-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000332,PPARA,Q07869,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q07869-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000333,PPARD,Q03181,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q03181-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000334,PPARG,P37231,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P37231-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000335,PPAT,Q06203,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q06203-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000336,PPIA,P62937,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P62937-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000337,PPP3CA,Q08209,enzyme,B_strict_supported_overlap,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q08209-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000338,PROC,P04070,enzyme,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04070-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000343,PTGDS,P41222,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P41222-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000349,PTGS1,P23219,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23219-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000350,PTGS2,P35354,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35354-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000352,PTK6,Q13882,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13882-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000353,RAF1,P04049,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P04049-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000354,RARA,P10276,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10276-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000355,RARB,P10826,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10826-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000356,RARG,P13631,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P13631-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000357,REN,P00797-2,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P00797-2-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000358,RET,P07949,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07949-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000359,ROCK2,O75116,kinase,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O75116-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000360,ROS1,P08922,kinase,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08922-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000361,RPE65,Q16518,enzyme,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16518-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000362,RXRA,P19793,nuclear_epigenetic,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P19793-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000363,RYR1,P21817,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21817-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000364,RYR3,O15175,ion_channel,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O15175-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000368,SCN10A,Q9Y5Y9,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9Y5Y9-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000369,SCN4A,P35499,ion_channel,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35499-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000370,SCN5A,Q14524,ion_channel,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14524-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000377,SLC10A1,Q14973,transporter,C_manual_review_structure,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14973-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000378,SLC10A2,Q12908,transporter,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q12908-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000379,SLC12A1,Q13621,transporter,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q13621-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000380,SLC12A3,P55017,transporter,D_no_primary_structure_support,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P55017-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000381,SLC18A2,Q05940,transporter,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q05940-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
SEQ000382,SLC22A11,Q9NSA0,transporter,A_strict_overlapping_pocket,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9NSA0-F1-model_v6.pdb,legacy_direct_action_project,passed_direct_small_molecule_target_and_structure_rules
