sequence_key,primary_gene,representative_protein_id,pdb_path,expected_representative_protein_id,expected_sequence_length,expected_sequence_sha256,template_sequence_length,template_sequence_sha256,receptor_pdb_sha256,pocket_definition_sha256,pocket_definition_status,sequence_match_status
SEQ000206,HTR3A,P46098,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P46098-F1-model_v6.pdb,B4DSY6,478,ce82cc02fd301ba6e478be5129ef6dd8f51452ce094b362910739b89e26b4995,478,ce82cc02fd301ba6e478be5129ef6dd8f51452ce094b362910739b89e26b4995,91fe41e8560f0718fd830460a7e9de8ea3a7b62014e0c77f85628a5c30e36c3b,1fa0c143a1088cea763f92e6970de1e19f0d70f0fad790e3d8fa68fdd74fd617,present,exact_match
SEQ000208,IDH1,O75874,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O75874-F1-model_v6.pdb,Q567U4,414,5c99fe8bf1991cd76f6c3552589adbbf6067dea9f85a4be30a041aed43113415,414,5c99fe8bf1991cd76f6c3552589adbbf6067dea9f85a4be30a041aed43113415,887a7da302b09acb0a4e1af91ded1a73cad00ef795df4d13d65facee34ce2afb,90026b70602f8ea356170f3b4a7efeb80c786beb95b9fff4092ab51110c79521,present,exact_match
SEQ000209,IDH2,P48735,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P48735-F1-model_v6.pdb,B2R6L6,452,9ffde4f57ca334105303436a914b7fa6d8c58eb8161c57c232fb808135ce115b,452,9ffde4f57ca334105303436a914b7fa6d8c58eb8161c57c232fb808135ce115b,aaa90ee8d91d5528835a06e6d95d6db8057521cef478883f31941381c4a35767,6b57232bdd6cb49ea389fc031e3d7ad072cec7ab70400dc835037d809114fff3,present,exact_match
SEQ000212,IGF1R,P08069,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08069-F1-model_v6.pdb,B1B5Y2,1367,e11a8ca0d0d551f3fa704c31f4d0af57361c9d19d838a54bdd6b63528cbb7a1e,1367,e11a8ca0d0d551f3fa704c31f4d0af57361c9d19d838a54bdd6b63528cbb7a1e,9f6b7fc7b7603ecf15810c65bdf4bba1b1518afaa4520cad953aca0d1fcb463f,c98bb854f0936c17e2ba039b7044791a50e70bc4fcbb48ecd837748c882d9141,present,exact_match
SEQ000228,IMPA1,P29218,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P29218-F1-model_v6.pdb,B2R733,277,8dfa317b0c2b7bd7a20857e127c506e04e100a0b3cd0045d906de2ee961ac21f,277,8dfa317b0c2b7bd7a20857e127c506e04e100a0b3cd0045d906de2ee961ac21f,d07bab989ca7f969c905bd3c763142d9bef7408ea90be52299b1dcc75c385ce7,95ec884a0a2a85e37e05ac88643a803893a3500930a7512b93840f5467b196f5,present,exact_match
SEQ000229,IMPDH1,P20839,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P20839-F1-model_v6.pdb,A4D0Z6,514,57bf41a20daca07077287ad2d41a3724e4370a8a0d0136404bf44a32b2c14b91,514,57bf41a20daca07077287ad2d41a3724e4370a8a0d0136404bf44a32b2c14b91,bb31ea6194eeff4cfd7f6503d851e0b27e704f9f78dd049a616e485aec434884,a1d276058b2a6dc446529c70b18ecda79ce94d8bb977976d3ccd10e2e8127202,present,exact_match
SEQ000231,INSR,P06213,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06213-F1-model_v6.pdb,Q17RW0,1382,90397a156f87a91b9bb1e01e97437e9f353b3b37025d48c3c0efdf77fe4ccaf8,1382,90397a156f87a91b9bb1e01e97437e9f353b3b37025d48c3c0efdf77fe4ccaf8,34273ebf92a4a849ab4c2056adca97d16f051848ecd2ddebed93596ce0296044,54860010cf335d653996bc620ef849d74ed5e2aded502988e4473e12ef10eb64,present,exact_match
SEQ000232,IRAK1,P51617,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P51617-F1-model_v6.pdb,D3DWW3,712,920d53f2ba8db9ed226d6430fe54f562849c9cd1a5c72a52e854cc4e3bc78348,712,920d53f2ba8db9ed226d6430fe54f562849c9cd1a5c72a52e854cc4e3bc78348,0269da99fb032149e96c9b9a8a29b69f33b29a3cad9fa79b242bc23187c8732e,353d96a5c03061e97ae7465349926069a7bf16ebf6a0cab291dba6bd900a71f4,present,exact_match
SEQ000233,ITK,Q08881,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q08881-F1-model_v6.pdb,B2R752,620,33e035b87b94c840395554b01f49e9c988594ecea98632b70b107be32d538bc4,620,33e035b87b94c840395554b01f49e9c988594ecea98632b70b107be32d538bc4,a75e815efa8bbc405bd23b8111047e84996cda7516cb6cd302aeb8c07652b676,a41b02eeb1cff6a1e608e0c23e0335e3ce8035ea622a24c63c27f44f9e6838ae,present,exact_match
SEQ000234,JAK1,P23458,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23458-F1-model_v6.pdb,Q59GQ2,1154,1c6644344a12e467bac221d095a23fc2da3d2eb868d6085259979d4b76029cba,1154,1c6644344a12e467bac221d095a23fc2da3d2eb868d6085259979d4b76029cba,fc06eb030cd5a2fe591bb8150c2f6eb2a956fededa22f49ffb2884f686e70e7c,c9d72f39770c6b53f92f6b246cdcab0a90bdeec1e0766600a57c092d53b90c93,present,exact_match
SEQ000235,JAK2,O60674,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O60674-F1-model_v6.pdb,O14636,1132,21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,1132,21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,94df8d1554b78762db3f2fbd529599731000c1d829c513f32bd2750952f79e90,bc7eefe16812bade8ad97a97bf91de8ffbfb0b08549d3e12c772057a19897e5f,present,exact_match
SEQ000236,JAK3,P52333,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P52333-F1-model_v6.pdb,Q13259,1124,18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,1124,18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,31fd06360f540e74dff5a8ea48bf54cdb81ec73d1f2d32ecd2d628abf984339b,25bca92fdcb940827125001fdc1317489ae044a299e600b299710b2a11c1ea36,present,exact_match
SEQ000237,KCNA5,P22460-2,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22460-2-F1-model_v6.pdb,Q4KKT8,613,7ad0211f6f1856263e963aa8f65d2f66843a22412af6c78570724639b15733b8,404,fd2874ab0b9cd7ba8fb76cf035036680a71082634cfaf9cc1559c72ddbf3f895,60fada766e4eea8250cd34bd60508dde73d2c75bf0eb253b3ef4159b0041edd4,698ed439363e18de1707af893e9da4a76c521cdbb9a1ab22ce4f95c1b149f49f,present,sequence_mismatch
SEQ000238,KCND3,Q9UK17,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UK17-F1-model_v6.pdb,O60576,655,7ed37e7b0bd23b2e4067bbae94ccbcdfecf8992873fa005a302b8c23521f0a5c,655,7ed37e7b0bd23b2e4067bbae94ccbcdfecf8992873fa005a302b8c23521f0a5c,a3caabcdb8030e65c9026cefcf8ad0ca32902cd2bda0845a3a94e764c92bd771,8f857dce76b7c5a0f4b8180b0c5346e4684b419cd6a36c82f9100832f2312dd0,present,exact_match
SEQ000239,KCNH2,Q12809,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q12809-F1-model_v6.pdb,A5H1P7,1159,287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7,1159,287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7,d5644b21edad1c1ff2a46e92d18d6fe8ebcf4961d991ba95913e56104eb85254,4e0cba5129767dbefe63de30363e204db68fb8d177b9ece0fdda09aa020ce53f,present,exact_match
SEQ000240,KCNJ11,Q14654,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14654-F1-model_v6.pdb,B4DWI4,390,607eea43ecd23c2d43d7d12cc6f26edfeb0c9ab22a17b1d09c9281e301ed99c7,390,607eea43ecd23c2d43d7d12cc6f26edfeb0c9ab22a17b1d09c9281e301ed99c7,600875b16989ca87bbceea20db1f3510a504eecdfe934955929d0457c7233561,fbe2e901a6947ee54fd7093e6b2af611728f92d6179bef3be613daa6973aa986,present,exact_match
SEQ000241,KCNJ2,P63252,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P63252-F1-model_v6.pdb,O15110,427,5273734e985e4411938cd0c003f7a41812701c66824eec43a4270f95cb2acbc8,427,5273734e985e4411938cd0c003f7a41812701c66824eec43a4270f95cb2acbc8,54413b54d0976c7315838855468bf8abc55771c7959f00a1823a1e117acd4e09,efa370d21a36e198e25b1ba0a5829a31242adf0f88c01573d22fb30ea581c4b7,present,exact_match
SEQ000242,KCNJ8,Q15842,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15842-F1-model_v6.pdb,O00657,424,f62bb087ea9a01852d3f792583b5a06baf0f905c43ca0e011e4fd124bc63ab37,424,f62bb087ea9a01852d3f792583b5a06baf0f905c43ca0e011e4fd124bc63ab37,7884fc7f1490f3c7e19a41d0e01f1c2aae27d736c0c3cf699e70ac851709270a,513ecf185ebcac6512abf399e01543a6a4fc994882ae333c0417c59f4c0db9bd,present,exact_match
SEQ000243,KCNK10,P57789,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P57789-F1-model_v6.pdb,B2R8T4,538,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,538,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,307c00d8669732adcb0af4a52606aeb2642f7a734602b7a16a47426fb1fe2fec,7e92ad112b690531bd04ba6c5dea2ae7ec0b5201ff5bb856caec65537d1530fc,present,exact_match
SEQ000244,KCNK18,Q7Z418,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q7Z418-F1-model_v6.pdb,Q5SQQ8,384,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,384,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,8c02b5c0c8480a1977286d3c78f832e0e369ac9f93a74c85a28dc865df7a50bd,4a4984cc613b73c172e0233070a361314c4effe24aeae669cc181466861861e3,present,exact_match
SEQ000245,KCNK2,O95069,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O95069-F1-model_v6.pdb,A1Z1V3,426,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,426,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,a6d76155f9fd1d06b22330c257bcec59cb7247d7b9eabca667836c75e38892c5,d3bee0199bd095d645973978bdaaea4ddbc2049df2baa55087c5f8c5b52c96ef,present,exact_match
SEQ000246,KCNK3,O14649,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O14649-F1-model_v6.pdb,Q53SU2,394,7960e9cf1aca3a128f8499714b480e1bfa7940bba066f62f5e848bf0671233b0,394,7960e9cf1aca3a128f8499714b480e1bfa7940bba066f62f5e848bf0671233b0,9d5414fcd81b42cdccb464c077326501570c489ffff0a41271329c7c4ac8a52f,98cdf045c7bb469e9a29763b37d6567c35a1b43e0a9cfce524a2079d367aff9e,present,exact_match
SEQ000247,KCNK9,Q9NPC2,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9NPC2-F1-model_v6.pdb,Q2M290,374,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,374,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,0d2810a480cca248ae1e12e26c146e7f1c68acb47fbc26ef672d8bcd4de53d33,8cd441f283d72f264389f83a411debf9822eeca158de32877bd4d35f74883141,present,exact_match
SEQ000248,KCNN4,O15554,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O15554-F1-model_v6.pdb,Q53XR4,427,bf748f82514de6ba0970b64a7ebe3c2f03477f9e4ce23b5dfdc5aa2eedc6d687,427,bf748f82514de6ba0970b64a7ebe3c2f03477f9e4ce23b5dfdc5aa2eedc6d687,9c5eb8fda639d2f046a39a443be0ca4c28db2f3131a2b155a37fb71be142cb86,b4ea93eabbcfcbce7790bb65f4dde5c5d1b01b820c4c602ed7213f0fa84b7e1b,present,exact_match
SEQ000249,KDR,P35968,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P35968-F1-model_v6.pdb,A2RRS0,1356,fc7e217443f8e66fc4af3971109e40c570f998fb293d1bf4f799cffcc127e76b,1356,fc7e217443f8e66fc4af3971109e40c570f998fb293d1bf4f799cffcc127e76b,5a9408b142731cf5dadc3b11bd15500c201a7fbf61a2262bbf35b52a101cadfe,466e743991b9dff4f54501e9f901533c6a19b9a568ebd105d85fbf3f7a277e09,present,exact_match
SEQ000250,KEAP1,Q14145,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q14145-F1-model_v6.pdb,B3KPD5,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,4e7ca056f55fa51a50b5b7204b0541eebfb2e4387fe90f500a716992868eaf0c,265229cc31dcbfc88d461aa09864aecf3926ec00f8f2cc0fa0b39205d5f98769,present,exact_match
SEQ000251,KIT,P10721,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P10721-F1-model_v6.pdb,B5A956,976,7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,976,7b430dd4888d7410e8d65d331b8bd4f5bd9abd4f3a9290f2a93f37b0ed495c5c,9851e93bec5a1cde118acf28c06e7ea1ad50569073214f3da2db2dfbb56280d2,825e4d9f84b7e372ca9ea49c6fb6e155e9c2469847a4599b47055fe0b068c1c3,present,exact_match
SEQ000252,KLKB1,P03952,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03952-F1-model_v6.pdb,A6NH96,638,4f30314865693bc9810ba484ea21699089d5bbcd2d4c75461668db8c9468bbf4,638,4f30314865693bc9810ba484ea21699089d5bbcd2d4c75461668db8c9468bbf4,8da826dd9f0e6fa06680f9c8bdc310ab8427a63aff15a61a77cf7ab221ec4ecf,e26188abd676d8b04c4d98452d7fed64c891ac482802681190ea449bdd77132b,present,exact_match
SEQ000253,KRAS,P01116,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P01116-F1-model_v6.pdb,A8K8Z5,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,91d0235061e6ce0b08057c3742d5c899a99fbe38d2e1b5b6d54fa3029c54d34f,32318a2eec802aec3e809759774249246123aada463b9ed40a7b36c2cb04aee4,present,exact_match
SEQ000255,LCK,P06239,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P06239-F1-model_v6.pdb,D3DPP8,509,01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,509,01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,58f21c7792f70595aadac9537d10613c6e86ebe4e10384373c2a606362baf357,556609c52d2bed15e1c99e7a27470a8b9ad6bba80eb803afaf7e1c90edd2c323,present,exact_match
SEQ000258,LIPF,P07098,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07098-F1-model_v6.pdb,B7Z723,398,231ffacb7d51ebda0d40836241fb888cbf3effc88f2e93013f7a7c612a42f6bd,398,231ffacb7d51ebda0d40836241fb888cbf3effc88f2e93013f7a7c612a42f6bd,eb053aa51652e4a4738d7586e6d4e605b87d7c494b6df2527acaa4040010bc32,731010a3469a38230417454cca62c7120434fd6b4530d0c777ab172f37a708b6,present,exact_match
SEQ000259,LYN,P07948,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P07948-F1-model_v6.pdb,A0AVQ5,512,87208f7d25d760d405971be60e739e07826b41f96550fef7b3e4b593f208c082,512,87208f7d25d760d405971be60e739e07826b41f96550fef7b3e4b593f208c082,0b13b01489312bdfee72342b3083b29462bd39257ddba43be26e28799c161f26,7d2e5f747efa783167bec4752620ed3c97c846fe4c1a16f11e4430f0dcc60bed,present,exact_match
SEQ000261,MALT1,Q9UDY8,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9UDY8-F1-model_v6.pdb,Q9NTB7,824,07006f6f455a8ea5033763db94d09ca6ca730ec8a322959ac7fe6b489baa94e0,824,07006f6f455a8ea5033763db94d09ca6ca730ec8a322959ac7fe6b489baa94e0,5401249c22b77d8b4a26aec0b8f86200874c3b5c6d3fa2f68975a026de468fc9,dc48326f11075de89270a8765bced4ef4d3df1b8e8126fd24b20056d143abd5f,present,exact_match
SEQ000262,MAOA,P21397,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P21397-F1-model_v6.pdb,B4DF46,527,92962676f214e5a64a684dcb0daea96f595b5c4ccf2e8db1315ae9d36623e43b,527,92962676f214e5a64a684dcb0daea96f595b5c4ccf2e8db1315ae9d36623e43b,91c081927d660d4c2c150461eb442ff4eadb1925e2e4cacea00895fafd889ccf,f86e94b2ddaa4748b858d50ef1c8bcb3f7f9ac4771859ef22a78cc24ba55b675,present,exact_match
SEQ000263,MAOB,P27338,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P27338-F1-model_v6.pdb,B2R6R3,520,5c619dcb6235f38247072eacd7fa6ad3aa7e69d3d4f661ebfdc4251e2b2752b4,520,5c619dcb6235f38247072eacd7fa6ad3aa7e69d3d4f661ebfdc4251e2b2752b4,516827882d3214f46edec999a5ad03f5941ebd4718d489ffd73a9e50adf388dd,b65865011e175086bde1505b8b833cff9d6dccc2523425b0592fd382e7371e76,present,exact_match
SEQ000264,MAP2K1,Q02750,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q02750-F1-model_v6.pdb,Q02750,393,946738194771d8903ea1de39783f6bebe496fb1b4c6d06255e560ee6678d0676,393,946738194771d8903ea1de39783f6bebe496fb1b4c6d06255e560ee6678d0676,773cbd1b98e203c7a233de7c4d173cc1cf33b410cdfa0faad907dc360f3aa515,2397637a46d12de94efaddb96f1f4b7e7fe21c5ab88584d2d9b3f1d02833038f,present,exact_match
SEQ000265,MAP2K2,P36507,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P36507-F1-model_v6.pdb,P36507,400,679986c39e4cb9599dc08211bd0f7b4941586aff6eabbf20148fcc35d02c21f4,400,679986c39e4cb9599dc08211bd0f7b4941586aff6eabbf20148fcc35d02c21f4,c1453067f9c0b76d526af9bb325b00cdd7042fa7d8487c656cd3a718dbf7872d,e669c9b166de6fe6acf6d313070c0f826780e6377a3f046767b0751d1f4e5c16,present,exact_match
SEQ000266,MAPK11,Q15759,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q15759-F1-model_v6.pdb,A8K730,364,c6506b4a937e3a2dfb3534c595b075c700a8dc0eb18b8996c0e43cdfec088e1a,364,c6506b4a937e3a2dfb3534c595b075c700a8dc0eb18b8996c0e43cdfec088e1a,f1866c5e716e61c395195e55b7aa009b4181eb635b37b1d3e996fe9d5946c9f7,e4464b322cc438597106ae96767282661b728d08a08cdb9676f72ac20b9e00ad,present,exact_match
SEQ000270,MEN1,O00255,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00255-F1-model_v6.pdb,A5HBC6,610,7810003b5817178cf1f0238a337d954f732e3387da5080f93df679003054f5a6,610,7810003b5817178cf1f0238a337d954f732e3387da5080f93df679003054f5a6,0330bf45970ce35c1b45d87445ec0aea486bb71c58d8d1156571eda0f38f6fe2,ac1ad24ff5d9baed30af4257f8dcd6ba9c63ad6561fceabb619df88bb27c22b7,present,exact_match
SEQ000271,MET,P08581,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08581-F1-model_v6.pdb,A1L467,1390,cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,1390,cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056,89e72b972fc7d870780430ef88a5fca1cef5b4ff37d7f96f8aef91273e812f6d,dbb78241dd6830e013c5d234eeffab2084b54c85afddd78d5468c71bfd379832,present,exact_match
SEQ000272,MGAM,O43451-1,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O43451-1-F1-model_v6.pdb,E7ER45,2753,be19ce51c4f3249082c6b7afdfafccaeace5a2a13254f2238c619aeebf5300c4,1857,0289055b52093e21e7e9d37af4e3e36b662776e52ecff1c44622be9cf56980b0,672b7490857b0f2a4e37d8e485a3041fe9a497faa67d308d2ea0d87f70286ef6,2457c3e7717d92efc96d853821420de08ddd5e4e6c8b69c952a2b215d6612fa4,present,sequence_mismatch
SEQ000273,MME,P08473,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P08473-F1-model_v6.pdb,A8K6U6,750,1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,750,1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,04bdf98cfcb9dbf9418bca7875811e32f4395023670d0e54023cb889cd5a30e7,8ff7408c944d185db5e852ae78a3ba537e51f8ce6b5c0dd4488f3a2f25af8b34,present,exact_match
SEQ000274,MMP1,P03956,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P03956-F1-model_v6.pdb,P08156,469,9777b390daeddca2aa6c9052607145f49b8f48a6fc39ca40b0fab62cd153d314,469,9777b390daeddca2aa6c9052607145f49b8f48a6fc39ca40b0fab62cd153d314,4699053af4e4dad1a564af516b17c4347cbb3f7078dca2e0c74c2670ac5f9531,549f7ebb0b36e03941ad514f26ed8f96345a39ca08e76bbd89d4c3190e153094,present,exact_match
SEQ000275,MMP13,P45452,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P45452-F1-model_v6.pdb,A8K846,471,5ae8fa403b7a6a5166305caad46d6b2b661dd0cc41344f282175ed24eb3781f0,471,5ae8fa403b7a6a5166305caad46d6b2b661dd0cc41344f282175ed24eb3781f0,673b2621b24b6f78655985f295aca1b532ee7b8eda9f412c5913e1b3ac278b59,353ac164dd5025b58b89440d3799e10ca3c44f4d907acdb135a5ecdc54212aed,present,exact_match
SEQ000276,MMP7,P09237,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P09237-F1-model_v6.pdb,Q9BTK9,267,0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,267,0979d0f16275fb9831c003699f0d784233dfefee41a6be01942a90b08379d9d0,36625bbcd27019c003e28d1315e8988905f72e126f6b5b95cf8140a1777b3390,93c1329979201b731d1620b874440bab6e74ece093cdade8e93c7ed7a3fb39ac,present,exact_match
SEQ000277,MMP8,P22894,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P22894-F1-model_v6.pdb,Q45F99,467,105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,467,105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,55f3c697af65b45ac99658ac99fe1463fd16bd2b0b5b53649cfc1300781540c2,2cba82fa7e0540a3d2b52ea638f9e6a3bec42be3033007dbf092088a47ef2ce9,present,exact_match
SEQ000279,MS4A1,P11836,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P11836-F1-model_v6.pdb,A6NMS4,297,598b359b42a9d8847fe4b23997baf6bb693974cb3bcc69581c465c39010f500a,297,598b359b42a9d8847fe4b23997baf6bb693974cb3bcc69581c465c39010f500a,d049e6ece6ec7391a6ed273c7de232419bf9e5113a00ba6b0a60e79026db3e4b,09a2cd56247caedafca9f043c0da72c831080c0f2e9ee8d06d52c5e50aa9791e,present,exact_match
SEQ000280,MST1R,Q04912,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q04912-F1-model_v6.pdb,A0A087WZG2,1400,223384aa416b5e9b85eba0bd82b798c35b38f8ae4325c35ff46c78dbac5325ed,1400,223384aa416b5e9b85eba0bd82b798c35b38f8ae4325c35ff46c78dbac5325ed,c8e6ab309e40b1fc3f303dd465fcbca345a039b6d3cf46f829ef62cb501c4909,662d62a3463472e48d247469ad1e180121bbc963c13858b5d749cdf153aeac5f,present,exact_match
SEQ000281,MTOR,P42345,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P42345-F1-model_v6.pdb,Q4LE76,2549,14c12f3038e6dde2d28b78c0961e52dae3040876f6c8e2ce7208899bca679c80,2549,14c12f3038e6dde2d28b78c0961e52dae3040876f6c8e2ce7208899bca679c80,746fd583940bcc9b40a6eb0114f2045a622fb3068162a35ea8e96f9503bafdf2,11bbd0e20faed165231eef043de62b34ac41f6fa970b08d8718b889567191095,present,exact_match
SEQ000284,NFE2L2,Q16236,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16236-F1-model_v6.pdb,B2RBU2,605,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,605,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,bb38410fbe65901ad891383e18e4e40c30f9df02292a1337f8f5ef2c6f595509,d476812ac30f81116e6533105ee670a193ccc0adf78456ab67677c6b6ab6b497,present,exact_match
SEQ000289,NPR1,P16066,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P16066-F1-model_v6.pdb,B0ZBF0,1061,c1d202d61efc0347df642183d6603c80973a897dd48d42e9608227909d169450,1061,c1d202d61efc0347df642183d6603c80973a897dd48d42e9608227909d169450,d312e5f9d18eb8ca7318cbd9030f0b50873705b2d6fe78c50749c71d18845415,f489881d899fe777bfd4365db3a0c04aa97fee2ebd8931393aaf7e64f496c6fb,present,exact_match
SEQ000290,NPR2,P20594,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P20594-F1-model_v6.pdb,B0ZBF2,1047,fe3da7595d12a872ec6c59fd35c3753af901eb7fa06e5e3b2b618554ce4d737d,1047,fe3da7595d12a872ec6c59fd35c3753af901eb7fa06e5e3b2b618554ce4d737d,cef6cf502bf332c9915dd5de5cf3c696430caff35b29f08c7ee4668174a203d1,e5469f1c7c541e9f55920b4228c4c215bfac2488816b36a2401ed055102da8cf,present,exact_match
SEQ000291,NR1H4,Q96RI1,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q96RI1-F1-model_v6.pdb,A1L4K5,486,450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,486,450a21105b740fd60df57b1fa1f127cbbcfe9167e01cd5ddd638d7d55c4c53e5,ae1a6fcd243bdd258be930c164182df4a4b7fb799aa5cb0dda3920a605b71f44,010ee5bf65f59cc7923cc21708c539d1206ca319b4139fd9629f4a61ae336371,present,exact_match
