排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
175,P2 第11–20排名且仍可探索,C384-057,quinidine,Sodium channel alpha subunit,ACVRL1 — Activin receptor type-1-like,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,AT-9283,17,仍可探索,按精确药物与ACVRL1标识核panel，有独立线索再投入激酶体系。,quinidine–ACVRL1表格其他药行不能归给本药，移除错配仍可探索新关系。,quinidine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,房颤/房扑转复及复发预防、致命室性心律失常；历史恶性疟疾；NUEDEXTA神经复方辅助,gout,True,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2331043,Sodium channel alpha subunit blocker,ACVRL1,CHEMBL5311,CHEMBL495727,Kd,Kd_RECORD_PRESENT,1642796,103566,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2375,False,21.0,0.348775278460889,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311
176,P2 第11–20排名且仍可探索,C384-059,avibactam,Beta-lactamase TEM,DPP4 — Dipeptidyl peptidase 4,ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GOSOGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,LINAGLIPTIN,17,仍可探索,先用单体avibactam测DPP4酶活，勿用复方或共价机制泛化替代证据。,avibactam–DPP4不同共价药分类共现非证据，单体直接酶活仍可作为探索。,avibactam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ceftazidime复方治疗复杂腹腔感染（联用metronidazole）、复杂尿路感染/肾盂肾炎及院内/呼吸机相关肺炎,rheumatoid arthritis,True,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL2364670,Bacterial beta-lactamase TEM inhibitor,DPP4,CHEMBL284,CHEMBL237500,"IC50,Kd",Kd_RECORD_PRESENT,"452479,803854,960573,1878589,1928899,2262455,2355653,2591553,2607124","37272,61098,73678,112483,114289,124880,127754,133335,136315",ALOGLIPTIN BENZOATE: INHIBITOR; ANAGLIPTIN: INHIBITOR; EVOGLIPTIN: INHIBITOR; GOSOGLIPTIN: INHIBITOR; LINAGLIPTIN: INHIBITOR; OMARIGLIPTIN: INHIBITOR; SAXAGLIPTIN HYDROCHLORIDE: INHIBITOR; SITAGLIPTIN FUMARATE: INHIBITOR; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE: INHIBITOR; SITAGLIPTIN PHOSPHATE: INHIBITOR; TENELIGLIPTIN: INHIBITOR; TRELAGLIPTIN SUCCINATE: INHIBITOR; VILDAGLIPTIN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2258064516129032,False,1.0,0.3075645289841867,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284
177,P2 第11–20排名且仍可探索,C384-060,labetalol,Adrenergic receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,17,仍可探索,已有活性EGLN3才候补，核模型立体化学与采购物一致。,labetalol–EGLN3表达数据库共现不能证结合，尚无母药硬反证；核常规立体实体后可探索。,labetalol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压/严重高血压控制；风险管理中的糖尿病等不是本药适应症,open-angle glaucoma,True,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL2331074,Adrenergic receptor antagonist,EGLN3,CHEMBL5705,CHEMBL3133890,"Kd,IC50",Kd_RECORD_PRESENT,"1299428,1299430",77288,VADADUSTAT: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2112676056338028,False,43.0,0.3034710656593657,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705
178,P2 第11–20排名且仍可探索,C384-061,mebendazole,Tubulin,FGFR2 — Fibroblast growth factor receptor 2,PALIFERMIN; PEMIGATINIB; REGORAFENIB; TRAFERMIN,FEXAGRATINIB,17,仍可探索,先测激酶域结合和酶活；不能只用肿瘤细胞抑制认定靶点。,mebendazole–FGFR2细胞信号可能由微管间接导致，直接酶学恰可检验新靶点假说。,mebendazole,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,肠道蠕虫感染；VERMOX蛔/鞭虫，EMVERM另含蛲/钩虫,squamous cell lung carcinoma,True,OPXLLQIJSORQAM-UHFFFAOYSA-N,CHEMBL2364704; CHEMBL2364705,Tubulin inhibitor,FGFR2,CHEMBL4142,CHEMBL3348846,"IC50,Kd",Kd_RECORD_PRESENT,"1466061,1572613,1572615,1572805,1668738,1668798,1668807,1705763,1923461,1923483,2148656,2265283","91122,99169,104675,106067,114066,121588,124991",PALIFERMIN: AGONIST; PEMIGATINIB: INHIBITOR; REGORAFENIB: INHIBITOR; TRAFERMIN: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2987012987012987,False,24.0,0.4400773548092961,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142
179,P2 第11–20排名且仍可探索,C384-150,methocarbamol,Carbonic anhydrase 1,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,17,仍可探索,先用CA1作机制参照、CA7作新靶点测相同条件酶活，匹配pH并核对SPR动力学。,methocarbamol–CA7有CA1/2弱活性家族线索，可做选择性研究，不把其他同工酶弱效等同CA7阴性。,methocarbamol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,急性疼痛肌骨病症休息/物理治疗辅助缓解,open-angle glaucoma,True,GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL261,Carbonic anhydrase I inhibitor,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3157894736842105,False,45.0,0.3695798546847018,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326
180,P2 第11–20排名且仍可探索,C384-249,bictegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,17,仍可探索,单药JNK1/2/3实验并细化癌种。,比克替拉韦–JNK1缺直接证据，其他化合物面板不能支持也不能否定本药。,bictegravir,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,所获BIXLENVO复方标签：与lenacapavir联合替换已病毒抑制成人HIV-1方案,cancer,True,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL3471,Human immunodeficiency virus type 1 integrase inhibitor,MAPK8,CHEMBL2276,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"325063,586332,1699208,1828587,2065439,2374379,2374992,2502299,2583252,2645100","30300,48311,105824,110936,119003,128249,128261,130836,131258,137289",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2473118279569892,False,11.0,0.5695575193726816,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276
181,P2 第11–20排名且仍可探索,C384-114,glasdegib,Protein smoothened,PDGFRA — Platelet-derived growth factor receptor alpha,AVAPRITINIB; OLARATUMAB; RIPRETINIB; SUNITINIB,STAUROSPORINE,17,仍可探索,已有PDGFRA域与参照才少量追加，核野生型/突变以避免错配。,glasdegib–PDGFRA排名靠后不是反证，在匹配野生型或突变构建可做少量探索。,glasdegib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,联合低剂量cytarabine治疗高龄或不适于强化诱导的新诊断AML,non-small cell lung carcinoma,False,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL5971,Smoothened homolog antagonist,PDGFRA,CHEMBL2007,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586993,1586047,1671230,1730353,1828675,2460197","48311,99644,104767,107047,110936,129616",AVAPRITINIB: INHIBITOR; OLARATUMAB: ANTAGONIST; RIPRETINIB: INHIBITOR; SUNITINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3132530120481928,False,28.0,0.5995923187598761,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007
182,P2 第11–20排名且仍可探索,C384-299,asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,17,仍可探索,MAOB酶活及选择性验证。,阿塞那平–MAOB仅缺证据与邻居偏阴性，原受体机制不构成反证。,asenapine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人精神分裂症；双相I躁狂/混合发作单药、成人锂/丙戊酸辅助及成人维持；儿科10–17岁适用范围依剂型,depressive disorder,False,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,CHEMBL217; CHEMBL224,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Unknown,MAOB,CHEMBL2039,CHEMBL279390,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"320782,885769,1464177,1464353,1464362,1650368,1715376,1753079,1787948,1868178,1921316,2058917,2238396,2284159","30041,67006,91071,103878,106422,107936,109499,112137,113965,118770,124318,125594",RASAGILINE MESYLATE: INHIBITOR; RASAGILINE TARTRATE: INHIBITOR; SAFINAMIDE: INHIBITOR; SAFINAMIDE MESYLATE: INHIBITOR; SELEGILINE: INHIBITOR; SELEGILINE HYDROCHLORIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3064516129032258,False,17.0,0.5028597339426994,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039
183,P2 第11–20排名且仍可探索,C384-354,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,17,仍可探索,纯人DHFR酶活及吸光干扰控制。,比美替尼–DHFR仅缺直接资料，MEK原机制和其他药命中不是硬反对。,binimetinib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BRAF特定突变黑色素瘤和NSCLC联合encorafenib治疗,lung large cell carcinoma,False,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL2964; CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor; Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,DHFR,CHEMBL202,CHEMBL310759,Kd,Kd_RECORD_PRESENT,1458972,90243,METHOTREXATE: INHIBITOR; METHOTREXATE SODIUM: INHIBITOR; PEMETREXED: INHIBITOR; PEMETREXED DIPOTASSIUM: INHIBITOR; PEMETREXED DISODIUM: INHIBITOR; PEMETREXED MONOHYDRATE: INHIBITOR; PEMETREXED TROMETHAMINE: INHIBITOR; PRALATREXATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2307692307692307,False,1.0,0.4619748183558772,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202
184,P2 第11–20排名且仍可探索,C384-375,esketamine,Glutamate [NMDA] receptor,GSK3B — Glycogen synthase kinase-3 beta,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,17,仍可探索,纯GSK3B与NMDA机制分离，可检验新直接靶点。,艾司氯胺酮GSK3B下游效应不是直接结合，MDD已知用途只限制新疾病价值。,esketamine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,难治抑郁及伴急性自杀意念/行为的MDD抑郁症状；不是已证实自杀预防，也非标签麻醉,major depressive disorder,False,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL2094124,Glutamate [NMDA] receptor negative allosteric modulator,GSK3B,CHEMBL262,CHEMBL388978,"IC50,Kd",Kd_RECORD_PRESENT,"305251,570959,586329,1290318,1434610,1449342,1463635,1516575,1545544,1586032,1784620,1928060,1969948,2032783,2115437,2291844,2297962,2583233,2645101,2660682","21020,47256,48311,76817,89342,90310,91014,93482,97576,99644,109299,114252,115587,117897,120623,125765,126004,131258,137289,137700",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.238095238095238,False,8.0,0.5601448590927484,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262
185,P2 第11–20排名且仍可探索,C384-062,nevirapine,Human immunodeficiency virus type 1 reverse transcriptase,AKT1 — RAC-alpha serine/threonine-protein kinase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,IPATASERTIB,18,仍可探索,先核细胞条件与直接酶活，若只做SPR须匹配AKT1激活状态。,nevirapine–AKT1有特定甲状腺癌细胞未抑制Akt磷酸化记录，只反对泛化细胞机制，不足以降低纯AKT1探索资格。,nevirapine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,联合其他ARV治疗成人/≥15日HIV1；按性别/CD4阈值限制启动,female breast carcinoma,True,NQDJXKOVJZTUJA-UHFFFAOYSA-N,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,AKT1,CHEMBL4282,CHEMBL2177390,"IC50,Kd",Kd_RECORD_PRESENT,"875897,875913,2120877,2170323,2254475,2574579","66583,120847,122280,124692,131171",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2666666666666666,False,21.0,0.3695798546847018,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282
186,P2 第11–20排名且仍可探索,C384-063,dasabuvir,RNA-directed RNA polymerase,ALK — ALK tyrosine kinase receptor,ALECTINIB HYDROCHLORIDE; BRIGATINIB; CERITINIB; CRIZOTINIB; ENSARTINIB; ENTRECTINIB; LORLATINIB,STAUROSPORINE,18,仍可探索,先取得纯药直接作用线索，不能把联用限制当新靶点证据。,dasabuvir–ALK联用相互作用不能算ALK结合；暂无母药反证，属于可探索缺口。,dasabuvir,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,Exviera 原欧盟成人慢性丙肝治疗，须与其他药物联合，具体 HCV 基因型及肝病状态按原产品信息,cancer,True,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL4296320,RNA-directed RNA polymerase inhibitor,ALK,CHEMBL4247,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586945,1284309,1577797,1586005,1676639,1676640,1676655,1676656,1676657,1676659,2065581,2583109","48311,76491,99290,99644,104961,119003,131258",ALECTINIB HYDROCHLORIDE: INHIBITOR; BRIGATINIB: INHIBITOR; CERITINIB: INHIBITOR; CRIZOTINIB: INHIBITOR; ENSARTINIB: INHIBITOR; ENTRECTINIB: INHIBITOR; LORLATINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2233009708737864,False,29.0,0.7252841408209163,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247
187,P2 第11–20排名且仍可探索,C384-066,doravirine,Human immunodeficiency virus type 1 reverse transcriptase,NR3C1 — Glucocorticoid receptor,ALCLOMETASONE DIPROPIONATE; AMCINONIDE; BECLOMETHASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE ACETATE; BETAMETHASONE BENZOATE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE; BUDESONIDE; CICLESONIDE; CLOBETASOL PROPIONATE; CLOCORTOLONE PIVALATE; CORTISONE ACETATE; CORTIVAZOL; DEFLAZACORT; DESONIDE; DESOXIMETASONE; DEXAMETHASONE; DEXAMETHASONE ACETATE; DEXAMETHASONE SODIUM PHOSPHATE; DIFLORASONE DIACETATE; DIFLUPREDNATE; FLUMETHASONE PIVALATE; FLUNISOLIDE; FLUOCINOLONE ACETONIDE; FLUOCINONIDE; FLUOROMETHOLONE; FLUOROMETHOLONE ACETATE; FLUPREDNISOLONE; FLURANDRENOLIDE; FLUTICASONE FUROATE; FLUTICASONE PROPIONATE; HALCINONIDE; HALOBETASOL PROPIONATE; HYDROCORTAMATE HYDROCHLORIDE; HYDROCORTISONE; HYDROCORTISONE ACETATE; HYDROCORTISONE BUTYRATE; HYDROCORTISONE CYPIONATE; HYDROCORTISONE PROBUTATE; HYDROCORTISONE SODIUM PHOSPHATE; HYDROCORTISONE SODIUM SUCCINATE; HYDROCORTISONE VALERATE; LOTEPREDNOL ETABONATE; MEDRYSONE; MEPREDNISONE; METHYLPREDNISOLONE; METHYLPREDNISOLONE ACETATE; METHYLPREDNISOLONE SODIUM SUCCINATE; MIFEPRISTONE; MOMETASONE FUROATE; PARAMETHASONE ACETATE; PREDNICARBATE; PREDNISOLONE; PREDNISOLONE ACETATE; PREDNISOLONE SODIUM PHOSPHATE; PREDNISOLONE TEBUTATE; PREDNISONE; RIMEXOLONE; TRIAMCINOLONE; TRIAMCINOLONE ACETONIDE; TRIAMCINOLONE DIACETATE; TRIAMCINOLONE HEXACETONIDE; VAMOROLONE,PREDNISONE,18,仍可探索,已有GR-LBD体系才候补，先证结合及功能，勿将激素联用信息当新靶点。,doravirine–NR3C1药代相互作用不是GR结合，但当前没有直接反证，可测试受体作用。,doravirine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,联合抗逆转录病毒治疗HIV1；初治或稳定病毒抑制后符合无失败/耐药条件的替换；≥35kg,childhood brain meningioma,True,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase negative allosteric modulator,NR3C1,CHEMBL2034,CHEMBL635,Kd,Kd_RECORD_PRESENT,2026431,117712,ALCLOMETASONE DIPROPIONATE: AGONIST; AMCINONIDE: AGONIST; BECLOMETHASONE DIPROPIONATE: AGONIST; BETAMETHASONE: AGONIST; BETAMETHASONE ACETATE: AGONIST; BETAMETHASONE BENZOATE: AGONIST; BETAMETHASONE DIPROPIONATE: AGONIST; BETAMETHASONE SODIUM PHOSPHATE: AGONIST; BETAMETHASONE VALERATE: AGONIST; BUDESONIDE: AGONIST; CICLESONIDE: AGONIST; CLOBETASOL PROPIONATE: AGONIST; CLOCORTOLONE PIVALATE: AGONIST; CORTISONE ACETATE: AGONIST; CORTIVAZOL: AGONIST; DEFLAZACORT: AGONIST; DESONIDE: AGONIST; DESOXIMETASONE: AGONIST; DEXAMETHASONE: AGONIST; DEXAMETHASONE ACETATE: AGONIST; DEXAMETHASONE SODIUM PHOSPHATE: AGONIST; DIFLORASONE DIACETATE: AGONIST; DIFLUPREDNATE: AGONIST; FLUMETHASONE PIVALATE: AGONIST; FLUNISOLIDE: AGONIST; FLUOCINOLONE ACETONIDE: AGONIST; FLUOCINONIDE: AGONIST; FLUOROMETHOLONE: AGONIST; FLUOROMETHOLONE ACETATE: AGONIST; FLUPREDNISOLONE: AGONIST; FLURANDRENOLIDE: AGONIST; FLUTICASONE FUROATE: AGONIST; FLUTICASONE PROPIONATE: AGONIST; HALCINONIDE: AGONIST; HALOBETASOL PROPIONATE: AGONIST; HYDROCORTAMATE HYDROCHLORIDE: AGONIST; HYDROCORTISONE: AGONIST; HYDROCORTISONE ACETATE: AGONIST; HYDROCORTISONE BUTYRATE: AGONIST; HYDROCORTISONE CYPIONATE: AGONIST; HYDROCORTISONE PROBUTATE: AGONIST; HYDROCORTISONE SODIUM PHOSPHATE: AGONIST; HYDROCORTISONE SODIUM SUCCINATE: AGONIST; HYDROCORTISONE VALERATE: AGONIST; LOTEPREDNOL ETABONATE: AGONIST; MEDRYSONE: AGONIST; MEPREDNISONE: AGONIST; METHYLPREDNISOLONE: AGONIST; METHYLPREDNISOLONE ACETATE: AGONIST; METHYLPREDNISOLONE SODIUM SUCCINATE: AGONIST; MIFEPRISTONE: ANTAGONIST; MOMETASONE FUROATE: AGONIST; PARAMETHASONE ACETATE: AGONIST; PREDNICARBATE: AGONIST; PREDNISOLONE: AGONIST; PREDNISOLONE ACETATE: AGONIST; PREDNISOLONE SODIUM PHOSPHATE: AGONIST; PREDNISOLONE TEBUTATE: AGONIST; PREDNISONE: AGONIST; RIMEXOLONE: AGONIST; TRIAMCINOLONE: AGONIST; TRIAMCINOLONE ACETONIDE: AGONIST; TRIAMCINOLONE DIACETATE: AGONIST; TRIAMCINOLONE HEXACETONIDE: AGONIST; VAMOROLONE: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2823529411764706,False,39.0,0.3056021473391003,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034
188,P2 第11–20排名且仍可探索,C384-078,relugolix,Gonadotropin-releasing hormone receptor,FLT1 — Vascular endothelial growth factor receptor 1,SUNITINIB,STAUROSPORINE,18,仍可探索,已有匹配FLT1构建才追加，结合与酶/受体功能需一致。,relugolix–FLT1表达变化不是亲和，暂无直接反证，可在匹配域开展探索。,relugolix,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,单药晚期前列腺癌；MYFEMBREE复方子宫肌瘤重度经血及内异症疼痛,coronary artery disorder,True,AOMXMOCNKJTRQP-UHFFFAOYSA-N,CHEMBL1855,Gonadotropin-releasing hormone receptor antagonist,FLT1,CHEMBL1868,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"586595,1586024,1730335,1740145,1774220,1828550,2065473,2291847,2583217","48311,99644,107047,107425,108894,110936,119003,125765,131258",SUNITINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2547169811320754,False,28.0,0.5746657928529721,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868
189,P2 第11–20排名且仍可探索,C384-193,roflumilast,Phosphodiesterase 4,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,18,仍可探索,按母药而非N-oxide配制；用ACHE活性与SPR互证。,罗氟司特原PDE4机制不同及未找到ACHE文献，都不足以否定新结合。,roflumilast,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,口服减少限定严重COPD急性加重；外用脂溢性皮炎/银屑病及特应性皮炎,open-angle glaucoma,True,MNDBXUUTURYVHR-UHFFFAOYSA-N,CHEMBL2093863,Phosphodiesterase 4 inhibitor,ACHE,CHEMBL220,CHEMBL395280,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"362147,606474,833863,945319,973813,1439748,1551243,1766084,1834120,1935994,2106831,2204620","31257,49254,62972,72583,74457,89362,97886,108509,111106,114663,120294,123102",AMBENONIUM CHLORIDE: INHIBITOR; BENZGALANTAMINE GLUCONATE: INHIBITOR; DEMECARIUM BROMIDE: INHIBITOR; DISTIGMINE: INHIBITOR; DONEPEZIL HYDROCHLORIDE: INHIBITOR; ECHOTHIOPHATE: INHIBITOR; ECHOTHIOPHATE IODIDE: INHIBITOR; EDROPHONIUM CHLORIDE: INHIBITOR; GALANTAMINE HYDROBROMIDE: INHIBITOR; HEXAFLUORENIUM BROMIDE: INHIBITOR; ISOFLUROPHATE: INHIBITOR; NEOSTIGMINE METHYLSULFATE: INHIBITOR; PHYSOSTIGMINE SALICYLATE: INHIBITOR; PRALIDOXIME CHLORIDE: ACTIVATOR; PYRIDOSTIGMINE BROMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3529411764705882,False,30.0,0.3739449007517403,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220
