排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
63,P1 前10排名且仍可探索,C384-010,lasmiditan,5-hydroxytryptamine receptor 1F,FLT3 — Receptor-type tyrosine-protein kinase FLT3,FEDRATINIB; FEDRATINIB HYDROCHLORIDE; GILTERITINIB; GILTERITINIB FUMARATE; MIDOSTAURIN; PACRITINIB; PACRITINIB CITRATE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; QUIZARTINIB DIHYDROCHLORIDE; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,STAUROSPORINE,8,仍可探索,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
64,P1 前10排名且仍可探索,C384-033,pregabalin,Voltage-gated calcium channel,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,8,仍可探索,先查直接酶活；不因联用不良反应推定ACE作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
65,P1 前10排名且仍可探索,C384-034,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,SRC — Proto-oncogene tyrosine-protein kinase Src,BOSUTINIB; TIRBANIBULIN; VANDETANIB,DASATINIB ANHYDROUS,8,仍可探索,按SRC UniProt/激酶名称重新核数据，匹配激酶域有直接响应再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
66,P1 前10排名且仍可探索,C384-073,zavegepant,"Calcitonin gene-related peptide type 1 receptor; Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",PTK2 — Focal adhesion kinase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,8,仍可探索,已有PTK2激酶体系才少量侦察，先控制非特异响应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
67,P1 前10排名且仍可探索,C384-124,dasabuvir,RNA-directed RNA polymerase,PGR — Progesterone receptor,DANAZOL; DESOGESTREL; DROSPIRENONE; DYDROGESTERONE; ETHYNODIOL DIACETATE; ETONOGESTREL; LEVONORGESTREL; MEDROXYPROGESTERONE ACETATE; MEGESTROL ACETATE; MIFEPRISTONE; NOMEGESTROL; NOMEGESTROL ACETATE; NORELGESTROMIN; NORETHINDRONE; NORETHINDRONE ACETATE; NORETHYNODREL; NORGESTIMATE; NORGESTREL; PROGESTERONE; SEGESTERONE ACETATE; ULIPRISTAL,CHEMBL2311103,8,仍可探索,先定位具体PGR相关疾病及需要激动还是拮抗，核对PGR配体结合域和直接结合资料，再决定是否占用首批实验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
68,P1 前10排名且仍可探索,C384-085,imiquimod,Toll-like receptor 7,FDPS — Farnesyl pyrophosphate synthase,ALENDRONATE SODIUM; IBANDRONATE SODIUM; MINODRONIC ACID; PAMIDRONATE DISODIUM; RISEDRONATE SODIUM; ZOLEDRONIC ACID,METHYL CARNOSATE,8,仍可探索,先直接测FDPS酶活与结合，阳性后再区分原免疫机制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
69,P1 前10排名且仍可探索,C384-134,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,8,仍可探索,若PDE9A体系已成熟，可先廉价测cGMP水解抑制，出现可重复效应才提高SPR优先级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
70,P1 前10排名且仍可探索,C384-268,lacosamide,Sodium channel alpha subunit,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,8,仍可探索,MAOB与MAOA功能并行，探索浓度清楚。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
71,P1 前10排名且仍可探索,C384-323,indomethacin,Cyclooxygenase,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,8,仍可探索,成熟人CTSC功能、pH及浓度记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
72,P1 前10排名且仍可探索,C384-325,tofacitinib,Janus Kinase (JAK),PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,8,仍可探索,PARP2催化实验独立于JAK细胞效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
73,P1 前10排名且仍可探索,C384-326,guanfacine,Adrenergic receptor alpha-2,THRB — Thyroid hormone receptor beta,RESMETIROM,LIOTHYRONINE,8,仍可探索,THRB竞争与激动/拮抗报告。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
74,P1 前10排名且仍可探索,C384-012,cabotegravir,Human immunodeficiency virus type 1 integrase,PPARG — Peroxisome proliferator-activated receptor gamma,BALSALAZIDE DISODIUM; MESALAMINE; OLSALAZINE SODIUM; PIOGLITAZONE HYDROCHLORIDE,REVERSE TRIIODOTHYRONINE,9,仍可探索,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
75,P1 前10排名且仍可探索,C384-037,terazosin,Adrenergic receptor alpha-1,NTRK3 — NT-3 growth factor receptor,REPOTRECTINIB,STAUROSPORINE,9,仍可探索,优先核疾病具体机制；已有TrkC体系才少量侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
76,P1 前10排名且仍可探索,C384-038,sufentanil,Mu-type opioid receptor,PDGFRA — Platelet-derived growth factor receptor alpha,AVAPRITINIB; OLARATUMAB; RIPRETINIB; SUNITINIB,STAUROSPORINE,9,仍可探索,若要保留只作生化脱靶研究，先证PDGFRA域结合及抑制再评疾病投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
77,P1 前10排名且仍可探索,C384-125,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,CA1 — Carbonic anhydrase 1,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; METHOCARBAMOL,ETHOXZOLAMIDE,9,仍可探索,确认使用单独vaborbactam而非meropenem复方，先做CA1酶活和干扰检查，再考虑SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
78,P1 前10排名且仍可探索,C384-126,metoprolol,Beta-1 adrenergic receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,9,仍可探索,与该药其他CA候选合并比较优先级，先做小规模酶活；有清晰信号再分配CA7浓度梯度SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
79,P1 前10排名且仍可探索,C384-209,indacaterol,Beta-2 adrenergic receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,9,仍可探索,含锌活性CA2及同工酶反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
80,P1 前10排名且仍可探索,C384-211,elvitegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,9,仍可探索,单一艾维雷韦与JNK酶活验证，避免复方归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
81,P1 前10排名且仍可探索,C384-269,brexanolone,GABA-A receptor; anion channel,ESR2 — Estrogen receptor beta,CHLOROTRIANISENE; ESTRAMUSTINE PHOSPHATE SODIUM; RALOXIFENE HYDROCHLORIDE,CHEMBL475278,9,仍可探索,ESR2竞争/报告区分激动拮抗及非特异。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
82,P1 前10排名且仍可探索,C384-316,bumetanide,Solute carrier family 12 member 1,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,9,仍可探索,纯FAAH功能独立于利尿表型，AKI获益另判。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
83,P1 前10排名且仍可探索,C384-328,selegiline,Amine oxidase [flavin-containing] B,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,9,仍可探索,纯ACE酶活可探索，疾病方向另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
84,P1 前10排名且仍可探索,C384-329,tizanidine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,9,仍可探索,纯GSK3A功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
85,P1 前10排名且仍可探索,C384-013,pitavastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,10,仍可探索,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
86,P1 前10排名且仍可探索,C384-014,lasmiditan,5-hydroxytryptamine receptor 1F,NTRK2 — BDNF/NT-3 growth factors receptor,REPOTRECTINIB,STAUROSPORINE,10,仍可探索,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
87,P1 前10排名且仍可探索,C384-212,glimepiride,"Sulfonylurea receptor 1, Kir6.2",CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,10,仍可探索,CA4活性构建、CA1/2选择性及SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
88,P1 前10排名且仍可探索,C384-213,aprepitant,Substance-P receptor,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN CALCIUM; FLUVASTATIN SODIUM; LOVASTATIN; PITAVASTATIN CALCIUM; PITAVASTATIN MAGNESIUM; PITAVASTATIN SODIUM; PRAVASTATIN SODIUM; ROSUVASTATIN CALCIUM; SIMVASTATIN,ATORVASTATIN,10,仍可探索,检测阿瑞匹坦本体；不用福沙匹坦代替。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
89,P1 前10排名且仍可探索,C384-214,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,10,仍可探索,单成分MME功能与金属酶反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
90,P1 前10排名且仍可探索,C384-215,memantine,Glutamate [NMDA] receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,10,仍可探索,竞争/报告测方向，不把合并节点当特定病预测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
91,P1 前10排名且仍可探索,C384-135,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",DISULFIRAM,PRUNETIN,10,仍可探索,明确ALDH2参考物、辅因子及活性方向，优先用酶学筛查后决定SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
92,P1 前10排名且仍可探索,C384-136,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",BRAF — Serine/threonine-protein kinase B-raf,DABRAFENIB MESYLATE; ENCORAFENIB; REGORAFENIB; SORAFENIB TOSYLATE; VEMURAFENIB,SB590885,10,仍可探索,先查具体BRAF构建与配对活性，若只见下游通路变化则不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
93,P1 前10排名且仍可探索,C384-137,desoximetasone,Glucocorticoid receptor,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,10,仍可探索,先用域匹配PKCβ活性检测寻找可重复线索，只有直接效应才增加SPR投入。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
94,P1 前10排名且仍可探索,C384-226,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA12 — Carbonic anhydrase 12,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE,INDAPAMIDE,10,仍可探索,CA12活性/溶解性合格即可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
95,P1 前10排名且仍可探索,C384-271,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,CDK9 — Cyclin-dependent kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,DINACICLIB,10,仍可探索,仅接受纯沙利度胺CDK9生化结果，重审近邻来源。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
96,P1 前10排名且仍可探索,C384-317,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,PARP2 — Poly [ADP-ribose] polymerase 2,NIRAPARIB; NIRAPARIB TOSYLATE MONOHYDRATE; TALAZOPARIB; TALAZOPARIB TOSYLATE,TALAZOPARIB,10,仍可探索,单药PARP2酶活，不用组合效果作证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
97,P1 前10排名且仍可探索,C384-318,ticagrelor,P2Y purinoceptor 12,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,10,仍可探索,纯PDE9A作用与P2Y12/ENT1分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
98,P1 前10排名且仍可探索,C384-319,ixabepilone,Tubulin,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,10,仍可探索,纯PRKCB功能后再解释AML细胞效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
99,P1 前10排名且仍可探索,C384-330,lumateperone,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,AMBENONIUM CHLORIDE; BENZGALANTAMINE GLUCONATE; DEMECARIUM BROMIDE; DISTIGMINE; DONEPEZIL HYDROCHLORIDE; ECHOTHIOPHATE; ECHOTHIOPHATE IODIDE; EDROPHONIUM CHLORIDE; GALANTAMINE HYDROBROMIDE; HEXAFLUORENIUM BROMIDE; ISOFLUROPHATE; NEOSTIGMINE METHYLSULFATE; PHYSOSTIGMINE SALICYLATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE BROMIDE,HUPERZINE A,10,仍可探索,ACHE功能及光学干扰对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
100,P1 前10排名且仍可探索,C384-331,alprazolam,GABA-A receptor; anion channel,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,10,仍可探索,成熟GSK3A体系探索，独立于镇静表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
101,P2 第11–20排名且仍可探索,C384-043,indacaterol,Beta-2 adrenergic receptor,JAK1 — Tyrosine-protein kinase JAK1,ABROCITINIB; BARICITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,CRAVACITINIB,11,仍可探索,优先查原安全panel，匹配JAK1域直接结合/酶活阳性才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
102,P2 第11–20排名且仍可探索,C384-044,rimegepant,Calcitonin gene-related peptide type 1 receptor,JAK2 — Tyrosine-protein kinase JAK2,BARICITINIB; DEURUXOLITINIB PHOSPHATE; FEDRATINIB; FEDRATINIB HYDROCHLORIDE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,RUXOLITINIB,11,仍可探索,核JAK2构建，先直接结合再功能；不移用其他JAK亚型细胞结论。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
103,P2 第11–20排名且仍可探索,C384-045,arformoterol,Beta-2 adrenergic receptor,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,11,仍可探索,已有MMP12体系才候补，先核单一异构体及酶活而非支气管舒张效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
104,P2 第11–20排名且仍可探索,C384-138,carbinoxamine,Histamine H1 receptor,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,11,仍可探索,在成熟FAAH体系下先检测酶活并校正非特异效应，不因咽炎图谱分高直接做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
105,P2 第11–20排名且仍可探索,C384-139,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,KDR — Vascular endothelial growth factor receptor 2,CABOZANTINIB S-MALATE; MIDOSTAURIN; RAMUCIRUMAB; SUNITINIB,LINIFANIB,11,仍可探索,只在KDR激酶域和对照已测通时保留，SPR后核对酶活及具体疾病细胞依赖。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
106,P2 第11–20排名且仍可探索,C384-227,tetracaine,Sodium channel alpha subunit,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,11,仍可探索,成熟CTSC与功能对照，控制非特异吸附。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
107,P2 第11–20排名且仍可探索,C384-228,cyclobenzaprine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,11,仍可探索,MAOB/MAOA功能并行，独立于相互作用标签。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
108,P2 第11–20排名且仍可探索,C384-277,piperacillin,Bacterial penicillin-binding protein,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,11,仍可探索,纯母药稳定性与成熟MME功能确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
109,P2 第11–20排名且仍可探索,C384-111,lisinopril,Angiotensin-converting enzyme,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,11,仍可探索,已有MR-LBD体系才追加，竞争及功能必须独立确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
110,P2 第11–20排名且仍可探索,C384-169,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,ESRRG — Estrogen-related receptor gamma,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BISPHENOL A,11,仍可探索,使用ERRγ域和专用对照，先功能/竞争检测；无配对线索时不优先开发体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
111,P2 第11–20排名且仍可探索,C384-218,bazedoxifene,Estrogen receptor,THRB — Thyroid hormone receptor beta,RESMETIROM,LIOTHYRONINE,11,仍可探索,单成分THRB/THRA竞争及报告，纠正证据归属。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
112,P2 第11–20排名且仍可探索,C384-334,talazoparib,Poly [ADP-ribose] polymerase 1; Poly [ADP-ribose] polymerase 2,MET — Hepatocyte growth factor receptor,AMIVANTAMAB; BEPERMINOGENE PERPLASMID; CABOZANTINIB S-MALATE; CAPMATINIB; CAPMATINIB HYDROCHLORIDE; CRIZOTINIB; TEPOTINIB; TEPOTINIB HYDROCHLORIDE,TEPOTINIB,11,仍可探索,纯MET功能与PARP效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
113,P2 第11–20排名且仍可探索,C384-335,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,11,仍可探索,单成分成熟MMP8与金属反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
114,P2 第11–20排名且仍可探索,C384-046,elvitegravir,Human immunodeficiency virus type 1 integrase,ERBB2 — Receptor tyrosine-protein kinase erbB-2,AFATINIB DIMALEATE; DACOMITINIB; DACOMITINIB ANHYDROUS; LAPATINIB DITOSYLATE; MARGETUXIMAB; MASOPROCOL; NERATINIB; NERATINIB MALEATE; PERTUZUMAB; TRASTUZUMAB; TRASTUZUMAB DERUXTECAN; TRASTUZUMAB EMTANSINE; TUCATINIB; ZANIDATAMAB,IBRUTINIB,12,仍可探索,确认纯elvitegravir而非复方及ERBB2激酶域，已有体系才补测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
115,P2 第11–20排名且仍可探索,C384-047,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,FGFR2 — Fibroblast growth factor receptor 2,PALIFERMIN; PEMIGATINIB; REGORAFENIB; TRAFERMIN,FEXAGRATINIB,12,仍可探索,先找FGFR2直接证据，若已有蛋白则少量侦察并复核激酶功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
116,P2 第11–20排名且仍可探索,C384-048,cilastatin,Dipeptidase 1,PPARG — Peroxisome proliferator-activated receptor gamma,BALSALAZIDE DISODIUM; MESALAMINE; OLSALAZINE SODIUM; PIOGLITAZONE HYDROCHLORIDE,REVERSE TRIIODOTHYRONINE,12,仍可探索,精确单体核对后，仅在PPARG体系成熟时候补；功能方向与鼻窦炎价值另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
117,P2 第11–20排名且仍可探索,C384-142,vibegron,Beta-3 adrenergic receptor,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,12,仍可探索,用MR配体结合域匹配对照；若SPR可重复，再以转录报告确定方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
118,P2 第11–20排名且仍可探索,C384-143,palbociclib,CDK6/cyclin D1; Cyclin-dependent kinase 4/cyclin D1,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,12,仍可探索,先用肾素底物活性读出寻找作用，排除仅CDK通路解释后再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
119,P2 第11–20排名且仍可探索,C384-230,ondansetron,5-hydroxytryptamine receptor 3A,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,12,仍可探索,单药FAAH功能与构建对照，独立定义疾病终点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
120,P2 第11–20排名且仍可探索,C384-232,glimepiride,"Sulfonylurea receptor 1, Kir6.2",REN — Renin,ALISKIREN FUMARATE,REMIKIREN,12,仍可探索,纯化REN及已知抑制剂对照验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
121,P2 第11–20排名且仍可探索,C384-170,anastrozole,Aromatase,ALK — ALK tyrosine kinase receptor,ALECTINIB HYDROCHLORIDE; BRIGATINIB; CERITINIB; CRIZOTINIB; ENSARTINIB; ENTRECTINIB; LORLATINIB,STAUROSPORINE,12,仍可探索,先核对ALK野生型/融合构建及酶活线索，只有直接效应才安排梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
122,P2 第11–20排名且仍可探索,C384-293,tapinarof,Aryl hydrocarbon receptor,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,BALSALAZIDE DISODIUM; MECLOFENAMATE SODIUM; MESALAMINE; OLSALAZINE SODIUM; SULFASALAZINE; ZILEUTON,CHEMBL3113617,12,仍可探索,纯ALOX5脂质产物与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
123,P2 第11–20排名且仍可探索,C384-294,benoxinate,Sodium channel alpha subunit,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,12,仍可探索,明确人DHFR/NADPH测定，疾病获益另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
124,P2 第11–20排名且仍可探索,C384-295,donepezil,Acetylcholinesterase,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL5810180,12,仍可探索,纯PDE9A功能与AChE作用分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
125,P2 第11–20排名且仍可探索,C384-336,dextromethorphan,"Glutamate receptor ionotropic, NMDA 2A; Sigma non-opioid intracellular receptor 1",CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,12,仍可探索,纯母药而非右啡烷，成熟CTSC功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
126,P2 第11–20排名且仍可探索,C384-337,mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,12,仍可探索,人DHFR/NADPH功能和干扰对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
