matrix_target_index,gene_symbol,sequence_sha256,sequence_length,feature_route
220,CD3E,5a043cd319d3f196bb50c385f5bb4932472256a7646c6cca861f2ef9f4b032fe,207,new_full_chain_esm2
221,CD40,bdaae0d2976942880a6d26f22bd2956752a017fc8350f857553e3f8039215f5c,277,new_full_chain_esm2
222,CD47,caa66c8069880514fd225b7c8673a1f4877dbfc3e15d10e69400cb453a226918,323,new_full_chain_esm2
223,CLEC4C,66a94b559a2d79b38d769adf8c9782eee6b5ba161bd5a989b5ba876716cae6f4,213,new_full_chain_esm2
224,CR1,947b72bc60774c38e77fdf5225ac45f106724e4729f660f707e23fd57cd6826e,2039,new_full_chain_esm2
225,CSF3R,d5cf3e74c209c0757c6e0c8ed593e62c9640e2b160103c323a7b1defb25514da,836,new_full_chain_esm2
226,EPOR,836335c4f694ce5071ab10c75ade586523c1b7f3838c885157e120d468fda261,508,new_full_chain_esm2
227,F3,b417abbb0c5de5d0f68277a6c804042da9c2cf3ea76687829b33958a34970c14,295,new_full_chain_esm2
228,FCER2,3549dd78183eeafb477c8b4135cfc57b5c28384a2a2d85e8cead7a967407f546,321,new_full_chain_esm2
229,FCGR1A,3fe218549c0d053a538065be111a7d0da2416f5b21ef8cfbe4ac640a4d272c55,374,new_full_chain_esm2
230,FCGR3A,2dc710f6f703d355106697644db33d0ea48ac15f0e9eb9855d17d6732a55fa38,254,new_full_chain_esm2
231,FOLR1,32c0a619bf0594c065d065d7e221ae2f11c85a62b9d2c5337b44f3930ba58400,257,new_full_chain_esm2
232,GFRA1,ea3c29477a12212b74677d29d8e90e5ef6c366e14326a5d72fc68cb4ab7d3912,465,new_full_chain_esm2
233,GP6,a5f42a224b57b4597e94f56e405ceea2024f106aec4357d85b1723db3207dc9e,339,new_full_chain_esm2
234,IFNAR1,bb6479b4723c23e7050daad4e48261c2d58fd33a8260609a8fa6c3b2eb522914,557,new_full_chain_esm2
235,IL11RA,dedc64b2c2328ef3ddfd6cd0f83483e725710a971cb23210bd245f15cfc2f12c,422,added_residue_bank
236,IL13RA2,19976f696e7fa9e96703add408358db6ea0e356345cd3f2028c7739fcf5ea0a5,380,new_full_chain_esm2
237,IL17RA,5a44ea924a39188867916ffeb93a8c881daf38c632095e7ef2e2c5a6694ea725,866,new_full_chain_esm2
238,IL1R1,c2b68be4c56565f6e7ef5b70b4afa998e7c154c1c482c7b9bf9f3dede2e49f88,569,new_full_chain_esm2
239,IL2RA,290d65d7c27ea9d8968019162a0c555118035dd9deea2b16caaf419b78296792,272,new_full_chain_esm2
240,IL2RB,7b744774df6ab963b0953dd2974c0be7235559538321e68982813ac0656550b9,551,new_full_chain_esm2
241,IL31RA,e084bbd65f6764775ced15af9fc479374e905476d173ec7a9c2cc0b112a0d3a5,732,new_full_chain_esm2
242,IL3RA,242c33a169bf99306af5206da2f2422c97a2a68dd6a7fd6bc87f31e5b4d874e5,378,new_full_chain_esm2
243,IL5RA,40d264f53ed937ac1f32b734e7abdf1719f860fb4dfb0c6f41586f5fc2724abb,420,new_full_chain_esm2
244,ITGA2,f51551a96d9892d7519de005d52cf5b94a1771c79864600e3dfbd707dab04ab9,1181,new_full_chain_esm2
245,ITGA5,b07ed13d63c02ef0851215fefd766acb1f44da33e53f6c5e83b5887541f1368d,1049,new_full_chain_esm2
246,ITGAL,4dcc7bcfcead8f33eee44af53d05e2a520b1109d93ea0450cfc3cbfbb59ecb5f,1170,new_full_chain_esm2
247,ITGAV,d5e1e101edb8e81ca39900444877a2dcc9e6080adffde94a47d58b0ee6f6c811,1048,new_full_chain_esm2
248,ITGB2,c3c1c06fbc2adb28b9866a482134426b740f0ea6c224af21fdbe42b59cc61183,769,new_full_chain_esm2
249,ITGB6,871c82602ef83b96fc7e48abb1d783377410233b25a6bf2f2850d98965d21860,788,new_full_chain_esm2
250,ITGB7,2e7f41cc4d42f28e5ade2dc7c0860f0c0b6d5f8dc852c60c04befe0fc89f410f,798,new_full_chain_esm2
251,KIR2DL1,ee148c74eb46d498f630f2530526a72d9b337bbd96bf28ba0237d12cba7302aa,348,new_full_chain_esm2
252,KIR2DL2,002d9abaa4d33196c02a361b792aa25c55e2062d18a1499e481fd9c18e3e224b,348,new_full_chain_esm2
253,KIR2DL3,9a251d433d181a49cfedf329e8403e011a43a87459cd5be2f38b895ea79ed686,341,new_full_chain_esm2
254,KIR3DL2,45e3d15803483be073e406c2154f2d6c4c8b88d207e6c354683e3d667214ee11,455,new_full_chain_esm2
255,LTBR,609e4fdd1e48c4b8fda9060e916cac8fbaef62d0854b7988b0ba31cbf4d2902a,435,new_full_chain_esm2
256,MCAM,265342dce19d8882afb5e564cd5184187cd095ef8d17ac7b3d7e9996febee291,646,new_full_chain_esm2
257,NOTCH1,13a0562d5e1bb03c7e093ac0b73b8eb15b6df7bb2298bfb6aed6ace9f6a50f77,2555,new_full_chain_esm2
258,NOTCH2,5c8f5b6440bac3e2b67ad896078aad514be41af2632116e225d863068420541a,2471,new_full_chain_esm2
259,NOTCH3,de1abe5d688aabf4a87f460e9042587a2b972609f005b01d860b95e1ad1b70a1,2321,new_full_chain_esm2
260,NRP1,1d2551ade453a33a915755fda9144bb4924af48001cae8fe701fa2663318092c,923,new_full_chain_esm2
261,SIGLEC10,71114101ab258a107462c5f9bc80ef80bf2ed4f4a14c8acf26d4006d3072ea83,697,new_full_chain_esm2
262,SLAMF7,fd5222ee5baa864e62b1bef7ffaba447f407ed9af7ebd63bbdac3db7717d4d50,335,new_full_chain_esm2
263,TFRC,c6a44b119bef130274a956ef9023aa7b51713ae3ba54bf0da32d5ebdbf133834,760,new_full_chain_esm2
264,TLR3,a599e95c1f774b8bb8b499064316aced28a3e1f4d3b8b85bfb1bfc5325ba75d5,904,new_full_chain_esm2
265,TLR5,3955f9ee05c01899f14750ae560bb0d3e743fbcdd4e5a7353c3f61f97406745f,858,new_full_chain_esm2
266,TNFRSF10A,d5dbd35bf1d46873776299acc1a09e7df0368947a7b061f0b42a65525f2700a7,468,new_full_chain_esm2
267,TNFRSF10B,3606e0fe132ce531f97cb3dbca3255615f44166ef54c29118ca2b7ad5155e05e,440,new_full_chain_esm2
268,TNFRSF12A,3ec26c7dfee4bba74cd2429c257716a6778c60f901bdef1828557ae115b8fdeb,129,new_full_chain_esm2
269,TNFRSF13C,fc31814c002cbcc8a1cfdb0e2d547804d21c2a7ba42b0038cd24d6f24327fff9,184,new_full_chain_esm2
270,TNFRSF17,4b524cded1d0dcca58eed976f96f88678f4c739ef87aefccfd2f2ffc05de1410,184,new_full_chain_esm2
271,TNFRSF18,02969e538b189ee1ef90ce6a6e2a445bf729010d2e044756bcc22d3546e09412,241,new_full_chain_esm2
272,TNFRSF1A,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,455,new_full_chain_esm2
273,TNFRSF4,961acc71fe9b1ba77818a9ff4ffc482d025282f51ac07b592ad4ddeadfc2d60e,277,new_full_chain_esm2
274,TNFRSF9,38a67445dbad37f13585306f84b1adbb22f7a5a212f0c0aaed5511b1961ab27d,255,new_full_chain_esm2
275,TPBG,51681f2cee5b5729bdc190698020665dfc2e9e327a0f5ada6907865092d8e114,420,new_full_chain_esm2
276,TREM1,bf8a7860c621096e38bc5e941f5ff53631a3967ab7fcf10a4e160b59a97aadfa,234,new_full_chain_esm2
277,EGR1,c614fbc89b206c6bfad72d08e87d075e2a5f8d97d6f5a0ee4912e15d5d4a5478,543,full_residue_bank
278,WT1,8a480d6775e0b4097060fe9ef81b2e1dc300b80f16b5b8939200aa9e88a2eff2,449,new_full_chain_esm2
279,SLC39A6,c07dd8c882d1dcfd0f1aa4f5360bf3f2c0e1baa17465459fa650172e694db8c1,755,new_full_chain_esm2
280,SLC44A4,0d06c97efd6f5bd5586ff7c9c2fe8844b44c0a27c0af82e1b4dac93e1ccef465,710,new_full_chain_esm2
281,ACP3,3c034726488da0d983ef74707427fe347f18653c3a81156061d192a6179ac130,386,full_residue_bank
282,ADAMTS13,20d8937a8f2450b612ad8a1c68c7ea02159f8d228ec3804a4e0c0cfc867e8563,1427,full_residue_bank
283,AMY2A,427556ee7e35633327c1f10323a53d0dd5f99eadf9f9c82b9eeac4ca4690350f,511,full_residue_bank
284,AOC3,7ed9ac5c23544be7912027e65618ab7059050a2d248f3b1a609c318b0080fa95,763,full_residue_bank
285,C1S,7710c1bd275b8d3816f9cd396e4e65814337bdf886aa89294e17959ee841432f,688,full_residue_bank
286,CA9,3501ff1a2c34e139907d0b8726e0ce2d830cfc7304472a862525f3428a6a534c,459,full_residue_bank
287,CD38,cd93638e360115a76f40fc9134aac479b8c46054174220c524975b8e00665fab,300,full_residue_bank
288,ENPP3,332a615fa2c3bc173a06bcc49fae71432ccdd91eb59277b93cb8bbbbf0e67a42,875,full_residue_bank
289,F13A1,46a764779f6a34087a12339f47517c70efcb0aec88c0e3b61a5166d4ba9b7bec,732,full_residue_bank
290,F9,32f5d032de97ea22d5e46e0ad5aeeaf19f1b5f3636dc0424cee6bf92e6035a2a,461,full_residue_bank
291,FAP,fc502b7363283bca3ea0e276ed1d65d0ae8d5064519a226a06f9c77059235b6f,760,full_residue_bank
292,FOLH1,75c34e924155e3529903bd10daf1da3d8929c12d17075ff191d84ec07703843f,750,full_residue_bank
293,GUCY2C,65e0c45e5759303997c3b2d84199fc621c9d3899348c9b6fd17686195676db85,1073,new_full_chain_esm2
294,HPSE,45553a5ee7870094a40c8560c5acdde38f6bb756b96f7b800522be303694334e,543,full_residue_bank
295,KLK3,087ec39e04049bcd985131f9b3906f227ec88fffbfe1f1b051ffaf0619e2c8b4,261,full_residue_bank
296,MASP2,fefaeffff4711a283120fd15ffc328be87843f3dce76b8c55b8359649abd7339,686,full_residue_bank
297,NPR1,c1d202d61efc0347df642183d6603c80973a897dd48d42e9608227909d169450,1061,full_residue_bank
298,NT5E,0e3740730dd7a0bb4d2d5eb050d6f2e5ead1cdfa625f09f6a7ab65acc340055f,574,full_residue_bank
299,PCSK9,0451c5f5ef052711dec57df65d688e28c0027e49dc4be546d73beb880c6181ed,692,full_residue_bank
300,PGA5,3a4247dc6bcf564b3c5bc0559b18604c0010ce524aec741cfd1e42f56b44efff,388,full_residue_bank
301,PLAU,075cd160a22e392ad92776143a4af52ed1c6ac1e68ba82bc253ba8dd9daef9c1,431,full_residue_bank
302,PPIA,71376b3a50a1cc063e09d51d93e09c4aacc3b77edd60a922db188157a62b0de4,165,full_residue_bank
303,PROC,cf852057f4453227cc5a715f361fef11505f87941d0aa224877a55db7699a0fe,461,full_residue_bank
304,PTPRC,b0ce0e4d7fe877d892127ded1065394926dfbc5f99908525083ec48b94cbec06,1306,full_residue_bank
305,STEAP1,8ee3771c7db2a90ddb8011a4ab73db7674589c1baa690ecfab915aac2db8f1c9,339,new_full_chain_esm2
306,TERT,9f78fdccd40dfd933c741c4cb1434d732f76b20a11abd0922c50fd63493bf5ce,1132,full_residue_bank
307,TYRP1,cac94fc8fece18eeaae90406471bd1af7c6b436c8b9513bfc998c869a5060a29,537,new_full_chain_esm2
308,MS4A1,598b359b42a9d8847fe4b23997baf6bb693974cb3bcc69581c465c39010f500a,297,new_full_chain_esm2
309,TRPV3,2c47822e35494bbc97f05ada9d1074089854b56ef0cd1f0f106fcc6b6b5b07fa,790,full_residue_bank
310,ACVR2A,6283e1d55ac251bbad7cb4d2689de41e6d1bf065cce5a2ce68edbcb3fb85c985,513,full_residue_bank
311,ACVR2B,3f5bc742b8501d981e4ee44d17484d634855cddebe1472ea78eeb13cc38b1649,512,full_residue_bank
312,BMPR1A,2d43213963de67d768d71ee3edbd337e1d66e34f88a5ef5ebdcbee782cb3980d,532,full_residue_bank
313,BMPR1B,ce1def7aae1584f1d555b8d5bc63790ee6e9c5a5474f8b1eba016a52c334af8e,502,full_residue_bank
314,BMPR2,8cf7ac731c31e2b6a6f1e239a4eb72e5fdc74cbf4b78e6e632c88ee776a35da0,1038,full_residue_bank
315,EPHA3,caf7cc501ead177b8c037dc3cb177eefe7bc30e7bc3cb74a998af92a354098f7,983,full_residue_bank
316,PRKCD,a27be177305f105d5f37964696633b0be97f84d76d9ce2ee04747e0896f1fbcb,676,full_residue_bank
317,PRKCE,c13770c67cf27f93bb1dd39b9eb4173c01253a2060e44225120f1e3a33625ade,737,full_residue_bank
318,TIE1,cc60094ef6b722f9b931475bc87443cd9997a568acee98efe3b6c1c824c85b15,1138,full_residue_bank
319,RORC,262c7bcde1c365985448d0e69a77135df1680783066e7f72dfb907bead316982,518,full_residue_bank
320,SMN1,7c46d381ed1556456f96faaf5db2eeb523ff96957d0839542aafaa89266ac479,294,full_residue_bank
321,SLC10A1,53e4ed46e55eff8bb425d1e4ac3e76de26c0480de96c677439fdeeba06e70471,349,full_residue_bank
322,SLC34A2,33ce6c59e28a7373fce51debe32cec8d891ef691c2e77a0655a74040da25eef9,690,full_residue_bank
323,ADORA1,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,326,full_residue_bank
324,ADORA2A,d1707e447ac7d7fcd10f6f1c1e61754460b8f5e206eedc0ba64747cd49b733f2,412,full_residue_bank
325,ADORA2B,9b0eb1971d60d339b3cd6fe79a7b096dc07ae2e03f87daad1da22e8ea2253416,332,full_residue_bank
326,ADORA3,d04b5492b6834b6082bda39d8e4d2fd37dd159a7c80a5855d173034fd05577e1,318,full_residue_bank
327,ADRA1A,1e43c78d6315a3dc0ad9dc09a01362cc3af4e2b1d92c816a8b74702648515890,466,full_residue_bank
328,ADRA1D,c1e8f6aca3c3b64ebe03e5c2dfff0f224679af93562c365d090a3da723be87e2,572,added_residue_bank
329,ADRA2C,6cafcb7b73cd4a888a56672f7918414880d65496ffaf95ec385ae03d299e5862,462,full_residue_bank
330,ADRB1,18fcd61221ac38d04dac6ba1884d8ecd1c47c0e94922905c5b51382d95849c3a,477,full_residue_bank
331,ADRB2,9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5,413,full_residue_bank
332,ADRB3,fb8da08246dc330fe0eb723207d7b2cdeb217624326ca1b60f695572e8614ecb,408,full_residue_bank
333,AGTR1,6dae55828357a7880be08083bf83f85b1cb3d994c509c40dafd65fab164cdd76,359,added_residue_bank
334,AGTR2,725949d2b42e2d6a62d2d89ae38ef5b6dd2decc6088e10ff7911887b404545a6,363,new_full_chain_esm2
335,AVPR1A,9413c76d3d6f9cfc34a43bc74828513c034ad5064f7dd447b8b2b6ab48e234f6,418,full_residue_bank
336,AVPR1B,60136b71ec5806c03c0447c4f4bfdfb5903ecb6405087e3fdccd1a8e1e54e880,424,new_full_chain_esm2
337,AVPR2,74850ff3a746768b63892fb357a9655aaf2e7ed5cd149ccbc0728915128a35ba,371,full_residue_bank
338,BDKRB1,34437eb419523f9f9e052c5412d4e5ab53bdbd29ea6bf613626c1ef1aeed40ad,353,new_full_chain_esm2
339,BDKRB2,ea1c7b74a8883bff3b8ba016e4acbfe3ffc45f1941245b3b2183b52c85c897ea,391,new_full_chain_esm2
340,C5AR1,dc48c194272465c04ae4727f3710ca1c75b6ca77006ea1730ed45ea75035d730,350,new_full_chain_esm2
341,CALCRL,0570c5d169e261bd58cef982a478372a4db9a32bab2b2e079eafc07bf05f0433,461,added_residue_bank
342,CASR,6c2adc8809792b84c0c5bc19ff04e45e74db85abcf49bcaf002a0c6627f2e06c,1078,new_full_chain_esm2
343,CCKAR,db51d7d7e7d75f30f42489829f22d751b64154d93bce190aaf7ae6f239a55695,428,full_residue_bank
344,CCKBR,2c8914a1edf8f03f1b41a31b62559b7c92e1e9823aba7436ba3157b60801482e,447,full_residue_bank
345,CCR1,420451b14360d287ee30cbef35f348be0ae8c0dab656127c92f4f7cac8429043,355,new_full_chain_esm2
346,CCR2,7a8225f899d150aefb4994c9753cd58af00aca868a6f56174a715efaf972a04c,374,new_full_chain_esm2
347,CCR5,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85,352,new_full_chain_esm2
348,CCR9,8fd6cd6e21332287f6b23e7564a64a9a42480cfcdd689e963e17997b806d1660,369,new_full_chain_esm2
349,CHRM1,a9d70e6dd79a9d6d5fef6772b08efb426eba56ffbc49737c550220e71c521746,460,full_residue_bank
350,CHRM2,18e4fe4189d4300e2c85dc966249934aacd3dc3e351a62364a698aa32cefc59a,466,full_residue_bank
351,CHRM3,f3a234965b33be052fd4748f042f809d2add6da3b3f556da4c51eca393e1fe9d,590,full_residue_bank
352,CHRM4,f70d1259f715e6623d47df37bf5b8b7588be8a29df97c3395ddcf28f3c3d0593,479,full_residue_bank
353,CNR1,4cf523e4f20641bd9bbbe1036fb5a523dba1b2bf3127cd5b69b0a6d2e2cc6314,472,full_residue_bank
354,CNR2,c497f29417b886ff019812f69b1ed95fa872225c9180283496bec6d9ca65f664,360,full_residue_bank
355,CRHR1,d606ec68b032c7d9de2b6d7a8c68d6c696b43f51e8f915f992e129af271f0bcd,415,added_residue_bank
356,CXCR1,431e9618f768eb72e6776c8b0f528ffb4783f354da7321a7dd2f1c80e58c30e1,350,new_full_chain_esm2
357,CXCR2,613b62553ee1c01672bb0d7d7977679aa6dc74e730c63cf4daba77360d79c435,360,new_full_chain_esm2
358,CXCR4,745dbb36c09682458fa172f0f7c03032517c82c090ad360605494be94709518b,352,added_residue_bank
359,CYSLTR1,beb226775d78746b62055a7d3bbac0a3adad8e2ab6bb1906a3662dc7c2093658,337,new_full_chain_esm2
360,DRD1,d195ee4029e80e71159ac797fc03232c0ddf74d2f865f939179acd0fc14d81a6,446,full_residue_bank
361,DRD2,8c2b6e1477ff21093d6bdee1a4482a36b1024aaebbd4e968c54262742cefd3e0,443,full_residue_bank
362,DRD3,0c28b2bbcd26288e922995658ec906ad6b2d7c80ca8acd4f6764079f94edb811,400,added_residue_bank
363,DRD4,9a2657fa53c2073146e48e443489559cdbfc220b161c20897cb3ba8a6b9c2fd6,419,full_residue_bank
364,DRD5,84f03c7918b76c7e07d3b922a5793387567de20fd8792bd18d405d3f61dee66c,477,full_residue_bank
365,EDNRA,0e420a3caffe9e2fed51346272f4f61da4238fe89ab9d3aac9b8c8852f50f20e,427,added_residue_bank
366,EDNRB,f203a5007cc0cf30ec43027c8736358176c0552936baf0844f0941c060996961,442,added_residue_bank
367,F2R,9a65515effc758706ec8fcd697bce5e4a7a33bc8395b985ec934cb11bacf06a1,425,added_residue_bank
368,F2RL3,328754f3383a524162cc24314c3b889ba1c937b92acf3da883abecad9c0cb134,385,new_full_chain_esm2
369,FFAR1,de3c8c9ee981bcae4644a62f0dc0c4d048dfb1cd4070aa145425fce918531bb5,300,new_full_chain_esm2
370,FFAR2,4a47759801962a00105488bd4785164fe2ad53487e93dbe2ac3159c150c0c536,330,new_full_chain_esm2
371,GABBR1,2a4ec7a5708d84e6639372fb8581d94ae438ed196574e79b5e0829bedba3b9d6,961,new_full_chain_esm2
372,GABBR2,83e80395cf5184401c95d4c8c601cd16dbd5f556707ffac24ac9aeb1be955b14,941,new_full_chain_esm2
373,GCGR,b236d1c797f666e42b44dfc78e3cbe60c7481442160113a1c25bbf3ee3309d78,477,new_full_chain_esm2
374,GHSR,73fe68d1fe5d48b8452464bee663af0788bcce6806ae4c02155747ae82b57257,366,full_residue_bank
375,GLP1R,8cd3cf61857825c3e48d5f35a6a560478cfecd2c63da46ea537ac8eeb5342796,463,new_full_chain_esm2
376,GNRHR,e23934806b97ce11617612267a1b8b684da0c358bb910fb12ef053e95127cb48,328,added_residue_bank
377,GPR119,60643ab98c7c729a980338fb063499f4d12f72d8d8ad9ccf492511de062c7fa9,335,new_full_chain_esm2
378,GPR84,cac11874e46fc669e356c91bf2d3bb2a7548d0e86cf88b5a7ebdef6ef3921523,396,new_full_chain_esm2
379,GRM2,95d418e293225bfd6e882a972d6a593a5c0dbe96e87443c51c8ac3caa25ec555,872,new_full_chain_esm2
380,GRM3,38b515dbc64dee38ab700cc67587fe21631e7ce5fcfd947e3dc7afee0bbad2fa,879,new_full_chain_esm2
381,GRM4,1ccc436b642bb606f0ce4b493b8ed45fb64d15f17f79dc2c984766e6f61bcb2d,912,new_full_chain_esm2
382,GRM5,d490de2ba2e67deb14f4897332180b775ed815aab47993463f5ff4aff2f464cd,1212,new_full_chain_esm2
383,HCAR2,82d815907e654032db5a853430a18716ecaad41625954360dc51356352555fd7,363,added_residue_bank
384,HCRTR1,4fa99a96e770e04d266b6fbcea85aaa1ec455c0ca9e8601a4cbd726322cd25aa,425,added_residue_bank
385,HCRTR2,e6a80905b838e43a89b0ad4e131b00b60220ad862701cd82a95e3ce4070fa1db,444,added_residue_bank
386,HRH1,9112bbed27c42f31d518060045f8f075e25408811ec7af9d1b9bb91c91cbd1d2,487,full_residue_bank
387,HRH2,4388134c63cdaa3d7a98d979102b2054c4fd38d0e8342ea901a0460720c70fa1,359,full_residue_bank
388,HRH3,d9bd4f76c847dbfb30349bd8e54ce8b6d7ca09d13b5792037019772c050843f8,445,full_residue_bank
389,HRH4,f9e4438a973a786f57d02eedc556f473ed5c6c4884d83dba60819418c48036d5,390,full_residue_bank
390,HTR1A,32d61aba7a823674fd552153a3ed08e864258b7720546b2ca65e7e29f6cc0a13,422,full_residue_bank
391,HTR1B,0bc8c4af6f71c06551d42d9e55f83b97dcc2d26f51beb15e8c7e1cf1607d5db7,390,full_residue_bank
392,HTR1D,53403167dff491de532d2046d11c67a6f45fd87f51a2cfd2781fca97f361deca,377,full_residue_bank
393,HTR1F,77171773a772e53d5bd11535bd2b1b71a79247509a3a39a72064b4a153274dd3,366,new_full_chain_esm2
394,HTR2A,2b9b5928cca6ac49d4004d64fc2f2598fd08812dd42e720993169a86769075f5,471,full_residue_bank
395,HTR2B,9b4d7f141ae58580813aa6b030f67b51efc5af3076f4df2cb5b0dbc27f0c7810,481,full_residue_bank
396,HTR2C,8bb8e760c142b1a44ba1409375e34de5c0836b1b5e77ec6fac96a7a9d07d121f,458,full_residue_bank
397,HTR4,eaa5a3ef4622fb5fa4bba8d644b54c0d84564e76cc6702d0981df65670423866,388,full_residue_bank
398,HTR6,a9754aa0eed81bf0e9e2fd8ef8d35d6f3d58f467b794f3e3b2a3037373e0c7ad,440,full_residue_bank
399,HTR7,987e15538f0f1ab2fdac22de66091cf0a704c2a7eae4e9af9419d590682c51d7,479,full_residue_bank
400,LPAR1,932606a6305d90f0ab806da715e889c5dae639689bec63ae1834dd29302474d8,364,new_full_chain_esm2
401,LTB4R,44b3d3a6c920fab6d3eee78b5cfcf9fdb22acf721f4e45f7aafbb44646e3df5b,352,new_full_chain_esm2
402,MC1R,c48e7174ffe180f6896ac337a52f433858b4bfdfd4d5a74c8a4e74cf7972009f,317,new_full_chain_esm2
403,MC4R,1da0d0189f8d63b52b620b69d639a2b818fbefd6ae4647a60930937d1a73f1e4,332,new_full_chain_esm2
404,MLNR,3f97e71c0d737042a63108b2fcc019f60970335505c92df97a50cdc4b2743503,412,new_full_chain_esm2
405,NPY5R,50df758ddafa7eed8c0c5e6b5d7cf8ab1a3a8b3fc6eef504fa86411872da4e92,445,new_full_chain_esm2
406,NTSR1,0b4854a718c538409ae00cdd8962cf9bebc9b4163bef123304539b3b14f435b4,418,new_full_chain_esm2
407,OPRD1,b75060695513d21ac502da540921882c3e99fd716a491e99f6757d7b78b3c62b,372,full_residue_bank
408,OPRK1,945340616bafd8d32b4cdb5a4f6a1f13ee9de829fd7daccf5f63fc94149d6b34,380,full_residue_bank
409,OPRL1,34c69b7a4be8168c8acba2ed65e2efe153b9ea6487d2fc9bed8b34e4d9fbe7cf,370,full_residue_bank
410,OPRM1,4d0c1ae8d9c6ecf5ffef01bd5a16f859dac3ae273225407783296131c695c1fd,400,full_residue_bank
411,OXTR,944327688ddc36d8b989373bb6a0330e71536f5f04ee5c813d3ea54643da9293,389,new_full_chain_esm2
412,P2RY1,5dbfb306761c6e6d5c1308409611d2d21029578ad33ffea491610d95814d9128,373,new_full_chain_esm2
413,P2RY12,8b858a0c09ffd4bb0f2b21d49eeed9f2271f787199ce6c5896d8aca87d3d3325,342,new_full_chain_esm2
414,P2RY2,50141384eba3411f2fe54dbe12031ea027a1f9858b8ee87a9bc816e8d8928708,377,new_full_chain_esm2
415,P2RY4,2cac4aa3e7a2f1bdf506a32b4285028aae8efffd0d8e643903da93d8797a5b52,365,new_full_chain_esm2
416,P2RY6,721f70787d67eb8c962c90aa3f69d71ad5d953c011470843fd3f7590a72f0c92,328,new_full_chain_esm2
417,PTAFR,9a6aec10723eb8d18fbf5e98ae430254d61f290fc084e5c7c2368fb3185d0d69,342,added_residue_bank
418,PTGDR,4066262321e2a058a56a3ada9e594f943ab35ae2200824535230ca6ff9d3cc8a,359,new_full_chain_esm2
419,PTGDR2,9800e73d5db87c78c7b5350307ddf15012927fada0dd1e50787a7b179a0908ce,395,full_residue_bank
420,PTGER1,c023f2020521997be8fb42b34e324939a1a257be4409046970b282871a5aab88,402,new_full_chain_esm2
421,PTGER2,45183e6a553ea831b8ebd33161ff52536b787b31f7f577f9b5d2e6506d8b9598,358,added_residue_bank
422,PTGER3,eecded17e2f0be53c988bc4768a5ea8f505418bcd31d1f500e10b71a8d4d1afc,390,new_full_chain_esm2
423,PTGER4,0c3feb9a2e6d6c63770c9e9d3f4b6664da11f74a182678e68fabb7586f538a97,488,new_full_chain_esm2
424,PTGFR,016dedc48fb624f3e8268e06db1eb26813422f4212d70c0a44ccc9e2310ae4b4,359,new_full_chain_esm2
425,PTGIR,da6cc608fe79e6562618573c2f4fe0ea1c428faa8b7d2e2c70688f04fd9b4cf0,386,added_residue_bank
426,S1PR1,db9ec94c53b2528bce535764268b67bb99f9c6f0c4d1e45d09c64b7d2913b66e,382,full_residue_bank
427,S1PR4,029f8580eefc0e726eb5b51ca651638e2c6a0d294560ae22521c3333fea68d11,384,full_residue_bank
428,S1PR5,955064a6b00ad109bd1ed7e526edbfa9a8cd46814d4d6ba4aa8bea47fa43923e,398,full_residue_bank
429,SMO,2174c461817c35101eddf5c5ded44c7993684802e2ae40eb8566d574eccf79c1,787,new_full_chain_esm2
430,SSTR2,6001055d0866d9ee2c225eb36b22f1f56726909686411070689b585515e38d7b,369,new_full_chain_esm2
431,TAAR1,35a1e025e9505e55a85a2426e204659755e97eff7ffd0ee9882b72a90c5c54ba,339,new_full_chain_esm2
432,TACR1,c1c101b738eca478ffaa196b2d78ff3e3f458a1c435f855b3daeee103e85eedb,407,full_residue_bank
433,TACR2,6ef9ea928a94c95109f9ee0990e69a5d6979cbb3282d463670891ebb95516433,398,new_full_chain_esm2
434,TACR3,96c20248410c00a2e2effa4c4fb5f008c5cbd1f86f186a371dea80a29eddab48,465,added_residue_bank
435,TBXA2R,b21f1f7568d77ddb23a172b8a3bb4da575c8edeb865254dd2e0a84618bf90080,343,new_full_chain_esm2
436,TRHR,42b191ec434758bea3a9b51bd0f09a12a08c703efe8c8bfee85cb129c721f3d8,398,new_full_chain_esm2
437,UTS2R,d087ceef1b9278da30c4e4aa15657f94a18bc54ec5dd93f52a9a349a2ce314a6,389,new_full_chain_esm2
438,ABAT,54b8ff6cb53707afb9a9b02349f5a054c83ecbaa7c35613a520a7ffa5f12a384,500,frozen_bundle_exact
439,ACE,9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,1306,frozen_bundle_exact
440,ACHE,b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,614,frozen_bundle_exact
441,ACLY,5c8f6c84561e4836ba257bc1182486257393c8dc7073d72f08afd8e522ee95c4,1101,frozen_bundle_exact
442,ADA,f4124bbcd051f8182a69fa8eb7767b80cfc460fdd1a01eb6e8567315f1bc4b97,363,frozen_bundle_exact
443,ADAM17,df665a32b583fcffa4eacb9bd8880a0c240f00418d00c7a4a14bac26a4ea8e5b,824,frozen_bundle_exact
