pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,assay_lane,replacement_rank384,model,review_status,in_frozen384,decision,close_negative_review,new_identity_hold,disease_investment_hold,raw_prior_activity_hold,deep_review_investment_hold,reason,deep_reason,primary_reason
LVXJQMNHJWSHET-AATRIKPKSA-N__CHEMBL5838,LVXJQMNHJWSHET-AATRIKPKSA-N,dacomitinib,ERBB3,CHEMBL5838,KINASE_BIOCHEMICAL,10,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,True,False,dacomitinib–ERBB3: 结合排名4/384；阳性近邻Tanimoto=0.694、阴性近邻=0.443；共同疾病=rheumatoid arthritis，OT=0.351、TxGNN排名=2。 HER3为低催化活性伪激酶，但原始研究已证明小分子可结合；暂缓普通激酶路线，须核对胞内伪激酶域与独立结合参考物。未核实本药直接结合。,,PRIOR_AGENT_HOLD_OR_EXCLUSION
NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1856,NDDAHWYSQHTHNT-UHFFFAOYSA-N,indapamide,SRD5A2,CHEMBL1856,ENZYME_BIOCHEMICAL,19,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序17/384；同病TxGNN排序35，OT=0.423；阳性近邻Tanimoto=0.205、阴性近邻=0.230；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
PSIFNNKUMBGKDQ-UHFFFAOYSA-N__CHEMBL1944,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,losartan,MME,CHEMBL1944,ENZYME_BIOCHEMICAL,19,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,结合排序1/384；同病TxGNN排序23，OT=0.512；阳性近邻Tanimoto=0.481、阴性近邻=0.165,,PRIOR_ACTIVITY_RECORD
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL3905,RNOAOAWBMHREKO-QFIPXVFZSA-N,zanubrutinib,LYN,CHEMBL3905,KINASE_BIOCHEMICAL,7,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,"zanubrutinib–LYN: 结合排名7/384；阳性近邻Tanimoto=0.458、阴性近邻=0.225；共同疾病=chronic myelogenous leukemia, BCR-ABL1 positive，OT=0.598、TxGNN排名=3。 快速检索存在BTKi选择性面板相关报道，但本轮未核实本配对原始数值和浓度；保留待核，不能宣称已知阳性或阴性。",,PRIOR_ACTIVITY_RECORD
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL235,UCJGJABZCDBEDK-UHFFFAOYSA-N,bazedoxifene,PPARG,CHEMBL235,NUCLEAR_EPIGENETIC_DOMAIN,7,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,bazedoxifene–PPARG: 结合名次10/384；阳性近邻T=0.326，阴性近邻T=0.270；共同疾病=obesity disorder。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,,PRIOR_ACTIVITY_RECORD
VMWNQDUVQKEIOC-CYBMUJFWSA-N__CHEMBL242,VMWNQDUVQKEIOC-CYBMUJFWSA-N,apomorphine,ESR2,CHEMBL242,NUCLEAR_EPIGENETIC_DOMAIN,10,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,apomorphine–ESR2: 结合名次6/384；阳性近邻T=0.258，阴性近邻T=0.232；共同疾病=schizophrenia。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。TxGNN为合并疾病节点，具体疾病名称证据需降权。,,PRIOR_ACTIVITY_RECORD
VZZJRYRQSPEMTK-CALCHBBNSA-N__CHEMBL1255163,VZZJRYRQSPEMTK-CALCHBBNSA-N,sonidegib,PORCN,CHEMBL1255163,ENZYME_BIOCHEMICAL,15,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序12/384；同病TxGNN排序23，OT=0.383；阳性近邻Tanimoto=0.244、阴性近邻=0.207；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；本地理化风险分非零，需测实际可溶浓度；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
XPOQHMRABVBWPR-ZDUSSCGKSA-N__CHEMBL208,XPOQHMRABVBWPR-ZDUSSCGKSA-N,efavirenz,PGR,CHEMBL208,NUCLEAR_EPIGENETIC_DOMAIN,9,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,efavirenz–PGR: 结合名次2/384；阳性近邻T=0.284，阴性近邻T=0.229；共同疾病=breast fibrocystic disease。现有字段未见可硬排除事实，保留探索；共同疾病及化学近邻均不能确认直接结合。,,PRIOR_ACTIVITY_RECORD
YASAKCUCGLMORW-UHFFFAOYSA-N__CHEMBL1856,YASAKCUCGLMORW-UHFFFAOYSA-N,rosiglitazone,SRD5A2,CHEMBL1856,ENZYME_BIOCHEMICAL,7,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,HOLD,False,False,False,False,False,结合排序5/384；同病TxGNN排序6，OT=0.423；阳性近邻Tanimoto=0.222、阴性近邻=0.172；化学迁移支持较薄，作为探索性备选；低相似度不代表不结合；当前常规可溶SPR路线未确认适配；暂移出384首轮，待专门构建确认后可恢复，非绝对不结合,,PRIOR_AGENT_HOLD_OR_EXCLUSION
ZPMNHBXQOOVQJL-UHFFFAOYSA-N__CHEMBL220,ZPMNHBXQOOVQJL-UHFFFAOYSA-N,prucalopride,ACHE,CHEMBL220,ENZYME_BIOCHEMICAL,19,B_consensus,FROZEN_REVIEW_HOLD_OR_EXCLUSION,False,KEEP_REVIEW,False,False,False,True,False,结合排序6/384；同病TxGNN排序9，OT=0.494；阳性近邻Tanimoto=0.364、阴性近邻=0.282,,PRIOR_ACTIVITY_RECORD
