排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原药内排名_384,A药内排名_384,A排名变化_正数为后移,A排名区间,A原规则去向,A三个种子Top20次数,A_种子20260921_药内排名,A_种子20260922_药内排名,A_种子20260923_药内排名,A靶点内药物排名_720,B药内排名_384,B排名变化_正数为后移,B排名区间,B原规则去向,B三个种子Top20次数,B_种子20260921_药内排名,B_种子20260922_药内排名,B_种子20260923_药内排名,B靶点内药物排名_720,共识Top20组合
89,C384-214,vaborbactam,MME — Neprilysin,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,10,26,16,21–50,仅因药内排名超过20而未通过,1,111,10,120,51,92,82,51–100,仅因药内排名超过20而未通过,0,31,204,84,138,A和B均未进Top20
90,C384-215,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,10,22,12,21–50,仅因药内排名超过20而未通过,2,237,13,19,414,10,0,1–10,通过原Top20及既有审核,1,108,9,26,258,仅B在Top20
91,C384-135,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,10,180,170,101–200,仅因药内排名超过20而未通过,0,154,164,250,492,86,76,51–100,仅因药内排名超过20而未通过,0,245,24,281,451,A和B均未进Top20
92,C384-136,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,10,67,57,51–100,仅因药内排名超过20而未通过,1,127,14,220,334,234,224,201–384,仅因药内排名超过20而未通过,0,139,310,251,269,A和B均未进Top20
93,C384-137,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,10,39,29,21–50,仅因药内排名超过20而未通过,0,112,100,106,117,244,234,201–384,仅因药内排名超过20而未通过,0,222,155,376,222,A和B均未进Top20
94,C384-226,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,10,9,-1,1–10,通过原Top20及既有审核,2,16,30,17,94,1,-9,1–10,通过原Top20及既有审核,3,1,3,1,26,A和B均在Top20
95,C384-271,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,10,312,302,201–384,仅因药内排名超过20而未通过,0,234,283,176,678,36,26,21–50,仅因药内排名超过20而未通过,0,173,25,36,216,A和B均未进Top20
96,C384-317,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,10,259,249,201–384,仅因药内排名超过20而未通过,0,201,335,124,704,247,237,201–384,仅因药内排名超过20而未通过,0,207,206,294,715,A和B均未进Top20
97,C384-318,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,10,47,37,21–50,仅因药内排名超过20而未通过,0,36,81,139,487,12,2,11–20,通过原Top20及既有审核,1,14,34,38,98,仅B在Top20
98,C384-319,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,10,99,89,51–100,仅因药内排名超过20而未通过,0,73,128,143,100,77,67,51–100,仅因药内排名超过20而未通过,0,87,189,62,65,A和B均未进Top20
99,C384-330,lumateperone,ACHE — Acetylcholinesterase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,10,66,56,51–100,仅因药内排名超过20而未通过,0,39,258,23,65,278,268,201–384,仅因药内排名超过20而未通过,0,336,71,270,76,A和B均未进Top20
100,C384-331,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,10,165,155,101–200,仅因药内排名超过20而未通过,0,189,83,150,454,119,109,101–200,仅因药内排名超过20而未通过,0,112,195,103,444,A和B均未进Top20
101,C384-043,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,11,209,198,201–384,仅因药内排名超过20而未通过,0,287,124,370,503,109,98,101–200,仅因药内排名超过20而未通过,0,295,82,93,373,A和B均未进Top20
102,C384-044,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,11,94,83,51–100,仅因药内排名超过20而未通过,0,26,144,104,48,58,47,51–100,仅因药内排名超过20而未通过,1,8,62,234,55,A和B均未进Top20
103,C384-045,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,11,199,188,101–200,仅因药内排名超过20而未通过,0,365,115,107,502,330,319,201–384,仅因药内排名超过20而未通过,0,316,217,348,416,A和B均未进Top20
104,C384-138,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,11,129,118,101–200,仅因药内排名超过20而未通过,0,116,358,115,353,283,272,201–384,仅因药内排名超过20而未通过,0,272,243,254,677,A和B均未进Top20
105,C384-139,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,11,182,171,101–200,仅因药内排名超过20而未通过,0,153,98,292,317,13,2,11–20,通过原Top20及既有审核,2,17,18,48,111,仅B在Top20
106,C384-227,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,11,227,216,201–384,仅因药内排名超过20而未通过,0,114,238,214,530,97,86,51–100,仅因药内排名超过20而未通过,0,97,82,161,651,A和B均未进Top20
107,C384-228,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,11,322,311,201–384,仅因药内排名超过20而未通过,0,333,267,319,459,102,91,101–200,仅因药内排名超过20而未通过,0,222,102,44,162,A和B均未进Top20
108,C384-277,piperacillin,MME — Neprilysin,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,11,30,19,21–50,仅因药内排名超过20而未通过,1,38,100,6,258,19,8,11–20,通过原Top20及既有审核,0,78,30,22,109,仅B在Top20
109,C384-111,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,11,4,-7,1–10,通过原Top20及既有审核,2,25,10,11,277,20,9,11–20,通过原Top20及既有审核,1,17,88,30,282,A和B均在Top20
110,C384-169,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,11,105,94,101–200,仅因药内排名超过20而未通过,0,170,80,101,636,177,166,101–200,仅因药内排名超过20而未通过,0,216,90,157,584,A和B均未进Top20
111,C384-218,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,11,297,286,201–384,仅因药内排名超过20而未通过,0,307,308,305,113,118,107,101–200,仅因药内排名超过20而未通过,0,128,164,104,108,A和B均未进Top20
112,C384-334,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,11,41,30,21–50,仅因药内排名超过20而未通过,0,118,102,90,99,71,60,51–100,仅因药内排名超过20而未通过,0,84,77,152,145,A和B均未进Top20
113,C384-335,relebactam,MMP8 — Neutrophil collagenase,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,11,3,-8,1–10,通过原Top20及既有审核,2,35,6,5,176,2,-9,1–10,通过原Top20及既有审核,2,2,31,5,21,A和B均在Top20
114,C384-046,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,12,213,201,201–384,仅因药内排名超过20而未通过,0,265,106,238,158,298,286,201–384,仅因药内排名超过20而未通过,0,276,240,326,464,A和B均未进Top20
115,C384-047,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,12,65,53,51–100,仅因药内排名超过20而未通过,0,75,95,123,129,56,44,51–100,仅因药内排名超过20而未通过,1,213,4,137,299,A和B均未进Top20
116,C384-048,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,12,96,84,51–100,仅因药内排名超过20而未通过,0,66,74,278,415,207,195,201–384,仅因药内排名超过20而未通过,0,146,310,76,324,A和B均未进Top20
117,C384-142,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,12,143,131,101–200,仅因药内排名超过20而未通过,0,267,78,142,290,13,1,11–20,通过原Top20及既有审核,0,35,45,25,267,仅B在Top20
118,C384-143,palbociclib,REN — Renin,仍可探索,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,12,107,95,101–200,仅因药内排名超过20而未通过,1,333,4,156,271,47,35,21–50,仅因药内排名超过20而未通过,1,197,5,72,201,A和B均未进Top20
119,C384-230,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,12,47,35,21–50,仅因药内排名超过20而未通过,0,86,70,33,333,70,58,51–100,仅因药内排名超过20而未通过,0,42,79,123,131,A和B均未进Top20
120,C384-232,glimepiride,REN — Renin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,12,35,23,21–50,仅因药内排名超过20而未通过,1,18,82,104,31,125,113,101–200,仅因药内排名超过20而未通过,0,106,164,196,142,A和B均未进Top20
121,C384-170,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,12,271,259,201–384,仅因药内排名超过20而未通过,0,142,265,249,543,93,81,51–100,仅因药内排名超过20而未通过,0,79,123,127,248,A和B均未进Top20
122,C384-293,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,12,341,329,201–384,仅因药内排名超过20而未通过,0,341,303,103,516,30,18,21–50,仅因药内排名超过20而未通过,1,18,71,85,151,A和B均未进Top20
123,C384-294,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,12,231,219,201–384,仅因药内排名超过20而未通过,0,247,21,309,170,52,40,51–100,仅因药内排名超过20而未通过,0,81,47,33,550,A和B均未进Top20
124,C384-295,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,12,118,106,101–200,仅因药内排名超过20而未通过,0,264,74,279,533,376,364,201–384,仅因药内排名超过20而未通过,0,376,342,369,695,A和B均未进Top20
125,C384-336,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,12,88,76,51–100,仅因药内排名超过20而未通过,0,82,64,132,377,115,103,101–200,仅因药内排名超过20而未通过,0,96,241,46,433,A和B均未进Top20
126,C384-337,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,12,94,82,51–100,仅因药内排名超过20而未通过,0,52,131,161,637,120,108,101–200,仅因药内排名超过20而未通过,0,117,167,90,706,A和B均未进Top20
127,C384-338,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,12,13,1,11–20,通过原Top20及既有审核,2,10,15,73,192,168,156,101–200,仅因药内排名超过20而未通过,0,205,93,165,317,仅A在Top20
128,C384-364,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,12,51,39,51–100,仅因药内排名超过20而未通过,0,87,79,44,221,202,190,201–384,仅因药内排名超过20而未通过,0,159,306,167,266,A和B均未进Top20
129,C384-383,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,12,251,239,201–384,仅因药内排名超过20而未通过,0,335,55,239,297,375,363,201–384,仅因药内排名超过20而未通过,0,352,365,358,197,A和B均未进Top20
130,C384-049,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,13,38,25,21–50,仅因药内排名超过20而未通过,0,48,87,74,257,216,203,201–384,仅因药内排名超过20而未通过,0,161,220,262,369,A和B均未进Top20
131,C384-051,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,13,142,129,101–200,仅因药内排名超过20而未通过,0,168,23,226,301,46,33,21–50,仅因药内排名超过20而未通过,0,35,38,148,284,A和B均未进Top20
132,C384-145,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,13,116,103,101–200,仅因药内排名超过20而未通过,0,76,146,119,270,110,97,101–200,仅因药内排名超过20而未通过,0,68,103,239,162,A和B均未进Top20
133,C384-234,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,13,134,121,101–200,仅因药内排名超过20而未通过,0,167,173,190,112,100,87,51–100,仅因药内排名超过20而未通过,0,91,71,176,102,A和B均未进Top20
134,C384-272,apixaban,CA4 — Carbonic anhydrase 4,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,13,138,125,101–200,仅因药内排名超过20而未通过,0,150,165,234,271,223,210,201–384,仅因药内排名超过20而未通过,0,162,330,152,209,A和B均未进Top20
135,C384-296,pomalidomide,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,13,150,137,101–200,仅因药内排名超过20而未通过,0,140,292,110,469,71,58,51–100,仅因药内排名超过20而未通过,0,52,47,198,182,A和B均未进Top20
136,C384-339,pramipexole,CA2 — Carbonic anhydrase 2,仍可探索,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,13,20,7,11–20,通过原Top20及既有审核,1,74,125,2,221,1,-12,1–10,通过原Top20及既有审核,3,1,2,3,100,A和B均在Top20
137,C384-367,enzalutamide,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,13,29,16,21–50,仅因药内排名超过20而未通过,1,43,12,92,233,62,49,51–100,仅因药内排名超过20而未通过,0,29,86,346,230,A和B均未进Top20
138,C384-368,donepezil,COMT — Catechol O-methyltransferase,仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,13,140,127,101–200,仅因药内排名超过20而未通过,0,152,116,74,422,66,53,51–100,仅因药内排名超过20而未通过,0,59,100,58,412,A和B均未进Top20
139,C384-052,memantine,AR — Androgen receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,14,34,20,21–50,仅因药内排名超过20而未通过,1,87,19,44,408,3,-11,1–10,通过原Top20及既有审核,1,77,1,32,155,仅B在Top20
140,C384-053,amantadine,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,14,34,20,21–50,仅因药内排名超过20而未通过,1,117,6,182,478,204,190,201–384,仅因药内排名超过20而未通过,0,121,95,283,462,A和B均未进Top20
141,C384-146,labetalol,CA1 — Carbonic anhydrase 1,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,14,285,271,201–384,仅因药内排名超过20而未通过,0,225,350,172,459,61,47,51–100,仅因药内排名超过20而未通过,0,98,34,130,177,A和B均未进Top20
142,C384-236,xanomeline,CA4 — Carbonic anhydrase 4,仍可探索,JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,14,26,12,21–50,仅因药内排名超过20而未通过,0,44,67,26,1,70,56,51–100,仅因药内排名超过20而未通过,1,9,300,77,108,A和B均未进Top20
143,C384-237,glimepiride,MME — Neprilysin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,14,83,69,51–100,仅因药内排名超过20而未通过,0,91,163,59,49,64,50,51–100,仅因药内排名超过20而未通过,0,112,61,94,66,A和B均未进Top20
144,C384-238,pitavastatin,MME — Neprilysin,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,14,48,34,21–50,仅因药内排名超过20而未通过,0,81,60,82,304,3,-11,1–10,通过原Top20及既有审核,3,13,13,11,14,仅B在Top20
145,C384-240,afatinib,REN — Renin,仍可探索,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,14,381,367,201–384,仅因药内排名超过20而未通过,0,381,320,354,654,57,43,51–100,仅因药内排名超过20而未通过,0,359,63,36,369,A和B均未进Top20
146,C384-273,metoclopramide,CA4 — Carbonic anhydrase 4,仍可探索,TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,14,20,6,11–20,通过原Top20及既有审核,2,118,14,7,312,54,40,51–100,仅因药内排名超过20而未通过,0,202,33,53,654,仅A在Top20
147,C384-369,rasagiline,ACE — Angiotensin-converting enzyme,仍可探索,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,14,74,60,51–100,仅因药内排名超过20而未通过,0,34,164,95,123,328,314,201–384,仅因药内排名超过20而未通过,0,340,351,243,483,A和B均未进Top20
148,C384-370,lofexidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,14,136,122,101–200,仅因药内排名超过20而未通过,0,116,77,369,233,187,173,101–200,仅因药内排名超过20而未通过,0,182,68,294,381,A和B均未进Top20
149,C384-371,lenalidomide,PRKCB — Protein kinase C beta type,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,14,129,115,101–200,仅因药内排名超过20而未通过,0,284,113,76,362,227,213,201–384,仅因药内排名超过20而未通过,0,280,254,107,153,A和B均未进Top20
150,C384-018,terazosin,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,15,91,76,51–100,仅因药内排名超过20而未通过,0,187,63,178,259,227,212,201–384,仅因药内排名超过20而未通过,0,256,173,294,522,A和B均未进Top20
151,C384-054,bupivacaine,MMP12 — Macrophage metalloelastase,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,15,26,11,21–50,仅因药内排名超过20而未通过,1,83,241,12,442,236,221,201–384,仅因药内排名超过20而未通过,0,174,213,339,664,A和B均未进Top20
152,C384-055,pregabalin,REN — Renin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,15,81,66,51–100,仅因药内排名超过20而未通过,1,16,257,165,347,61,46,51–100,仅因药内排名超过20而未通过,0,43,64,161,381,A和B均未进Top20
153,C384-147,rilpivirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,15,84,69,51–100,仅因药内排名超过20而未通过,1,19,233,205,65,212,197,201–384,仅因药内排名超过20而未通过,0,264,223,101,118,A和B均未进Top20
154,C384-149,guanfacine,ROCK2 — Rho-associated protein kinase 2,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,15,136,121,101–200,仅因药内排名超过20而未通过,0,175,39,156,127,162,147,101–200,仅因药内排名超过20而未通过,0,271,101,146,441,A和B均未进Top20
155,C384-241,larotrectinib,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,15,272,257,201–384,仅因药内排名超过20而未通过,0,148,334,304,231,162,147,101–200,仅因药内排名超过20而未通过,0,169,236,246,10,A和B均未进Top20
156,C384-242,dolutegravir,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,15,38,23,21–50,仅因药内排名超过20而未通过,1,17,179,47,210,191,176,101–200,仅因药内排名超过20而未通过,0,138,268,171,176,A和B均未进Top20
157,C384-243,ribociclib,REN — Renin,仍可探索,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,15,222,207,201–384,仅因药内排名超过20而未通过,0,186,66,288,590,14,-1,11–20,通过原Top20及既有审核,1,177,5,292,517,仅B在Top20
158,C384-244,etravirine,TYMS — Thymidylate synthase,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,15,216,201,201–384,仅因药内排名超过20而未通过,0,96,338,253,429,178,163,101–200,仅因药内排名超过20而未通过,0,155,311,123,302,A和B均未进Top20
159,C384-245,etonogestrel,VDR — Vitamin D3 receptor,仍可探索,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,15,205,190,201–384,仅因药内排名超过20而未通过,0,194,228,221,147,263,248,201–384,仅因药内排名超过20而未通过,0,260,280,289,41,A和B均未进Top20
160,C384-173,quetiapine,ESRRG — Estrogen-related receptor gamma,仍可探索,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,15,315,300,201–384,仅因药内排名超过20而未通过,0,159,312,347,259,146,131,101–200,仅因药内排名超过20而未通过,0,120,130,290,140,A和B均未进Top20
161,C384-174,naltrexone,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,15,195,180,101–200,仅因药内排名超过20而未通过,0,217,223,167,438,306,291,201–384,仅因药内排名超过20而未通过,0,244,292,272,519,A和B均未进Top20
162,C384-275,nicardipine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,15,133,118,101–200,仅因药内排名超过20而未通过,0,30,98,334,191,164,149,101–200,仅因药内排名超过20而未通过,0,140,162,173,231,A和B均未进Top20
163,C384-298,panobinostat,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,15,65,50,51–100,仅因药内排名超过20而未通过,0,82,152,74,79,100,85,51–100,仅因药内排名超过20而未通过,0,58,98,189,253,A和B均未进Top20
164,C384-348,enasidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,15,349,334,201–384,仅因药内排名超过20而未通过,0,302,358,230,711,232,217,201–384,仅因药内排名超过20而未通过,0,146,234,312,99,A和B均未进Top20
165,C384-350,tipiracil,TYMS — Thymidylate synthase,仍可探索,QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,15,47,32,21–50,仅因药内排名超过20而未通过,0,72,37,139,48,179,164,101–200,仅因药内排名超过20而未通过,0,196,253,102,213,A和B均未进Top20
166,C384-019,dasabuvir,AR — Androgen receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,16,1,-15,1–10,通过原Top20及既有审核,2,32,5,16,73,100,84,51–100,仅因药内排名超过20而未通过,0,140,109,147,136,仅A在Top20
167,C384-077,elexacaftor,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",仍可探索,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,16,327,311,201–384,仅因药内排名超过20而未通过,0,325,360,176,392,191,175,101–200,仅因药内排名超过20而未通过,0,237,148,66,56,A和B均未进Top20
168,C384-246,labetalol,ACE — Angiotensin-converting enzyme,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,16,331,315,201–384,仅因药内排名超过20而未通过,0,244,321,363,537,303,287,201–384,仅因药内排名超过20而未通过,0,165,358,282,416,A和B均未进Top20
169,C384-247,ubrogepant,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,16,113,97,101–200,仅因药内排名超过20而未通过,0,129,126,226,51,94,78,51–100,仅因药内排名超过20而未通过,0,113,128,261,29,A和B均未进Top20
170,C384-113,amlodipine,CA12 — Carbonic anhydrase 12,仍可探索,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,16,8,-8,1–10,通过原Top20及既有审核,2,8,45,6,191,1,-15,1–10,通过原Top20及既有审核,3,2,2,1,25,A和B均在Top20
171,C384-179,rucaparib,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",仍可探索,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,16,105,89,101–200,仅因药内排名超过20而未通过,0,160,68,192,34,373,357,201–384,仅因药内排名超过20而未通过,0,327,370,366,294,A和B均未进Top20
172,C384-276,binimetinib,HDAC1 — Histone deacetylase 1,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,16,128,112,101–200,仅因药内排名超过20而未通过,0,200,134,89,708,357,341,201–384,仅因药内排名超过20而未通过,0,266,375,362,719,A和B均未进Top20
173,C384-351,albuterol,CTSC — Dipeptidyl peptidase 1,仍可探索,NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,16,109,93,101–200,仅因药内排名超过20而未通过,0,120,110,93,640,14,-2,11–20,通过原Top20及既有审核,1,13,54,78,394,仅B在Top20
174,C384-373,mebendazole,HCK — Tyrosine-protein kinase HCK,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,16,317,301,201–384,仅因药内排名超过20而未通过,0,352,240,267,598,256,240,201–384,仅因药内排名超过20而未通过,0,234,306,197,379,A和B均未进Top20
175,C384-057,quinidine,ACVRL1 — Activin receptor type-1-like,仍可探索,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,17,52,35,51–100,仅因药内排名超过20而未通过,0,104,93,68,35,110,93,101–200,仅因药内排名超过20而未通过,0,63,274,123,327,A和B均未进Top20
176,C384-059,avibactam,DPP4 — Dipeptidyl peptidase 4,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,17,35,18,21–50,仅因药内排名超过20而未通过,1,40,18,223,356,3,-14,1–10,通过原Top20及既有审核,3,8,4,3,93,仅B在Top20
177,C384-060,labetalol,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,17,10,-7,1–10,通过原Top20及既有审核,1,14,36,33,119,157,140,101–200,仅因药内排名超过20而未通过,0,64,291,195,420,仅A在Top20
