排序,原候选编号,小分子药物名称,新靶点基因,结合排名_每药384靶点,当前实验建议,FDA身份状态,pair_id,ensemble_drug_to_target_logit_rank_within_drug_384,usable_chemical_support_ge04,recommended_disease_is_cross_area
155,C384-241,larotrectinib,FKBP1A,15,仍可探索,FDA名称匹配；精确结构身份待复核,NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,289,False,True
156,C384-242,dolutegravir,MAPK9,15,仍可探索,本轮未确认FDA批准身份,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,85,False,True
157,C384-243,ribociclib,REN,15,仍可探索,本轮未确认FDA批准身份,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,103,False,True
158,C384-244,etravirine,TYMS,15,仍可探索,本轮未确认FDA批准身份,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,107,False,True
159,C384-245,etonogestrel,VDR,15,仍可探索,本轮未确认FDA批准身份,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,39,False,True
160,C384-173,quetiapine,ESRRG,15,仍可探索,本轮未确认FDA批准身份,URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,233,False,False
161,C384-174,naltrexone,PDE9A,15,仍可探索,本轮未确认FDA批准身份,DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,148,False,False
162,C384-275,nicardipine,FAAH,15,仍可探索,本轮未确认FDA批准身份,ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,244,False,False
163,C384-298,panobinostat,PARP2,15,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,196,False,False
164,C384-348,enasidenib,GSK3B,15,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,110,False,False
165,C384-350,tipiracil,TYMS,15,仍可探索,本轮未确认FDA批准身份,QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,90,False,False
166,C384-019,dasabuvir,AR,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,25,False,True
167,C384-077,elexacaftor,PIK3CG,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,236,False,True
168,C384-246,labetalol,ACE,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,277,False,True
169,C384-247,ubrogepant,JAK3,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,140,False,True
170,C384-113,amlodipine,CA12,16,仍可探索,FDA名称匹配；精确结构身份待复核,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,75,False,False
171,C384-179,rucaparib,PIK3CB,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,145,False,False
172,C384-276,binimetinib,HDAC1,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,72,False,False
173,C384-351,albuterol,CTSC,16,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,36,False,False
174,C384-373,mebendazole,HCK,16,仍可探索,本轮未确认FDA批准身份,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,32,False,False
175,C384-057,quinidine,ACVRL1,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,102,False,True
176,C384-059,avibactam,DPP4,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,5,False,True
177,C384-060,labetalol,EGLN3,17,仍可探索,本轮未确认FDA批准身份,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,147,False,True
178,C384-061,mebendazole,FGFR2,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,43,False,True
179,C384-150,methocarbamol,CA7,17,仍可探索,本轮未确认FDA批准身份,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,1,False,True
180,C384-249,bictegravir,MAPK8,17,仍可探索,本轮未确认FDA批准身份,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,181,False,True
181,C384-114,glasdegib,PDGFRA,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,13,False,False
182,C384-299,asenapine,MAOB,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,108,False,False
183,C384-354,binimetinib,DHFR,17,仍可探索,本轮未确认FDA批准身份,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,44,False,False
184,C384-375,esketamine,GSK3B,17,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,42,False,False
185,C384-062,nevirapine,AKT1,18,仍可探索,本轮未确认FDA批准身份,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,106,False,True
186,C384-063,dasabuvir,ALK,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,36,False,True
187,C384-066,doravirine,NR3C1,18,仍可探索,FDA名称匹配；精确结构身份待复核,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,36,False,True
188,C384-078,relugolix,FLT1,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,7,False,True
189,C384-193,roflumilast,ACHE,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,347,False,True
190,C384-251,glasdegib,FAAH,18,仍可探索,本轮未确认FDA批准身份,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,106,False,True
191,C384-252,lubiprostone,FKBP1A,18,仍可探索,FDA名称匹配；精确结构身份待复核,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,78,False,True
192,C384-253,vaborbactam,FKBP1A,18,仍可探索,FDA名称匹配；精确结构身份待复核,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,103,False,True
193,C384-254,ubrogepant,METAP2,18,仍可探索,本轮未确认FDA批准身份,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,131,False,True
194,C384-255,mirabegron,MME,18,仍可探索,本轮未确认FDA批准身份,PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,126,False,True
195,C384-280,silodosin,CSF1R,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,8,False,True
196,C384-185,loxapine,NTRK3,18,仍可探索,本轮未确认FDA批准身份,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,204,False,False
197,C384-186,brivaracetam,PDE9A,18,仍可探索,本轮未确认FDA批准身份,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,58,False,False
198,C384-187,levetiracetam,PDE9A,18,仍可探索,本轮未确认FDA批准身份,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,224,False,False
199,C384-357,enasidenib,LCK,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,50,False,False
200,C384-358,duvelisib,PARP2,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,151,False,False
201,C384-359,desoximetasone,RARB,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,334,False,False
202,C384-379,gepirone,GSK3B,18,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,157,False,False
203,C384-023,tapinarof,ESR1,19,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,163,False,True
204,C384-024,givinostat,FLT1,19,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,19,False,True
205,C384-025,ozanimod,JAK2,19,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,212,False,True
206,C384-151,ranolazine,CA7,19,仍可探索,本轮未确认FDA批准身份,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,64,False,True
207,C384-152,rilpivirine,MAPK8,19,仍可探索,本轮未确认FDA批准身份,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,86,False,True
208,C384-153,dasabuvir,NR3C1,19,仍可探索,FDA名称匹配；精确结构身份待复核,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,4,False,True
209,C384-257,indapamide,ACE,19,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,35,False,True
210,C384-258,vibegron,ROCK2,19,仍可探索,本轮未确认FDA批准身份,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,65,False,True
211,C384-259,nalmefene,VDR,19,仍可探索,本轮未确认FDA批准身份,WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,151,False,True
212,C384-188,selinexor,ABL1,19,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,160,False,False
213,C384-221,rosuvastatin,NR3C2,19,仍可探索,本轮未确认FDA批准身份,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,73,False,False
214,C384-361,tasimelteon,NR3C1,19,仍可探索,FDA名称匹配；精确结构身份待复核,PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,6,False,False
215,C384-067,sapropterin,CHEK2,20,仍可探索,本轮未确认FDA批准身份,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,174,False,True
216,C384-070,lubiprostone,NR3C2,20,仍可探索,本轮未确认FDA批准身份,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,120,False,True
217,C384-071,varenicline,NTRK3,20,仍可探索,本轮未确认FDA批准身份,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,75,False,True
218,C384-086,belzutifan,AR,20,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,16,False,True
219,C384-263,bictegravir,PARP2,20,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,142,False,True
220,C384-115,ketoprofen,PPARG,20,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,128,False,False
221,C384-130,vemurafenib,PIK3CA,20,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,174,False,False
222,C384-190,metformin,FLT3,20,仍可探索,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,6,False,False
223,C384-191,alpelisib,MMP12,20,仍可探索,本轮未确认FDA批准身份,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,58,False,False
224,C384-092,pomalidomide,HDAC2,1,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,91,True,False
225,C384-116,dabrafenib,HDAC1,1,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,128,True,False
226,C384-117,telmisartan,MME,1,先解决具体问题,本轮未确认FDA批准身份,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,44,True,False
227,C384-088,esmolol,CA4,1,先解决具体问题,FDA名称匹配；精确结构身份待复核,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,41,False,True
228,C384-090,levamlodipine,CA7,1,先解决具体问题,本轮未确认FDA批准身份,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,73,False,True
229,C384-091,nevirapine,CYP17A1,1,先解决具体问题,本轮未确认FDA批准身份,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,6,False,True
230,C384-284,pilocarpine,CYP11B2,1,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,1,False,False
231,C384-079,idelalisib,HDAC11,2,先解决具体问题,本轮未确认FDA批准身份,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,105,True,False
232,C384-097,betrixaban,F7,2,先解决具体问题,本轮未确认FDA批准身份,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,18,True,False
233,C384-002,tedizolid,NTRK2,2,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,41,False,True
234,C384-095,clascoterone,CYP17A1,2,先解决具体问题,本轮未确认FDA批准身份,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,69,False,True
235,C384-096,levamlodipine,DHFR,2,先解决具体问题,本轮未确认FDA批准身份,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,93,False,True
236,C384-099,acetaminophen,MIF,2,先解决具体问题,本轮未确认FDA批准身份,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,253,False,True
237,C384-195,gemcitabine,DNMT1,2,先解决具体问题,本轮未确认FDA批准身份,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,277,False,False
238,C384-286,pilocarpine,CYP11B1,2,先解决具体问题,本轮未确认FDA批准身份,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,8,False,False
239,C384-101,thalidomide,HDAC2,3,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,182,True,False
240,C384-100,etonogestrel,ESR2,3,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,7,False,True
241,C384-159,bictegravir,EZH2,3,先解决具体问题,本轮未确认FDA批准身份,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,98,False,True
242,C384-160,baricitinib,HDAC1,3,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,193,False,True
243,C384-161,articaine,MME,3,先解决具体问题,本轮未确认FDA批准身份,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,132,False,True
244,C384-266,oxycodone,CA2,3,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,61,False,True
245,C384-154,bempedoic acid,MMP3,3,先解决具体问题,本轮未确认FDA批准身份,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,295,False,False
246,C384-223,olmesartan,MME,3,先解决具体问题,本轮未确认FDA批准身份,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,57,False,False
247,C384-081,duvelisib,HDAC11,4,先解决具体问题,本轮未确认FDA批准身份,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,254,True,False
248,C384-118,nilotinib,GART,4,先解决具体问题,本轮未确认FDA批准身份,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,277,True,False
249,C384-041,landiolol,CYP26A1,4,先解决具体问题,本轮未确认FDA批准身份,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,181,False,True
250,C384-104,rilpivirine,YES1,4,先解决具体问题,本轮未确认FDA批准身份,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,31,False,True
251,C384-075,capmatinib,EZH2,4,先解决具体问题,本轮未确认FDA批准身份,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,353,False,False
252,C384-155,bempedoic acid,HMGCR,4,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,10,False,False
253,C384-224,thalidomide,HDAC11,4,先解决具体问题,本轮未确认FDA批准身份,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,75,False,False
254,C384-289,nicotine,CYP46A1,4,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SNICXCGAKADSCV-JTQLQIEISA-N__CHEMBL4523510,4,False,False
255,C384-306,hydroxychloroquine,CTSC,4,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,75,False,False
256,C384-083,paroxetine,MAOB,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,55,True,False
257,C384-107,lenalidomide,HDAC2,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,25,True,False
258,C384-005,ranolazine,IGF1R,5,先解决具体问题,本轮未确认FDA批准身份,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,156,False,True
259,C384-028,nimodipine,F7,5,先解决具体问题,本轮未确认FDA批准身份,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,177,False,True
260,C384-029,articaine,XDH,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,3,False,True
261,C384-105,pemigatinib,CDK9,5,先解决具体问题,本轮未确认FDA批准身份,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,67,False,True
262,C384-106,rilpivirine,FYN,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,52,False,True
263,C384-108,teriflunomide,XDH,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,8,False,True
264,C384-165,baricitinib,HDAC11,5,先解决具体问题,本轮未确认FDA批准身份,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,302,False,True
265,C384-087,dabrafenib,PIK3CA,5,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,54,False,False
266,C384-109,ruxolitinib,HDAC11,6,先解决具体问题,本轮未确认FDA批准身份,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,301,True,False
267,C384-030,alvimopan,EGLN3,6,先解决具体问题,本轮未确认FDA批准身份,UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,110,False,True
268,C384-264,retapamulin,FKBP1A,6,先解决具体问题,FDA名称匹配；精确结构身份待复核,STZYTFJPGGDRJD-NHUWBDDWSA-N__CHEMBL1902,29,False,True
269,C384-267,pomalidomide,HDAC11,6,先解决具体问题,本轮未确认FDA批准身份,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL3310,64,False,False
270,C384-309,brivaracetam,CYP46A1,6,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL4523510,252,False,False
271,C384-311,meropenem,MMP7,6,先解决具体问题,本轮未确认FDA批准身份,DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073,220,False,False
272,C384-320,mirdametinib,HDAC11,6,先解决具体问题,本轮未确认FDA批准身份,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL3310,131,False,False
273,C384-123,esmolol,CA7,7,先解决具体问题,本轮未确认FDA批准身份,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,1,False,True
274,C384-202,ivabradine,CYP11B2,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,50,False,True
275,C384-203,epinephrine,FAAH,7,先解决具体问题,本轮未确认FDA批准身份,UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243,273,False,True
276,C384-206,eltrombopag,LCK,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258,25,False,True
277,C384-265,vorapaxar,DPP4,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL284,32,False,True
278,C384-119,bazedoxifene,RET,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,75,False,False
279,C384-133,hydroxychloroquine,TYK2,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,149,False,False
280,C384-312,perampanel,CYP46A1,7,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,PRMWGUBFXWROHD-UHFFFAOYSA-N__CHEMBL4523510,40,False,False
281,C384-168,aripiprazole,MAOB,8,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,98,True,False
282,C384-072,calcipotriene,EGLN3,8,先解决具体问题,本轮未确认FDA批准身份,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,198,False,True
283,C384-208,imipenem,FAAH,8,先解决具体问题,本轮未确认FDA批准身份,ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243,19,False,True
284,C384-315,meloxicam,DHFR,8,先解决具体问题,本轮未确认FDA批准身份,ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL202,117,False,False
285,C384-324,crisaborole,FAAH,8,先解决具体问题,本轮未确认FDA批准身份,USZAGAREISWJDP-UHFFFAOYSA-N__CHEMBL2243,57,False,False
286,C384-327,deutetrabenazine,UGCG,8,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2063,32,False,False
287,C384-363,tazemetostat,DHFR,8,先解决具体问题,本轮未确认FDA批准身份,NSQSAUGJQHDYNO-UHFFFAOYSA-N__CHEMBL202,137,False,False
288,C384-026,zavegepant,INSR,9,先解决具体问题,本轮未确认FDA批准身份,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,183,False,True
289,C384-035,olmesartan,EGLN3,9,先解决具体问题,本轮未确认FDA批准身份,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,289,False,True
290,C384-036,atrasentan,ERBB2,9,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,102,False,True
291,C384-127,colchicine,FKBP1A,9,先解决具体问题,FDA名称匹配；精确结构身份待复核,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,276,False,True
292,C384-210,ivabradine,CYP11B1,9,先解决具体问题,本轮未确认FDA批准身份,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1908,147,False,True
293,C384-292,methylnaltrexone,CA2,9,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL205,216,False,True
294,C384-120,raloxifene,RET,9,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,5,False,False
295,C384-270,olopatadine,NR3C1,9,先解决具体问题,FDA名称匹配；精确结构身份待复核,JBIMVDZLSHOPLA-LSCVHKIXSA-N__CHEMBL2034,9,False,False
296,C384-110,amisulpride,CA2,10,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,41,True,False
297,C384-039,ozanimod,EZH2,10,先解决具体问题,本轮未确认FDA批准身份,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,54,False,True
298,C384-216,aclidinium,PPARG,10,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,ASMXXROZKSBQIH-VITNCHFBSA-N__CHEMBL235,113,False,True
299,C384-332,enzalutamide,NTRK1,10,先解决具体问题,本轮未确认FDA批准身份,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL2815,22,False,False
300,C384-042,glycopyrronium,CYP26A1,11,先解决具体问题,本轮未确认FDA批准身份,ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,252,False,True
301,C384-140,dolutegravir,MAPK8,11,先解决具体问题,本轮未确认FDA批准身份,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,149,False,True
302,C384-141,pemigatinib,PDE3A,11,先解决具体问题,本轮未确认FDA批准身份,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL241,127,False,True
303,C384-229,vigabatrin,MMP8,11,先解决具体问题,本轮未确认FDA批准身份,PJDFLNIOAUIZSL-UHFFFAOYSA-N__CHEMBL4588,131,False,True
304,C384-333,vardenafil,CYP11B2,11,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL2722,58,False,False
305,C384-382,trametinib,DHFR,11,先解决具体问题,本轮未确认FDA批准身份,LIRYPHYGHXZJBZ-UHFFFAOYSA-N__CHEMBL202,41,False,False
306,C384-015,mesalamine,XDH,12,先解决具体问题,FDA获批身份已匹配（完整结构；2026-08-03官方快照）,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,1,False,True
