排序,小分子药物名称,新靶点名称,当前实验建议,pair_id,historical_neural_only_rank384,chemical_neighbor_only_rank384,historical_neural_plus_chemical_rank384,historical_neural_plus_prior_rank384,original_complete_combination_rank384
170,amlodipine,CA12 — Carbonic anhydrase 12,仍可探索,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,12,48,7,20,16
171,rucaparib,"PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",仍可探索,HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,61,11,11,106,16
172,binimetinib,HDAC1 — Histone deacetylase 1,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,67,15,9,84,16
173,albuterol,CTSC — Dipeptidyl peptidase 1,仍可探索,NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,48,115,49,14,16
174,mebendazole,HCK — Tyrosine-protein kinase HCK,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,5,67,12,5,16
175,quinidine,ACVRL1 — Activin receptor type-1-like,仍可探索,LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,6,31,6,26,17
176,avibactam,DPP4 — Dipeptidyl peptidase 4,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,33,12,10,60,17
177,labetalol,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,22,143,48,4,17
178,mebendazole,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,6,53,14,8,17
179,methocarbamol,CA7 — Carbonic anhydrase 7,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,118,23,35,36,17
180,bictegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,13,16,8,67,17
181,glasdegib,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,37,19,10,63,17
182,asenapine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,16,25,11,41,17
183,binimetinib,DHFR — Dihydrofolate reductase,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,12,41,10,31,17
184,esketamine,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,13,92,14,16,17
185,nevirapine,AKT1 — RAC-alpha serine/threonine-protein kinase,仍可探索,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,30,35,7,49,18
186,dasabuvir,ALK — ALK tyrosine kinase receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,1,62,15,33,18
187,doravirine,NR3C1 — Glucocorticoid receptor,仍可探索,ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,121,2,4,158,18
188,relugolix,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,29,8,7,82,18
189,roflumilast,ACHE — Acetylcholinesterase,仍可探索,MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,223,7,9,235,18
190,glasdegib,FAAH — Fatty-acid amide hydrolase 1,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,40,21,12,65,18
191,lubiprostone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,39,68,32,26,18
192,vaborbactam,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,17,134,30,8,18
193,ubrogepant,METAP2 — Methionine aminopeptidase 2,仍可探索,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,220,5,10,170,18
194,mirabegron,MME — Neprilysin,仍可探索,PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,47,80,35,20,18
195,silodosin,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,68,14,16,80,18
196,loxapine,NTRK3 — NT-3 growth factor receptor,仍可探索,XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,7,70,13,19,18
197,brivaracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,165,41,71,36,18
198,levetiracetam,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,239,34,49,37,18
199,enasidenib,LCK — Tyrosine-protein kinase Lck,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,15,21,14,81,18
200,duvelisib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,32,134,30,15,18
201,desoximetasone,RARB — Retinoic acid receptor beta,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,4,156,13,6,18
202,gepirone,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,127,9,6,181,18
203,tapinarof,ESR1 — Estrogen receptor,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,23,25,14,56,19
204,givinostat,FLT1 — Vascular endothelial growth factor receptor 1,仍可探索,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,58,15,13,91,19
205,ozanimod,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,112,6,7,193,19
206,ranolazine,CA7 — Carbonic anhydrase 7,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,256,9,57,148,19
207,rilpivirine,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,98,11,16,119,19
208,dasabuvir,NR3C1 — Glucocorticoid receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,30,23,14,101,19
209,indapamide,ACE — Angiotensin-converting enzyme,仍可探索,NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,74,11,11,90,19
210,vibegron,ROCK2 — Rho-associated protein kinase 2,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,14,43,11,48,19
211,nalmefene,VDR — Vitamin D3 receptor,仍可探索,WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,10,8,4,78,19
212,selinexor,ABL1 — Tyrosine-protein kinase ABL1,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,184,1,12,197,19
213,rosuvastatin,NR3C2 — Mineralocorticoid receptor,仍可探索,BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,136,11,27,75,19
214,tasimelteon,NR3C1 — Glucocorticoid receptor,仍可探索,PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,4,29,5,54,19
215,sapropterin,CHEK2 — Serine/threonine-protein kinase Chk2,仍可探索,FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,64,6,10,101,20
216,lubiprostone,NR3C2 — Mineralocorticoid receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,40,88,47,22,20
217,varenicline,NTRK3 — NT-3 growth factor receptor,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,1,81,14,15,20
218,belzutifan,AR — Androgen receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,93,10,10,122,20
219,bictegravir,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,24,95,38,12,20
220,ketoprofen,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,37,13,15,65,20
221,vemurafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,65,13,12,114,20
222,metformin,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,15,48,16,26,20
223,alpelisib,MMP12 — Macrophage metalloelastase,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,179,26,46,79,20
224,pomalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,272,1,1,308,1
225,dabrafenib,HDAC1 — Histone deacetylase 1,先解决具体问题,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,237,1,1,260,1
226,telmisartan,MME — Neprilysin,先解决具体问题,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,199,1,1,51,1
227,esmolol,CA4 — Carbonic anhydrase 4,先解决具体问题,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL3729,9,4,1,12,1
228,levamlodipine,CA7 — Carbonic anhydrase 7,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL2326,1,2,2,2,1
229,nevirapine,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL3522,70,1,1,40,1
230,pilocarpine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL2722,4,7,2,1,1
231,idelalisib,HDAC11 — Histone deacetylase 11,先解决具体问题,IFSDAJWBUCMOAH-HNNXBMFYSA-N__CHEMBL3310,215,1,2,173,2
232,betrixaban,F7 — Coagulation factor VII,先解决具体问题,XHOLNRLADUSQLD-UHFFFAOYSA-N__CHEMBL3991,65,3,2,65,2
233,tedizolid,NTRK2 — BDNF/NT-3 growth factors receptor,先解决具体问题,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,5,5,2,41,2
234,clascoterone,"CYP17A1 — Steroid 17-alpha-hydroxylase/17,20 lyase",先解决具体问题,GPNHMOZDMYNCPO-PDUMRIMRSA-N__CHEMBL3522,96,2,2,56,2
235,levamlodipine,DHFR — Dihydrofolate reductase,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL202,7,1,1,21,2
236,acetaminophen,MIF — Macrophage migration inhibitory factor,先解决具体问题,RZVAJINKPMORJF-UHFFFAOYSA-N__CHEMBL2085,10,3,2,122,2
237,gemcitabine,DNMT1 — DNA (cytosine-5)-methyltransferase 1,先解决具体问题,SDUQYLNIPVEERB-QPPQHZFASA-N__CHEMBL1993,34,2,2,163,2
238,pilocarpine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,QCHFTSOMWOSFHM-WPRPVWTQSA-N__CHEMBL1908,3,6,1,4,2
239,thalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL1937,236,1,3,286,3
240,etonogestrel,ESR2 — Estrogen receptor beta,先解决具体问题,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,72,2,3,90,3
241,bictegravir,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2189110,20,3,3,34,3
242,baricitinib,HDAC1 — Histone deacetylase 1,先解决具体问题,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL325,200,4,3,248,3
243,articaine,MME — Neprilysin,先解决具体问题,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1944,18,38,9,4,3
244,oxycodone,CA2 — Carbonic anhydrase 2,先解决具体问题,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL205,5,9,2,24,3
245,bempedoic acid,MMP3 — Stromelysin-1,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,110,1,3,156,3
246,olmesartan,MME — Neprilysin,先解决具体问题,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL1944,173,2,6,59,3
247,duvelisib,HDAC11 — Histone deacetylase 11,先解决具体问题,SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL3310,301,3,4,233,4
248,nilotinib,GART — Trifunctional purine biosynthetic protein adenosine-3,先解决具体问题,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,80,26,21,11,4
249,landiolol,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,72,3,6,36,4
250,rilpivirine,YES1 — Tyrosine-protein kinase Yes,先解决具体问题,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,33,3,3,81,4
251,capmatinib,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,95,3,14,71,4
252,bempedoic acid,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,111,4,6,91,4
253,thalidomide,HDAC11 — Histone deacetylase 11,先解决具体问题,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3310,14,7,5,31,4
254,nicotine,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,SNICXCGAKADSCV-JTQLQIEISA-N__CHEMBL4523510,7,25,8,1,4
255,hydroxychloroquine,CTSC — Dipeptidyl peptidase 1,先解决具体问题,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL2252,32,106,39,2,4
256,paroxetine,MAOB — Amine oxidase [flavin-containing] B,先解决具体问题,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,56,3,4,87,5
257,lenalidomide,HDAC2 — Histone deacetylase 2,先解决具体问题,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,250,2,2,295,5
258,ranolazine,IGF1R — Insulin-like growth factor 1 receptor,先解决具体问题,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,60,3,5,74,5
259,nimodipine,F7 — Coagulation factor VII,先解决具体问题,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,5,28,3,9,5
260,articaine,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,1,49,2,10,5
261,pemigatinib,CDK9 — Cyclin-dependent kinase 9,先解决具体问题,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL3116,127,5,5,161,5
262,rilpivirine,FYN — Tyrosine-protein kinase Fyn,先解决具体问题,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,56,2,4,157,5
263,teriflunomide,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,1,74,4,3,5
264,baricitinib,HDAC11 — Histone deacetylase 11,先解决具体问题,XUZMWHLSFXCVMG-UHFFFAOYSA-N__CHEMBL3310,356,5,6,304,5
265,dabrafenib,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",先解决具体问题,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,2,7,5,24,5
266,ruxolitinib,HDAC11 — Histone deacetylase 11,先解决具体问题,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,342,6,6,279,6
267,alvimopan,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,94,13,15,11,6
268,retapamulin,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,先解决具体问题,STZYTFJPGGDRJD-NHUWBDDWSA-N__CHEMBL1902,11,40,8,16,6
269,pomalidomide,HDAC11 — Histone deacetylase 11,先解决具体问题,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL3310,118,9,6,80,6
270,brivaracetam,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL4523510,10,136,13,3,6
271,meropenem,MMP7 — Matrilysin,先解决具体问题,DMJNNHOOLUXYBV-PQTSNVLCSA-N__CHEMBL4073,80,7,11,72,6
272,mirdametinib,HDAC11 — Histone deacetylase 11,先解决具体问题,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL3310,6,39,5,9,6
273,esmolol,CA7 — Carbonic anhydrase 7,先解决具体问题,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,124,5,16,36,7
274,ivabradine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,153,11,28,31,7
275,epinephrine,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL2243,143,7,7,189,7
276,eltrombopag,LCK — Tyrosine-protein kinase Lck,先解决具体问题,XDXWLKQMMKQXPV-QYQHSDTDSA-N__CHEMBL258,12,19,4,25,7
277,vorapaxar,DPP4 — Dipeptidyl peptidase 4,先解决具体问题,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL284,13,13,2,36,7
278,bazedoxifene,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,先解决具体问题,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,53,5,7,67,7
279,hydroxychloroquine,TYK2 — Non-receptor tyrosine-protein kinase TYK2,先解决具体问题,XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,21,19,4,42,7
280,perampanel,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,PRMWGUBFXWROHD-UHFFFAOYSA-N__CHEMBL4523510,34,76,29,6,7
281,aripiprazole,MAOB — Amine oxidase [flavin-containing] B,先解决具体问题,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2039,348,2,8,350,8
282,calcipotriene,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,15,209,38,1,8
283,imipenem,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,ZSKVGTPCRGIANV-ZXFLCMHBSA-N__CHEMBL2243,8,4,1,21,8
284,meloxicam,DHFR — Dihydrofolate reductase,先解决具体问题,ZRVUJXDFFKFLMG-UHFFFAOYSA-N__CHEMBL202,10,9,3,30,8
285,crisaborole,FAAH — Fatty-acid amide hydrolase 1,先解决具体问题,USZAGAREISWJDP-UHFFFAOYSA-N__CHEMBL2243,28,7,4,68,8
286,deutetrabenazine,UGCG — Ceramide glucosyltransferase,先解决具体问题,MKJIEFSOBYUXJB-WEZHFFAMSA-N__CHEMBL2063,46,56,26,7,8
287,tazemetostat,DHFR — Dihydrofolate reductase,先解决具体问题,NSQSAUGJQHDYNO-UHFFFAOYSA-N__CHEMBL202,11,39,6,36,8
288,zavegepant,INSR — Insulin receptor,先解决具体问题,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,108,1,5,160,9
289,olmesartan,EGLN3 — Prolyl hydroxylase EGLN3,先解决具体问题,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,42,24,16,13,9
290,atrasentan,ERBB2 — Receptor tyrosine-protein kinase erbB-2,先解决具体问题,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,114,2,4,161,9
291,colchicine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,先解决具体问题,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,157,2,8,85,9
292,ivabradine,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",先解决具体问题,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL1908,165,6,16,118,9
293,methylnaltrexone,CA2 — Carbonic anhydrase 2,先解决具体问题,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL205,26,12,3,40,9
294,raloxifene,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,先解决具体问题,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,43,8,10,59,9
295,olopatadine,NR3C1 — Glucocorticoid receptor,先解决具体问题,JBIMVDZLSHOPLA-LSCVHKIXSA-N__CHEMBL2034,133,6,7,183,9
296,amisulpride,CA2 — Carbonic anhydrase 2,先解决具体问题,NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,136,3,4,158,10
297,ozanimod,EZH2 — Histone-lysine N-methyltransferase EZH2,先解决具体问题,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,77,7,4,52,10
298,aclidinium,PPARG — Peroxisome proliferator-activated receptor gamma,先解决具体问题,ASMXXROZKSBQIH-VITNCHFBSA-N__CHEMBL235,30,2,2,53,10
299,enzalutamide,NTRK1 — High affinity nerve growth factor receptor,先解决具体问题,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL2815,55,5,6,91,10
300,glycopyrronium,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,13,23,5,14,11
301,dolutegravir,MAPK8 — Mitogen-activated protein kinase 8,先解决具体问题,RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,6,26,6,22,11
302,pemigatinib,"PDE3A — cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",先解决具体问题,HCDMJFOHIXMBOV-UHFFFAOYSA-N__CHEMBL241,200,6,7,233,11
303,vigabatrin,MMP8 — Neutrophil collagenase,先解决具体问题,PJDFLNIOAUIZSL-UHFFFAOYSA-N__CHEMBL4588,66,9,6,79,11
304,vardenafil,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL2722,48,140,50,7,11
305,trametinib,DHFR — Dihydrofolate reductase,先解决具体问题,LIRYPHYGHXZJBZ-UHFFFAOYSA-N__CHEMBL202,3,149,5,11,11
306,mesalamine,XDH — Xanthine dehydrogenase/oxidase,先解决具体问题,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,42,7,7,100,12
307,rivaroxaban,LCK — Tyrosine-protein kinase Lck,先解决具体问题,KGFYHTZWPPHNLQ-AWEZNQCLSA-N__CHEMBL258,4,11,8,62,12
308,selumetinib,UGCG — Ceramide glucosyltransferase,先解决具体问题,CYOHGALHFOKKQC-UHFFFAOYSA-N__CHEMBL2063,51,163,64,5,12
309,sotalol,CYP26A1 — Cytochrome P450 26A1,先解决具体问题,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,231,5,20,160,13
310,sufentanil,F12 — Coagulation factor XII,先解决具体问题,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,41,6,9,64,13
311,levamlodipine,CA1 — Carbonic anhydrase 1,先解决具体问题,HTIQEAQVCYTUBX-KRWDZBQOSA-N__CHEMBL261,72,5,5,83,13
312,calcipotriene,AR — Androgen receptor,先解决具体问题,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1871,28,11,6,51,13
313,norephinephrine,CTSC — Dipeptidyl peptidase 1,先解决具体问题,SFLSHLFXELFNJZ-QMMMGPOBSA-N__CHEMBL2252,4,161,41,1,13
314,brexpiprazole,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",先解决具体问题,ZKIAIYBUSXZPLP-UHFFFAOYSA-N__CHEMBL1827,29,22,11,38,13
315,aripiprazole,PTK2 — Focal adhesion kinase 1,先解决具体问题,CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2695,10,37,11,16,13
316,ivosidenib,AKT1 — RAC-alpha serine/threonine-protein kinase,先解决具体问题,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL4282,6,8,5,77,13
317,afatinib,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL2722,87,114,55,18,13
318,baclofen,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,KPYSYYIEGFHWSV-UHFFFAOYSA-N__CHEMBL4523510,25,145,32,8,13
319,clobazam,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,CXOXHMZGEKVPMT-UHFFFAOYSA-N__CHEMBL4523510,9,77,20,3,13
320,esmolol,ACE — Angiotensin-converting enzyme,先解决具体问题,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL1808,12,29,10,25,13
321,ozenoxacin,TYK2 — Non-receptor tyrosine-protein kinase TYK2,先解决具体问题,XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,35,12,9,83,14
322,dexrazoxane,MMP7 — Matrilysin,先解决具体问题,BMKDZUISNHGIBY-ZETCQYMHSA-N__CHEMBL4073,4,108,6,10,14
323,rolapitant,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",先解决具体问题,FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL3535,101,100,62,9,14
324,glasdegib,FLT3 — Receptor-type tyrosine-protein kinase FLT3,先解决具体问题,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,34,15,6,58,14
325,bempedoic acid,MMP12 — Macrophage metalloelastase,先解决具体问题,HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL4393,58,17,16,37,14
326,pomalidomide,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",先解决具体问题,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4005,253,12,12,278,14
327,relugolix,KDR — Vascular endothelial growth factor receptor 2,先解决具体问题,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL279,44,6,6,81,14
328,oliceridine,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",先解决具体问题,DMNOVGJWPASQDL-OAQYLSRUSA-N__CHEMBL2722,18,234,31,10,14
329,diazepam,CYP46A1 — Cholesterol 24-hydroxylase,先解决具体问题,AAOVKJBEBIDNHE-UHFFFAOYSA-N__CHEMBL4523510,29,33,20,10,14
330,dimethyl fumarate,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,先解决具体问题,LDCRTTXIJACKKU-ONEGZZNKSA-N__CHEMBL402,3,35,11,29,14
331,linagliptin,"PDE5A — cGMP-specific 3',5'-cyclic phosphodiesterase",先解决具体问题,LTXREWYXXSTFRX-QGZVFWFLSA-N__CHEMBL1827,42,8,6,67,14
332,colchicine,UGCG — Ceramide glucosyltransferase,先解决具体问题,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL2063,25,177,61,7,14
