对照编号,新靶点名称,新靶点的已知药物名称,精确对照原始证据已匹配,对照身份,对照证据类型,对照确认状态,对照ChEMBL编号,对照完整InChIKey,对照SMILES,新靶点ChEMBL编号,新靶点基因,原对照名称,参考证据层级,真实ChEMBL实验编号,真实ChEMBL文献编号,证据文献DOI,原pair_id,对照用途
CTRL-030,NR3C1 — Glucocorticoid receptor,PREDNISONE,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,CHEMBL2034,NR3C1,PREDNISONE,Kd_RECORD_PRESENT,CHEMBL4680589,CHEMBL4680066,10.1039/d0md00278j,XOFYZVNMUHMLCC-ZPOLXVRWSA-N__CHEMBL2034,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-031,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N,NCCNC(=O)c1ccc(Cl)cn1,CHEMBL2039,MAOB,LAZABEMIDE,Kd_RECORD_PRESENT,CHEMBL2213280; CHEMBL3404812; CHEMBL3404821; CHEMBL3407043; CHEMBL3999502; CHEMBL4125425; CHEMBL4187839; CHEMBL4259682; CHEMBL4369244; CHEMBL4424161; CHEMBL4713918; CHEMBL5152292; CHEMBL5244520; CHEMBL884737,CHEMBL1142839; CHEMBL2202975; CHEMBL3399931; CHEMBL3997813; CHEMBL4118277; CHEMBL4184231; CHEMBL4257534; CHEMBL4368868; CHEMBL4422655; CHEMBL4706681; CHEMBL5150013; CHEMBL5244208,10.1016/j.bmc.2012.10.005; 10.1016/j.bmc.2014.12.063; 10.1016/j.bmcl.2005.07.043; 10.1016/j.bmcl.2017.01.085; 10.1016/j.bmcl.2018.01.049; 10.1016/j.bmcl.2018.06.023; 10.1016/j.bmcl.2019.01.016; 10.1016/j.ejmech.2018.01.003; 10.1021/acs.jmedchem.0c01504; 10.1021/acs.jmedchem.1c01571; 10.1039/C8MD00196K; 10.1039/C8MD00399H,JZXRLKWWVNUZRB-UHFFFAOYSA-N__CHEMBL2039,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-032,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2041,RET,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051257; CHEMBL1061179; CHEMBL3820670; CHEMBL4145895; CHEMBL4328587; CHEMBL4709988; CHEMBL4709989; CHEMBL4709990; CHEMBL4709991; CHEMBL4720571; CHEMBL5720883,CHEMBL1150977; CHEMBL3817824; CHEMBL4145442; CHEMBL4325871; CHEMBL4706552; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2020.112755; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2041,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-033,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,True,通用名称已收录,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL205,CA2,DORZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL2329241; CHEMBL3419421; CHEMBL3419422; CHEMBL3588577,CHEMBL2321768; CHEMBL3414464; CHEMBL3585326,10.1016/j.bmc.2015.04.019; 10.1016/j.bmcl.2012.12.058; 10.1021/acs.jmedchem.5b00043,IAVUPMFITXYVAF-XPUUQOCRSA-N__CHEMBL205,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-034,ESR1 — Estrogen receptor,研究化合物 CHEMBL377849（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL377849,ANMCTAWGJSYPPA-LPYMAVHISA-N,CNc1c(/C=N/O)ccc(-c2ccc(O)cc2)c1-c1ccccc1,CHEMBL206,ESR1,CHEMBL377849,Kd_RECORD_PRESENT,CHEMBL869166,CHEMBL1145331,10.1021/jm060560u,ANMCTAWGJSYPPA-LPYMAVHISA-N__CHEMBL206,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-035,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,True,通用名称已收录,IC50,仅功能/其他活性记录，SPR对照尚未落实,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,CHEMBL2063,UGCG,ELIGLUSTAT,FUNCTIONAL_OR_OTHER_ONLY,CHEMBL3599363,CHEMBL3596159,10.1039/C4MD00086B,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL2063,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-036,YES1 — Tyrosine-protein kinase Yes,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2073,YES1,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051262; CHEMBL3820678; CHEMBL4050200; CHEMBL4328656; CHEMBL5720944; CHEMBL859642,CHEMBL1144455; CHEMBL1150977; CHEMBL3817824; CHEMBL4049399; CHEMBL4325871; CHEMBL5715954,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.02.030; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2073,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-037,PGR — Progesterone receptor,研究化合物 CHEMBL2311103（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL2311103,IJLXLZGJDSJGIQ-BILPMHSYSA-N,CC[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1C(=O)CO,CHEMBL208,PGR,CHEMBL2311103,Kd_RECORD_PRESENT,CHEMBL829229; CHEMBL829230; CHEMBL829231; CHEMBL829232; CHEMBL829233; CHEMBL829234; CHEMBL829235; CHEMBL841758; CHEMBL875181,CHEMBL1142733,10.1021/jm040842z,IJLXLZGJDSJGIQ-BILPMHSYSA-N__CHEMBL208,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-038,MIF — Macrophage migration inhibitory factor,BTZO-1,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL4516611,GBAKVEWPYUIGHN-UHFFFAOYSA-N,O=c1nc(-c2ccccn2)sc2ccccc12,CHEMBL2085,MIF,BTZO-1,Kd_RECORD_PRESENT,CHEMBL4886501; CHEMBL5210492; CHEMBL5717025; CHEMBL5717028; CHEMBL5717040,CHEMBL4507329; CHEMBL5210307; CHEMBL5715946,10.1016/j.chembiol.2010.10.011; 10.6019/CHEMBL4507329; 10.6019/CHEMBL5210307,GBAKVEWPYUIGHN-UHFFFAOYSA-N__CHEMBL2085,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-039,JAK3 — Tyrosine-protein kinase JAK3,STAUROSPORINE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2148,JAK3,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1051335; CHEMBL3820656; CHEMBL4050189; CHEMBL4145878; CHEMBL4328460; CHEMBL4431267; CHEMBL4720691; CHEMBL4832292; CHEMBL5720762; CHEMBL6089712; CHEMBL889938,CHEMBL1146279; CHEMBL1150977; CHEMBL3817824; CHEMBL4049399; CHEMBL4145442; CHEMBL4325871; CHEMBL4428138; CHEMBL4715818; CHEMBL4831500; CHEMBL5715954; CHEMBL6087451,10.1016/j.bmc.2016.05.057; 10.1016/j.bmc.2017.02.030; 10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2006.10.062; 10.1016/j.ejmech.2017.10.003; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2021.113674; 10.1021/acs.jmedchem.4c02030; 10.1021/acsmedchemlett.6b00247; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2148,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-040,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,研究化合物 CHEMBL3113617（无通用名称）,True,仅研究编号，实物待落实,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,CHEMBL3113617,RFZWCDJCCQBGPO-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)O)c3ccccc32)cc1,CHEMBL215,ALOX5,CHEMBL3113617,Ki_NO_Kd_RECORD,CHEMBL3118894; CHEMBL3118900,CHEMBL3112507,10.1016/j.bmc.2014.01.027,RFZWCDJCCQBGPO-UHFFFAOYSA-N__CHEMBL215,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-041,GBA1 — Lysosomal acid glucosylceramidase,研究化合物 CHEMBL5951426（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL5951426,VIPLIVNKNZODIT-UHFFFAOYSA-O,CN(C)c1ccc2c(-c3ccc(C(=O)NCCOCCOCCOCCOCCC(=O)NCCCCCC(=O)Nc4ccc(-c5nc(NC6Cc7ccccc7C6)c6ccccc6n5)cc4)cc3OC=O)c3ccc(=[N+](C)C)cc-3oc2c1,CHEMBL2179,GBA1,CHEMBL5951426,Kd_RECORD_PRESENT,CHEMBL5731965,CHEMBL5726058,,VIPLIVNKNZODIT-UHFFFAOYSA-O__CHEMBL2179,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-042,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3287735,FKSFKBQGSFSOSM-QFIPXVFZSA-N,CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21,CHEMBL2189110,EZH2,GSK2816126,Kd_RECORD_PRESENT,CHEMBL3417985; CHEMBL3417986; CHEMBL3417987; CHEMBL3417988; CHEMBL3417989; CHEMBL3417990; CHEMBL3418240; CHEMBL3418486; CHEMBL3607425; CHEMBL3607426; CHEMBL3607427; CHEMBL4833634; CHEMBL4833635; CHEMBL5039016; CHEMBL5319234; CHEMBL5340358; CHEMBL5518866; CHEMBL5518867; CHEMBL5709054; CHEMBL5713837,CHEMBL3414551; CHEMBL3603747; CHEMBL4831544; CHEMBL5038571; CHEMBL5316326; CHEMBL5338739; CHEMBL5518170; CHEMBL5705896; CHEMBL5712895,10.1016/j.bmcl.2015.06.056; 10.1016/j.ejmech.2023.116054; 10.1021/acs.jmedchem.0c02234; 10.1021/acs.jmedchem.1c01154; 10.1021/acs.jmedchem.2c01370; 10.1021/acs.jmedchem.3c00003; 10.1021/cb400133j; 10.1021/jm501234a; 10.1534/g3.117.300311,FKSFKBQGSFSOSM-QFIPXVFZSA-N__CHEMBL2189110,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-043,ACHE — Acetylcholinesterase,HUPERZINE A,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,CHEMBL220,ACHE,HUPERZINE A,Kd_RECORD_PRESENT,CHEMBL1065425; CHEMBL2072352; CHEMBL2340978; CHEMBL2412264; CHEMBL3385584; CHEMBL3761952; CHEMBL4201331; CHEMBL4334128; CHEMBL4481753; CHEMBL4815506; CHEMBL5117328; CHEMBL862409,CHEMBL1148525; CHEMBL1152583; CHEMBL2069170; CHEMBL2331507; CHEMBL2407087; CHEMBL3352315; CHEMBL3758134; CHEMBL4196184; CHEMBL4330159; CHEMBL4480424; CHEMBL4813953; CHEMBL5113467,10.1016/j.bmc.2009.08.017; 10.1016/j.bmcl.2012.11.083; 10.1016/j.bmcl.2022.128873; 10.1021/acs.jmedchem.0c01863; 10.1021/acs.jnatprod.5b00600; 10.1021/acs.jnatprod.8b00461; 10.1021/acs.jnatprod.8b00592; 10.1021/acs.jnatprod.8b00705; 10.1021/jm060257t; 10.1021/np2009626; 10.1021/np4003355; 10.1021/np500412f,ZRJBHWIHUMBLCN-YQEJDHNASA-N__CHEMBL220,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-044,MAPKAPK2 — MAP kinase-activated protein kinase 2,STAUROSPORINE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2208,MAPKAPK2,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061090; CHEMBL1071870; CHEMBL1071871; CHEMBL1071872; CHEMBL1071873; CHEMBL4328480; CHEMBL4720673; CHEMBL5720781; CHEMBL864421,CHEMBL1146102; CHEMBL1150977; CHEMBL1153133; CHEMBL4325871; CHEMBL4715818; CHEMBL5715954,10.1016/j.bmc.2018.02.022; 10.1016/j.bmcl.2005.12.065; 10.1016/j.bmcl.2009.10.102; 10.1016/j.ejmech.2018.10.052; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2208,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-045,FAAH — Fatty-acid amide hydrolase 1,MK-3168,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N,CN(C)C(=O)[C@H]1C[C@@H]1c1ccc(-c2ncn(C)c2Sc2ccc(Cl)cn2)cc1,CHEMBL2243,FAAH,MK-3168,Kd_RECORD_PRESENT,CHEMBL2388902,CHEMBL2385021,10.1021/ml4000996,WRBFPGYDKJBYBI-SJORKVTESA-N__CHEMBL2243,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-046,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,CHEMBL2252,CTSC,BRENSOCATIB,Kd_RECORD_PRESENT,CHEMBL3859628; CHEMBL3859629; CHEMBL3859664; CHEMBL3859666; CHEMBL3859667; CHEMBL3859668; CHEMBL3859669; CHEMBL4829859; CHEMBL4829860; CHEMBL4829861; CHEMBL5733670; CHEMBL6093420,CHEMBL3856275; CHEMBL4828733; CHEMBL5726916; CHEMBL6092168,10.1016/j.ejmech.2024.116914; 10.1021/acs.jmedchem.1c00104; 10.1021/acs.jmedchem.6b01127,AEXFXNFMSAAELR-RXVVDRJESA-N__CHEMBL2252,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-047,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,True,通用名称已收录,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2276,MAPK8,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1061076; CHEMBL4050190; CHEMBL4328461; CHEMBL4720692; CHEMBL5386176; CHEMBL5386789; CHEMBL5636346; CHEMBL5720763; CHEMBL6124983; CHEMBL860799,CHEMBL1144455; CHEMBL1150977; CHEMBL4049399; CHEMBL4325871; CHEMBL4715818; CHEMBL5385844; CHEMBL5385856; CHEMBL5634117; CHEMBL5715954; CHEMBL6121018,10.1016/j.bmc.2017.02.030; 10.1016/j.bmc.2018.02.022; 10.1016/j.ejmech.2018.10.052; 10.1016/j.ejmech.2022.114894; 10.1016/j.ejmech.2022.114917; 10.1016/j.ejmech.2023.115779; 10.1016/j.ejmech.2024.117209; 10.1038/nbt1068; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2276,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-048,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,HARMINE,True,通用名称已收录,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL269538,BXNJHAXVSOCGBA-UHFFFAOYSA-N,COc1ccc2c(c1)[nH]c1c(C)nccc12,CHEMBL2292,DYRK1A,HARMINE,Kd_RECORD_PRESENT,CHEMBL1062880; CHEMBL2182293; CHEMBL2187134; CHEMBL2394349; CHEMBL3105981; CHEMBL3776531; CHEMBL3778243; CHEMBL4034241; CHEMBL4151434; CHEMBL4151435; CHEMBL4266643; CHEMBL4266651; CHEMBL4344348; CHEMBL4719505; CHEMBL4810661; CHEMBL5138107; CHEMBL5235554; CHEMBL5251383; CHEMBL5251692; CHEMBL5251699; CHEMBL5548729; CHEMBL6114642; CHEMBL6118152,CHEMBL1150976; CHEMBL2176911; CHEMBL2390846; CHEMBL3102826; CHEMBL3774321; CHEMBL4033637; CHEMBL4145671; CHEMBL4265878; CHEMBL4342463; CHEMBL4715790; CHEMBL4808225; CHEMBL5136986; CHEMBL5233266; CHEMBL5247649; CHEMBL5247654; CHEMBL5543160; CHEMBL6109177; CHEMBL6115010,10.1016/j.bmc.2024.118051; 10.1016/j.bmcl.2013.02.096; 10.1016/j.bmcl.2017.03.037; 10.1016/j.ejmech.2016.02.017; 10.1016/j.ejmech.2021.114062; 10.1021/acs.jmedchem.0c01887; 10.1021/acs.jmedchem.1c01115; 10.1021/acs.jmedchem.2c01887; 10.1021/acs.jmedchem.2c02068; 10.1021/acs.jmedchem.3c01696; 10.1021/acs.jmedchem.5c00512; 10.1021/acs.jmedchem.6b01083; 10.1021/acs.jmedchem.8b00185; 10.1021/acs.jmedchem.8b00658; 10.1021/acs.jmedchem.9b01379; 10.1021/jm301034u; 10.1021/jm401049v; 10.1042/bj20070797,BXNJHAXVSOCGBA-UHFFFAOYSA-N__CHEMBL2292,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-049,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,True,通用名称已收录,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL2326,CA7,ETHOXZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL2446503; CHEMBL828071,CHEMBL1141985; CHEMBL2439997,10.1016/j.bmc.2013.09.029; 10.1016/j.bmcl.2004.12.052,OUZWUKMCLIBBOG-UHFFFAOYSA-N__CHEMBL2326,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-050,PPARG — Peroxisome proliferator-activated receptor gamma,REVERSE TRIIODOTHYRONINE,True,通用名称已收录,Kd,有Kd记录，待确认构建与SPR实测活性,CHEMBL1743304,HZCBWYNLGPIQRK-LBPRGKRZSA-N,N[C@@H](Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,CHEMBL235,PPARG,REVERSE TRIIODOTHYRONINE,Kd_RECORD_PRESENT,CHEMBL4629574,CHEMBL4627384,10.1021/acs.jmedchem.9b02150,HZCBWYNLGPIQRK-LBPRGKRZSA-N__CHEMBL235,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-051,"PDE3A — cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",研究化合物 CHEMBL4247714（无通用名称）,True,仅研究编号，实物待落实,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL4247714,YOSSKNZHADPXJX-SNVBAGLBSA-N,CCN(CC)c1ccc(C2=NNC(=O)C[C@H]2C)cc1[N+](=O)[O-],CHEMBL241,PDE3A,CHEMBL4247714,Kd_RECORD_PRESENT,CHEMBL5256546; CHEMBL5256548,CHEMBL5252654,10.1021/acsmedchemlett.3c00092,YOSSKNZHADPXJX-SNVBAGLBSA-N__CHEMBL241,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-052,ESR2 — Estrogen receptor beta,研究化合物 CHEMBL475278（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL475278,ZDSSMGFPICRDHW-VIZOYTHASA-N,O/N=C/c1cc(-c2ccc(O)c(F)c2)ccc1O,CHEMBL242,ESR2,CHEMBL475278,Kd_RECORD_PRESENT,CHEMBL3095121,CHEMBL3091275,10.1016/j.bmcl.2013.09.037,ZDSSMGFPICRDHW-VIZOYTHASA-N__CHEMBL242,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-053,CHEK2 — Serine/threonine-protein kinase Chk2,研究化合物 CHEMBL4465866（无通用名称）,True,仅研究编号，实物待落实,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,CHEMBL4465866,NXSJMRCTGYTSTK-SQHKIPTKSA-N,CO[C@@H]1[C@H](NCCOCCOCCOCCNC(=O)CCC2=[N+]3C(=Cc4c(C)cc(C)n4[B-]3(F)F)C=C2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL2527,CHEK2,CHEMBL4465866,Kd_RECORD_PRESENT,CHEMBL4322731,CHEMBL4321812,10.1016/j.bmcl.2019.126641,NXSJMRCTGYTSTK-SQHKIPTKSA-N__CHEMBL2527,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-054,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL258,LCK,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,CHEMBL5651685,CHEMBL5649169,10.1002/cmdc.201800398,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL258,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-055,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE,True,通用名称已收录,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CHEMBL261,CA1,ETHOXZOLAMIDE,Kd_RECORD_PRESENT,CHEMBL1948412; CHEMBL2394011; CHEMBL2446506; CHEMBL5732037; CHEMBL6127674; CHEMBL876385,CHEMBL1142836; CHEMBL1944506; CHEMBL2390891; CHEMBL2439997; CHEMBL5726092; CHEMBL6127030,10.1016/j.bmc.2013.09.029; 10.1016/j.bmcl.2004.10.070; 10.1016/j.bmcl.2011.12.069; 10.1016/j.bmcl.2013.04.048; 10.1021/acs.jmedchem.4c01187,OUZWUKMCLIBBOG-UHFFFAOYSA-N__CHEMBL261,每个靶点另计参考；不计入384候选；不是384次重复采购
CTRL-056,GSK3B — Glycogen synthase kinase-3 beta,STAUROSPORINE,True,通用名称已收录,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL262,GSK3B,STAUROSPORINE,Kd_RECORD_PRESENT,CHEMBL1034478; CHEMBL1061074; CHEMBL3118640; CHEMBL3372070; CHEMBL3390655; CHEMBL3398953; CHEMBL3620031; CHEMBL3749459; CHEMBL3820496; CHEMBL4256137; CHEMBL4431132; CHEMBL4602766; CHEMBL4686941; CHEMBL4824378; CHEMBL5252316; CHEMBL5258748; CHEMBL5720744; CHEMBL6124984; CHEMBL6154657; CHEMBL833508,CHEMBL1138659; CHEMBL1150977; CHEMBL1158345; CHEMBL3112393; CHEMBL3352531; CHEMBL3352815; CHEMBL3397021; CHEMBL3616395; CHEMBL3745682; CHEMBL3817824; CHEMBL4251714; CHEMBL4428132; CHEMBL4602602; CHEMBL4680251; CHEMBL4823268; CHEMBL5247671; CHEMBL5257073; CHEMBL5715954; CHEMBL6121018; CHEMBL6153053,10.1016/j.bmc.2014.12.026; 10.1016/j.bmc.2016.05.057; 10.1016/j.bmcl.2014.05.085; 10.1016/j.bmcl.2014.08.049; 10.1016/j.bmcl.2023.129263; 10.1016/j.ejmech.2008.08.012; 10.1016/j.ejmech.2013.11.036; 10.1016/j.ejmech.2015.08.031; 10.1016/j.ejmech.2015.10.018; 10.1016/j.ejmech.2018.12.073; 10.1016/j.ejmech.2020.112277; 10.1016/j.ejmech.2021.113554; 10.1016/j.ejmech.2024.117209; 10.1016/j.ejmech.2025.117236; 10.1021/acs.jmedchem.6b00944; 10.1021/acs.jnatprod.7b01082; 10.1021/acsmedchemlett.3c00127; 10.1021/jm049768a; 10.1038/nbt1358; 10.1182/blood-2016-08-731240,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL262,每个靶点另计参考；不计入384候选；不是384次重复采购
