homology_cluster,sequences,split
SEQ:2d5781fce851e0a4c29f25ac81e7bf89fa25654da8e20229e01d948167022b69,1,test
SEQ:2d58ff297989b730d32122d3a121b4acfdc2268cf8f10b5e8c88fad124c3bec3,1,train
SEQ:2d787c50f0589a815415c2ecda654678a50cb74d1c9d6b7a8b311a8dfd4f9aab,1,validation
SEQ:2dbf6c2988e9283e852e4c5119ce9beb15bbc721517b9d8a66fa85f7b0e1c736,1,train
SEQ:2dbf81ae2c067b25b9a37b1ec1654a5b951ba2a869d0eea46b4acdb3ca11e84d,1,train
SEQ:2e06147776f1617f3d1a04c74a975e306d857330975093b2efc61c8c1f55443b,2,validation
SEQ:2e06b2ca7bb0c1867f25e747f071168eaff7a548a53df1ee6fdb11a233f4fc78,2,train
SEQ:2e18349d95d39c5d72408cdea6b675c82eaadc23a627601f6a625d414621a6d2,4,train
SEQ:2e4828ead9cb2fbb44bf6e2f4b18e49f5705cc14c66581f625dcd1b04cc777c4,1,train
SEQ:2e57bbdae76d347009a663c438fee33ba7c9774e62140b273abe98e095a14a64,1,train
SEQ:2e710fd8bdeaaa1ae9c9639503800bd9ffbe85f13d1541945cac777d2a84a8c2,1,train
SEQ:2e804cfa42f61186588421ed5fc13e4592b6f4fba46eab30e2f67431c53b68a6,1,train
SEQ:2e80bf11dc937ba8b1d34e30ac787b6ade6f530c8d7f949e2cb44d143e73e203,1,train
SEQ:2e8dbcaee122b2172ace996cbdd3510a635e8d860b101a72e0966c00c7d9685b,2,test
SEQ:2e90490e5cbfa2b315325ebac90105629c6038962f9e84819af11ad66258ab08,1,train
SEQ:2ecaba3383507109dc5e5c603a7b2a75346f350208f8f195208058b9aab0c9c7,1,validation
SEQ:2efbdf5de663979bb82829a050efd027644040303b95d571caa5d39e809b644b,7,train
SEQ:2f26259a08c5abeebb21bd2f46e7cb1dcbfca6829043094310214ab178dd89eb,1,train
SEQ:2f40b69877e0c1e3d8ec297f740282689ce2cc01c6c2c89c20ac1ae051172ca0,1,train
SEQ:2f444b47b54371846ae4012a9370db93be6fe391c6f5ffa9fd08bd32fb867398,1,test
SEQ:2f5134213a9f1129136a678bb31b772a54dda31342dca3a846fcb5707dec050b,2,train
SEQ:2f520e78e57c11f844fcb65c846c7b63c3330907ae5cf3e8b3354105eb3e5ff4,2,train
SEQ:2f67b0398c769dc5deb575f46362e1cad7c5a647adac36d48ce8538043ff075d,1,train
SEQ:2f698d2c6518bfbf39f1a2d03e7b3181bf8c1551d42a972586af43d25a6ff06e,1,test
SEQ:2f6e0c09aa9ba2acd460ba3c85e664af0cb0056c503f7ace7d6217f7cb421ce4,1,train
SEQ:2f76a1405e7aed356b34cd1a9f18c34be3337a580d4178b253f7a9e543714c34,1,train
SEQ:2f789763d378d52db64abbf556b41fab71fe574c90d1dbbd6528ec16b3352335,1,train
SEQ:2f84aa8e572667cc3636565e6fdec6c1a0076b292fa73a0c7a53c7cdb5852c08,6,train
SEQ:2f8a913b6b4a98135f15da5d35133a54cad272fd1c029ff6f314e620123fced8,1,train
SEQ:2fabd2592a611157652fe1053e93570c261e864efde46cb2fd848464bb45f0af,2,train
SEQ:2fc93ba8fc7555ad5504ce6666299eb064f32c83f3fb9541bf120a49e620d59c,1,train
SEQ:2fdc94b562d94122b907d10ff61c3ff69134278a3cb10e079d4cb5e55db67e88,3,test
SEQ:2ff549cccf9909307dd4d7150e475a7c5446df3d5059d73824bb38f1c27fab47,1,test
SEQ:30128ffd0262c4bca7736a09a635d27e5c8f9fe6a8d53ebac2a1c4df85daf09e,1,test
SEQ:3012c77a8a12dc43c76e7f18294eb2912f0355b1319be70f172c3d75a904c028,1,train
SEQ:30295c8edc5071e9b5c913167c237bba714d5ead5b258e623e7e7bab3decf90c,3,train
SEQ:302cee0ea5d836a035a435c47963b1f5c713d909486a412fd74929f18d3298d7,2,validation
SEQ:3032044b7fa95d59f81b1ed3936fb7fc0e39fedd655100e07d41219543d5a44f,2,train
SEQ:30326c2220d9e1ae10af82deb915b0251b33cdf56035a050ece15cd2fedfb894,1,train
SEQ:304c356a130b7a7341d6313a83c15b61fcad5980f3375d90f1486ce655122959,2,train
SEQ:3050432b8784dfca170c38859e360568bcd98b5bef9bbce391943fb70ad1c54a,1,train
SEQ:3063d91cfc67829aa80a4740acf79cb3b4515da94442c5e61f335b143ca7f8f7,2,train
SEQ:30641bf0f065f37f9728d7d4f55929ad36e6d82b324db7d52c90728bcff3277c,1,train
SEQ:30683fdc89a524c0b0a383343a3e17ba2c54b4dfe8d5d37b22856a175d97e584,1,train
SEQ:3084fcf25de5f51e6942e7495fb1bfc871a2e7e01dd721cf3ee864909896ee9e,2,train
SEQ:30960d076a21b899791c2163483dd9bcfb7a839c13cd793c14148e914e948582,1,train
SEQ:30ae540d47dc1251315dbbd90ec597d69fddefc1839a5e91832887e41ca3abe9,1,test
SEQ:30b80fc412ae4a00d34b36e76c2805470bff1ac8c20265f97908ef18ec521ca7,1,test
SEQ:30c2bac5ad1433cd5b65328327af5d4b814a1f302130dacd9af93cd167156cfe,1,test
SEQ:30c80b35371894d29c5ede8c464263d8b1c82b8dba0489afb0accdc836839ad3,1,train
SEQ:30cadaca1da719405e4e2db6affdcdbb25a16d8ff45a2872a46f4c115c77fe5c,1,train
SEQ:30cd754dce6beb20268e9da04eac9106846431bd8e91426ae1561b1a2bbc1e8b,1,validation
SEQ:30d4492f6d5545031de5842fc2a65e80952e0f9b00999615d04c535aa5b57aae,1,train
SEQ:30f612a2b222f259462d5eb29bd65b0d8672652a14cbf4e759cd486bb3bbe678,2,train
SEQ:3101cda401cbdad9cbd85d79e55d53c6206c1bfe36ccf015a87e530873442d85,5,train
SEQ:313117431a8c3892766e5d52d4cebab709f6dc830a45dc880f0e913fe80bec0e,1,test
SEQ:3136cc5cb28231272477a2bcc16add022b5fc6d26aa161cedaa8d3271e785d34,1,train
SEQ:314374051a4251883f154b5aa9b4a54ee7ad5d2fa3047b6c8dedf6a65f48abbf,3,train
SEQ:3143e9d991c106a94b1936e4d26d2d865057646de0ddc4540740c69e718b45df,1,validation
SEQ:314be271367e8b3b3a6c8375cf4abc34a3f04f87ec929c4a224584087f1ad514,1,train
SEQ:3156c091cb232f22e201fde507c797ac008d3e04a4494121d62905dde3d16044,1,train
SEQ:316bc02b6e18e8f5249559c225e8d1d7cfda6ccafd21ecc3f6c055d105a8e356,1,train
SEQ:3172049dc0c8d6291cc96555cc2a66a4ee98fb55e0dee27e36b2f1e9adaa605a,1,train
SEQ:319368ffb62953db7071205daba9d323cc88e2068e2bd10101ddf98308075ed8,2,train
SEQ:31b7680527e9f98f28e0dff2a0923c52bf6c51c847f84ff762d72daadf604c96,1,train
SEQ:31bc84a9d7f29972c90711fa9b9e9b50caaf481b5e697ed27a8cfca451e8ced8,1,train
SEQ:31c094b9947c733bcdecfdb3352964cd1d6a61d5461df6cce1c13e4fb54768c1,1,train
SEQ:31d1c12c4007b059f95e49f1b77b579ad0fe5de652f83c05985ff867ec987c22,1,validation
SEQ:31d4d2f5301bb477b0b173ab4a9959776cb9d1398d429b828bf6de5396a44a36,2,train
SEQ:31df09ee54136584c9d22b78c72cb3401adeedaa4ef3491b7618f82c9f676527,3,train
SEQ:31f3d057dcbc2abdd4120b7c760ca6af6ae43dd23ee21bbb6f2b25d42fe0fcc2,10,test
SEQ:32053127f30ecbfd7b21cd36e39f2086ad3392e78a3bc1dc14f4960af1e02da6,1,train
SEQ:32130eadc374cb87371ce572db572513bd5824299014e4d8e8ca45b002e42f49,1,train
SEQ:3220f2917bf7d48a95fbd8fdabaeeb674091f197e13b1a54fe96bb65cc9cf7d3,1,test
SEQ:3247b342680ad88dd23e7e170d92726363d834d0fe6a88447ba17b97f5ee6309,1,train
SEQ:3261dbe9a07b96fbdf914826a70ad0eb20e4d5b79d2a5aef9cc69365601e7972,1,train
SEQ:3262790a0265e5e405350f1bd3d3a6fe797b182fc8baeefb71c3b018ccf84728,3,test
SEQ:327500da1b7d7bb657e4ceba1876217c36bc7aba6bdf676a7a1cc6b01a17ca4d,1,train
SEQ:32836215d14e4d6ee77708e3a21894a37c5b42532c826241d645339c8051bfc2,2,train
SEQ:3286a2a43ff77a224182a309ce03d18e2459fb7b6d86b8f7ed47a8b720896359,1,train
SEQ:32941c68f8149bc9fbc2f400454288be99cd4319c336635f0278f411e880229f,1,train
SEQ:329c99daef884eaf0673e00a50f84e800ca379ceb463558d5e26a91bb0a425b6,1,test
SEQ:32cb8100632cded445d94b088db270f03ad9fd82c6af35a0aee1fced1483bfd2,1,train
SEQ:32dc4f50e0f5579daa0d1922a11bb55535f63c624481f03455d6c6f4309e8684,1,test
SEQ:32e2c6d7cd6e14c644699ae29f0f63d557dc59d5027e915fb78b740236409298,1,test
SEQ:32e9b3ea9b7adf8751c5748c91e03ed76c386d0bf4b3f300427b992ef9dd3f40,1,train
SEQ:32ec703375c0e76182908a4d97397b4a5376a5f32c207247b2d35674e741b213,1,train
SEQ:32f23fc0940d1a7af852095c6cb0e7934875c428ed8ad7cfd5163a84f53c2606,1,train
SEQ:3319ebe8981ba5d20f63432ea4e6f9d4eefd010a56f878dc3e9be2fb4a61374a,1,train
SEQ:33232d703d1a00a6b4f242bc9b177f83e3d4338c544e44009e02bac148aca81e,1,train
SEQ:3327e7ca4675d1dceb2020ac85dd70e28f55a15a00542b6ca518fa04ca20fb61,1,train
SEQ:335308f096756a3df0215872048688705e4c202b3fb4ac426b1d7a2c0ae16340,1,train
SEQ:3354b1ea3fb8ed741d0e13332a83e1dc43afe93cf23bf9854e04bfaa666d1774,1,validation
SEQ:3363f23bfc83e597af6ce588bcdbbb5204b5642e20b1fc529443d7e3a8a843de,1,test
SEQ:33693b303138ed8342c492fd4e8eb7ef52dbb288038c72355590e4c266128662,2,train
SEQ:337ff1ca94c9724ace872091c611e5bd2915db6f5f5967f4e596a0bee4a3695e,1,train
SEQ:338220ba8156cec44f79844a15d640a3e951a8dd8ff05f3d15c9b3868b7065d2,1,train
SEQ:3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1,3,train
SEQ:339fca2061673ddff292b310512fac14c2ccb2bdc8475de0ba986d6e8fa55224,1,train
SEQ:33cbf073762ec253eed67b708241a56a97ab71d063fd586b67e12aef3f836c7d,1,validation
SEQ:33ce6c59e28a7373fce51debe32cec8d891ef691c2e77a0655a74040da25eef9,3,train
SEQ:340a9338edb0878c24c4d49bc8d85c932d6e42bdf9f00ba7cb73f671753d88a6,1,train
SEQ:343971f35109e59b7378077e098dce7840a5840ce7a5ef9ec9641e90bd0f7f30,1,train
SEQ:34402eb60cd282a9a4b57044dbcdb7b943cb8367c3022f839a731431a11bd8d7,1,validation
SEQ:3450ea0300d20c853308ce5eb4abcc9b5d9f3512f838ded60457240c8808b169,1,train
SEQ:34745a84c7f2935ee0fa50ade4058b51883ada7e857e2ba0c4a87c3b93cdaf52,1,train
SEQ:348ed3496300355ed140270647c52b775421d1fef5e7a1cc17517b8f3747485e,2,test
SEQ:3499fe878279e0412a858fc55831be0bacd008a4bf90f374d8207eaa3071ec90,1,train
SEQ:34af8b089d12754183cb33e909d8e1d26d019296cbd5369a4be0382c5230c377,3,train
SEQ:34bdd59af61ffcc99e9f9a3922badcf59b073d62331ecbec893651f11d672420,1,train
SEQ:34bf1a7990186d378cf05069f551f756964ddf282506d83c8bf1d32ada38c9d1,3,train
SEQ:34e0609e8ae14fbae603ca040e37a75cc1c8289f1a66f076be52ee34aa1f69e1,3,train
SEQ:34f933c02be90129f17c4bef6df131f3e44f0b10b156b994314aae67c07f1a10,1,train
SEQ:34ffd0d733956315a3e7f397559509e0e49be81e544bbacc713eaf6834591d45,1,train
SEQ:3501ff1a2c34e139907d0b8726e0ce2d830cfc7304472a862525f3428a6a534c,1,train
SEQ:35076cc4b0f5d4503c0825361ef6af8868e5fc29df2b08823c254e863148028e,2,train
SEQ:351664067c22d7e6a071e811ddb3b5759e91101e0c46d4454fc61ce4bca10fa2,1,train
SEQ:35279c5e87bf6e3c6018ac347b8ed5dcbec613b485ca1f672e27f42d52c7cdbb,1,train
SEQ:352ef2c6a41b88338aa5c91aad65c5767775a1c964a30fb15698581dbf513e58,1,train
SEQ:353de6358498ddba7c7ec4236dc3575a0241d53501b23b6796b56efad27adaae,1,train
SEQ:354110075e42025c4d96afa709c6784e824f7d1a4aef3e193c0689ec3c7ae5d0,1,train
SEQ:3561d44f7434c80417d904a492954d49e4449f4098bce07f347d85500f7051ed,7,train
SEQ:3562134273aa79ce0600e550f3bdbe762275242c946a267f666c7a3da57ca853,1,test
SEQ:357ce03cfd67b6d026f5c7955ec9e7660f332ff0399f68d9ca27b8c1f25cdb2d,1,train
SEQ:358dadc3eb6732620a5d1a51101de0d8e871b01ebcbd05a4d8aae61d9d116a4a,4,train
SEQ:35aa22d6cddd672e9b4f9b5fa746251315e9818b02206c775ff346a856f1a818,3,test
SEQ:35b0da035f65737fa6d3f623daf2d2a2eb42cbd2384248ff053e0c5449f648ca,2,train
SEQ:35c4d4a0b852aa7d62a2f5a6430274f99048c00865ae3d80a11d35728f6371f4,1,train
SEQ:35d9672d82f6d9568b8af25ab5534caa47a1bdda9b27e554ad90f564f969cba4,1,validation
SEQ:35ee38f33b5c34d99dc358949d06ade6d294825fdab18b5b4e8e38f122918272,1,train
SEQ:35eef5040a994d4fdce96a75bed3d8ab716e9f3ccbbea70c11349ad9a6c18e26,1,test
SEQ:35f742ac266c91a8fe7a33b8c4bf5833fbcb3b0cbc7521a453874da78bf9484d,1,train
SEQ:3606e0fe132ce531f97cb3dbca3255615f44166ef54c29118ca2b7ad5155e05e,1,train
SEQ:361cc8b012aa6de2f65360b8bc6bfca36358e433afbb8bedce3653a6151983b0,6,validation
SEQ:364a65f974373b6a00d555f7b6fba788e14e676e4cf607f6d5ac77fb43f4ff3b,1,train
SEQ:3651608a997bc551b8bc551ecda655583e6660becf420a76c20bc2af6a402132,1,train
SEQ:3654c491186ae9d8a1ff3ccfdd2d1fcaa05e4f792654a32899f5896089dc67e8,1,train
SEQ:366784cc84122a70558c9c7a58cf9b683abbf9ab00110cd6a2731f38ab80ffc8,1,train
SEQ:366d81017541308d583dd22a2cc20f052184547b5702b176c67de9ae852260fb,1,validation
SEQ:3685e29a3dd1b6819a500e8d6af815e3bc56cb87ee6bffae392ac3a6e9bc9e4e,1,train
SEQ:36863a0cb546fd50263799496cf291cdc69cc4f98e4d915c320832b67f91690c,2,train
SEQ:369ec29171b6cdc692766d64e716681db8e6f2bb3004c12acc5f79c99bc484a1,6,train
SEQ:36a68c5510827c435b046def3dd5413c4715085cfdc1fdcb4b05a83e805ef3a2,1,train
SEQ:36b4a4a12a876a9edff5531a9cebdfe6ba6a85aaf02719ca3c46a2436ae80198,1,train
SEQ:36d163943c514e6a44cd402dad4fb4d044c9ccc93412ca5a316a497ed0917f7f,1,train
SEQ:36e08a1f8b55c2083b7ce7a0d5cdd089fb7b18dbed9cd2bbac18b057a2ec2e09,1,train
SEQ:36e215d1b0a07e232cc59ccc8976206e908031b0049a9d5593bab129c9007aef,1,train
SEQ:36e5531a80cb359381a10795bc3ed29e5cdee548288ef7991c5f82cd11c31584,1,train
SEQ:3705766b3774d5b91cd0dcb39295365601bc05213122022f48d8760e17cd38bd,1,train
SEQ:37125289988fe8787a639fcb96f874a178f65154ca7583f77c8fb7a49a185807,1,train
SEQ:3717eee95c247835f27a109289d7eefa352234be87970eaa11fd3f09daa2c6eb,1,train
SEQ:371e6f722d52d10b35c94ffe6c2f72ee48e3673f0fa77b2bc8e1b5a551ee4bb9,3,train
SEQ:3746310d41ae0ed1c47e6e0fc00f4fb4977cfd0dad44febbf2397cc980ac7dce,2,train
SEQ:375419bfda7c58a58f06566e9a0461307ea5720b1f12918f617918f652e9668d,2,train
SEQ:37705e827beea0aca4574449f1146bcd58e4ebb76bfd04cb402e4d244602b8ef,2,train
SEQ:37c0a1c58ce226efe843f9dbd8974000e6752957b07b4feb1948be2aa13ba994,1,train
SEQ:37e405aacce2a3f7dce748db4891554b5e5bbedc23dc555869faf6d865e697b3,1,validation
SEQ:37f9b6a3c9e1e7d58a853e3b98dbbbedd7768079f336d349fc59266b2b52c664,3,train
SEQ:38007c86c8964651573614630370c28d12e674fbbfd29ef28f32aad9ff298b37,1,train
SEQ:380a93a7225ab4c73f85ff5b41a21222a316dd12cba2885cfc86521d1e5c890a,3,train
SEQ:380b423248f22f1b3527bc71128634fd55bdc4d4178b61c957d48459adafdd2e,1,train
SEQ:381933b60429d8237a71ff15627f2aca7f1776ffc72257388805497b38c4ab1d,1,train
SEQ:38417ef83a638e372531019a12f8209f4135a7bd39ca73770a7efa633eea9362,1,train
SEQ:38487ca7d8edaaeb7dabcfcae121b9bbdc916a5b8c8d72f4b42220bb21079ba1,1,train
SEQ:3852f9866e87e3924b51a305ffe4dc27c3da80a91303de839968c3fdb540cd4c,1,test
SEQ:3857272f8a0735dacc5f841ed7493306cead70cbe32677a45fa955b7ca4275e5,2,train
SEQ:38719f0157f871fafc97fbfe6b49009107a796e144fffb882ce9c17c720b5824,1,train
SEQ:389370f5f91d9bd05f9847923ac921a378167f21fb0dfb9b61ee4c590b11b454,1,test
SEQ:389ee4889834325a99cfe4242a7647e35326143d5f8f070133b512bd2f6c5822,1,train
SEQ:38a67445dbad37f13585306f84b1adbb22f7a5a212f0c0aaed5511b1961ab27d,1,validation
SEQ:38d1f3c132e27453ae659213aa2b1a4cfd6b0e0431a5d5c7af550df3b2b272f1,1,validation
SEQ:38e03042644ff74e02d291f42bffab6b5eb3b1bf166e359da8e07eb04f5b1504,1,test
SEQ:38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846,1,train
SEQ:39060bb69c4e8f76b5ea4babc2f97724fa4e7d5c79be4dc83ef5cc192a840c31,2,train
SEQ:394475cc5b09e2e0e97717eb7efd8e3a9a9abe5840a270058955914e57651e87,1,train
SEQ:394970786df4e71a1b59606ebf1702b642205a43018b633e987cc838f71e2004,3,train
SEQ:394dfda83fa000639ca6134186dec595c5dd46483e8bd3ba4d1d4c8809bf15c7,1,train
SEQ:3955f9ee05c01899f14750ae560bb0d3e743fbcdd4e5a7353c3f61f97406745f,1,train
SEQ:3956e39c3201823bf2bd8c9135a627a6fce3baa3ef3a6e43a6ebaa4a164d96b5,1,train
SEQ:39589500e17082ac4deba9ec47ccc58d26fae2a7b83c8c3e1173159bac86fb33,1,validation
SEQ:3982b6642a821e6734693ebabf5eef3b6548c4d3c7cca57005f386b392e8713f,1,train
SEQ:3983ea3943466eb389b171dc08567e753dba8e5b9983000a43798fe7a861d89f,1,test
SEQ:399f114d49d742e5e918aba8dabf23ffc18039a053f32f634596c39912f41c9f,1,test
SEQ:39af5c474af0ef9d2acc2bb8ea1c4bc072d5f3570034cfbb6ae0f54c189e266c,3,train
SEQ:39b0d8c15a36d623fb08a72aedcf35ebdd082059773c7cca3cd9d2f46e43b33d,2,train
SEQ:39cd61221c06f8ae582b21f608462d9db2c9a7de8667087fd207afb49033a31c,1,train
SEQ:39d0177cf14e36132595681a3946d8397e3b8ea3de5c040bdc2b819358606854,1,train
SEQ:39f29258c000f88424815f1603840a4f6d799cf23f10b33b2c2704e0db2da22c,2,train
SEQ:39f6cfd10cab55089df8430a0c59512cfbd1b0d9d027ea45d80ef3ade4d63ba8,1,test
SEQ:3a30db52eac79e9b84d14b2168bce5ebef62283f6012fc2a490da3bcc3036c21,1,train
SEQ:3a59abed5ecc409100870d1be3d9c82bed9cb1cc411ca91c1e7c3f767010db95,1,test
SEQ:3a66d7df82471181400477b2b51c49d4a147514ac8229e72346336537c4a4a4b,1,train
SEQ:3a907161380a3873709de6342dec9a9f21704b79ca62369479ec8a3fc313a2d8,1,test
SEQ:3a97736aa23f43595d728eea85e0c2c109e5daeba2eb1d03f479f28064bef28f,1,validation
SEQ:3ac5f4d2220a6ea7ad1f4e1c239d4647fdfa0933104f23c67a5331e952653077,1,train
SEQ:3add9f2e965ee69d839b4664e7e0c3a26e92d5b49f5f5e35df9b0a732de20ce5,1,train
SEQ:3aed23822cfa7377a932820d8d66c1a611d584639f3d4625667859762bd286c4,1,train
SEQ:3af2f41889529facc1ff3a93cdf8a2208404eabba97ed00a5aee87640777e090,3,train
SEQ:3b451726aa88d0701436eccfc06e3c204ee2ed36abb7fcc0bcb1e97a65344514,1,train
SEQ:3b9442a150433d2436f01d1163111cda8db7eabe3917a489e6183a9a68001f8b,1,test
SEQ:3bbc671767ff8d3f1b2ea52acfefa255676f7eca2415bc9a89a8c045e5dfa013,2,validation
SEQ:3bc3d3786eab10afd1f820d12ab1555f43d6a1753fb56107c29aaf51a1bcf833,2,train
SEQ:3bc63f46a5d1db02df0bebd67631aaa4b41a4e83ebd6e90ae5d722bb1fc0dce7,1,train
SEQ:3bcf893bbd5bfc4d1a7e00fb90cb47ffe43ea31f8e4f81c02ce5da2791adfebd,1,test
SEQ:3c032d1e422af3ae6503980c14690b72ceef3c20da1b891cc96baea7fc098c11,1,train
SEQ:3c034726488da0d983ef74707427fe347f18653c3a81156061d192a6179ac130,1,test
SEQ:3c0bc90f53d325b73feaedcf40d9b140755a5299c0e7007a83eb57200c3eb6cf,1,train
SEQ:3c3424561cc96870505d97b93354929d17105c958be468dec75d3348bdd350e2,1,train
SEQ:3c5e4f9322f6958a64497f6684789b4be003eddbb3e9c4ee66d3c2e43d25c028,1,train
SEQ:3c725c548cdc9067d3ec0ce2a02a9a62e5ed01722e72435c3f65f5f402239d84,6,train
SEQ:3c7a72220ae8d882f9e2a526fe105dfc0580327442313c900ac6079bf98248d5,1,test
SEQ:3c818ee2c080f534eaf3cb422f25c94f2f49241f958d47673d7c8575ec18a73e,1,validation
SEQ:3c8bbda540f760b4c8b9a90eb67a5765d0f7341241cef2aea2ed0ede5ab15422,2,train
SEQ:3ca88f204a4c12657e81ee8531764a3312701f289911b9d44f83a8b9ecdeb476,1,train
SEQ:3cde73e710d2e2558ffcf43744dbdada12131e50ab00e085f3341aad993cf17d,1,train
SEQ:3ce02fa04aa52641ac2283b9ab513c68482686c1ef8fac0f7c66b27000dad43d,1,train
SEQ:3cf6a548d8a2e51819307a416f690c2339b79f6c6a0e4f2211d26d5b837f1aab,1,train
SEQ:3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,1,validation
SEQ:3cfafe0d9e354e92baa56866a71dd8eab6084a75521e1cf03fc6d7bf89e2621c,1,train
SEQ:3d0824a49029e3b3e87c1e98a07c9ce0cf1e12003d3604611f4f7f43e29b9e91,1,train
SEQ:3d0b4998b21a65a812fb235527db997657c5d76141bf25f1219f91f272bc2655,1,train
SEQ:3d2bf1734b644e2c3c3df012ac8d6dd5f9646b8083f5364c3497c812e958aad7,1,train
SEQ:3d47591bf44454ff1b48b00da09c0f26a77570dd4a92c55759b33fe809988ba4,1,train
SEQ:3d5e8f2da03741c23b228650840e624d817719e8cb796c9585b7397eae85ca19,1,train
SEQ:3d64f6b2108bdd70c1e94692bf265d0a03792addb4ce239ac0f13af6fded5be3,2,train
SEQ:3d78b529564049942a46731e03862bf28382352a405a000c794b7092e6605649,1,train
SEQ:3d95a8b5ec80668b45320dce3e008c57dfbb760f92912ac00e49f5c55f22c7be,1,test
SEQ:3d9ebba1b618d6dbba62f758d2b28a664d4863b86710db87a15137b5fd6585f3,1,train
SEQ:3da4b83c732d5ce27a5e97c89982fa37f841ae8fe9dae1ce33913350e25652c6,1,train
SEQ:3dca755a0e8feeb6964b19f68d2c263ddba42070eb05bb66f16c4545a1459309,1,test
SEQ:3de7d0a3ad82c90ebe658098fd5e8270fcb6739a944fab05616219a9e62bc828,1,test
SEQ:3df3210ce3a6815068d4ab0a3da0379bfca951e31d3ec919c521655cd909d9ee,1,train
SEQ:3e041488b0d796386f895bc7e3b62ee3f891c9a464f089d5503d2e6465515f7a,1,train
SEQ:3e069b5117dab033c768eef4c0cb6b56a65350f7ffd5164bb144149b2c24c85f,1,train
SEQ:3e071c9bb561efae5d8ba71cf23db36b9defa0a68f6095c6f42919e8436b63c3,1,train
SEQ:3e106d5b69b639c7b4f421156675b42b5cc9093b574083b9f80dd2c3a35cd1e0,1,test
SEQ:3e12dee9f2e5002005e6b3d51335af98901a44cd58ec7dc348711ca917cf2278,1,train
SEQ:3e1a6a5c8e1bd322e8f31126d540fb87fa5e607a8254e45c67c5782297dcc0f4,5,test
SEQ:3e259e8d002f3177bdf6480863642348db6bf11e92a69c2526d030efc5cf4ecf,1,train
SEQ:3e37afe443532c3d9ff4c24f9848a975ff2925d0bdc9938de8eea9592d63caea,3,train
SEQ:3e45a2a48f62f017062986afb923dfee040a8f8b7bc5c6187a8bebf3609a8b28,1,train
SEQ:3e47834d60d364507fbc198d6ad2e889e466bf1aad1c362ceb8b8ea590f033af,2,validation
SEQ:3e534c2af9e7fc7d07d33114592fafe9dbb52639cddfaa2141f987eaa181a4de,3,train
SEQ:3e55a8886d3123341ae8d94472ff288ce0a984a3363ffa75fee6e9dfa6082ec1,1,train
SEQ:3e63d306265781bbc1e001372f1a6e7c77338903be925c3d5e83a4f8c29dcee5,1,train
SEQ:3e70b0b7ca5f603073f0787ebf6196ed2ed3f9fd0a1e9f8d92c3f1367cb094eb,2,train
SEQ:3e723e9b939c852d117a2a4862213f89c492ff4b6056a25176e677a8fd066a27,1,train
SEQ:3e7505c24a15c6a50c431079fe83a078ba2146030c65dbc7e5741ab7417edd69,1,train
SEQ:3e8a61796cce2483cfbd7d4f6db9426542c9a0d89ad1cbf39d3db0bbab2f1025,1,train
SEQ:3ea0a339b632fc1eecb7be61df99b7842b294522b4418c4cbbeec700d9e3873f,1,train
SEQ:3ea82321e141404627cd9f0c16ac54ba1a6d5ba754330371fd08d6319527d0a2,1,validation
SEQ:3ebd3c4ebac76a58be7fab2cbb6edeb00a58525142a2e7d74c14197f789e62da,1,train
SEQ:3eea137da930d96e7e51d6f68a027b9ced8d98c4baf44a6e450220fc83c678d0,3,train
SEQ:3ef603450b3443d16f5770cfb1c92b33a4c00cb1b840cb343b42173f130f497c,1,train
SEQ:3f02d1069dd454f464710c51fdb466fee0477c628bfb5c4b58c133c2ff79bc42,1,train
SEQ:3f10738e9bfcb2b5520d2a59aba6a881e23a033eddb1abc06edce7ce9a4a768a,1,train
SEQ:3f1982abbabd6bc1994a08e0bbf2767eba261465e37a93a253c6baf96edb53f4,1,train
SEQ:3f20c11685a86dff6e99cdf752c94239d954c7e3d9aa9d2ec2498a84e2740fdd,4,train
SEQ:3f467fa3c92accdf4e051a4181e053cc21f43cb0e85be25664900c093d4c5c6a,1,test
SEQ:3f4e92693f44ad0a85ecc8837de3c19e19d0b016438a4f4d3b8fc00f8ee884cc,1,validation
SEQ:3f536bf8d9a0d26399b1b95ed86e80aa89933eae3643f266d0eb8b65c5575c1e,3,train
SEQ:3f6f6c4d03d3d1999e8e913e3e6b5f6ebd95474fc996f44baa1eec92dd954994,1,train
SEQ:3fa0f2fc8c5395c93141b3c1870f877958a9c3128714567c02f81c25cbb569bf,1,train
SEQ:3fa18eb54ec40d14ffe757d4ea5610d82f444e748a118bb4bb5410eecc967a9c,1,train
SEQ:3fba3ca0063339692011cb894dd27b0bde39382f6f5b09ba0400065de54f3826,1,train
SEQ:3fe1e32882d1e06ea193fca462e16124dca15ac6ed30eda7441a54355ca736db,1,train
SEQ:3fe218549c0d053a538065be111a7d0da2416f5b21ef8cfbe4ac640a4d272c55,1,validation
SEQ:3fe39bb36cbfa20c45c7bb57b8817fe2b4683b9032730d73eeb7b35d469d8b30,1,train
SEQ:3ffc80d90700ad208b4bf95138ea1f0ad3d5c21572176a01dcee0fd0a94a14b1,1,train
