target_id,target_name,organism,target_type,component_id,uniprot_id,gene,protein_length,protein_sha256,small_molecule_moa,chembl_gpcr,ot_class_contains_gpcr,is_gpcr,assay_lane,evidence_class,af_exact_sequence_model,structure_ready_strict,legacy_384_member,local_exact_af_file_exists
CHEMBL2148,Tyrosine-protein kinase JAK3,Homo sapiens,SINGLE PROTEIN,490,P52333,JAK3,1124,18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,SINGLE PROTEIN,168,P09917,ALOX5,674,48dadd9917c0a709ac9463f4394ce35885b7791bd3cbd6398c60f27e34d6eab6,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2157,Interleukin-8,Homo sapiens,SINGLE PROTEIN,499,P10145,CXCL8,99,5bf71a3f94a1fbf95b03cc89afcf2c71c866f23917cba1a3b8f668321cca098c,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2176771,Complement factor D,Homo sapiens,SINGLE PROTEIN,6985,P00746,CFD,253,89b6935d8d5a99809a7ad4248ac8f8a498ab29e6b864ea77eb4d272755a2fd90,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2176839,Toll-like receptor 5,Homo sapiens,SINGLE PROTEIN,7053,O60602,TLR5,858,3955f9ee05c01899f14750ae560bb0d3e743fbcdd4e5a7353c3f61f97406745f,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2176846,Advanced glycosylation end product-specific receptor,Homo sapiens,SINGLE PROTEIN,7060,Q15109,AGER,404,a5ae49bcb2a382f186994f88e53ecf0e3e4f5475b709bd38238868f984ccc81e,True,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,SM_MOA_NON_GPCR,True,False,False,True
CHEMBL2176855,C-type lectin domain family 4 member C,Homo sapiens,SINGLE PROTEIN,7069,Q8WTT0,CLEC4C,213,66a94b559a2d79b38d769adf8c9782eee6b5ba161bd5a989b5ba876716cae6f4,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2179,Lysosomal acid glucosylceramidase,Homo sapiens,SINGLE PROTEIN,520,P04062,GBA1,536,38e97d50880fc5ed6f0b961be3eff31062d9e7c8ddaa271c5384bb59ca0ce846,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2185,Aurora kinase B,Homo sapiens,SINGLE PROTEIN,526,Q96GD4,AURKB,344,0f99982b545e61cc6fa4ca70be1e2f0f503d3e26f44fdb3067dd3c6905bb2788,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2189110,Histone-lysine N-methyltransferase EZH2,Homo sapiens,SINGLE PROTEIN,7079,Q15910,EZH2,746,4c4d28512cf712104d0b7374cb68ae9d3cf5d4f5d7e81c617fb0ad49332165f7,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2189121,GTPase KRas,Homo sapiens,SINGLE PROTEIN,7090,P01116,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL220,Acetylcholinesterase,Homo sapiens,SINGLE PROTEIN,357,P22303,ACHE,614,b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2208,MAP kinase-activated protein kinase 2,Homo sapiens,SINGLE PROTEIN,549,P49137,MAPKAPK2,400,df15bebcbad0a9711a70ad11c6497f18e8780c41854a77dfe793b0be9164d90c,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL221,Prostaglandin G/H synthase 1,Homo sapiens,SINGLE PROTEIN,162,P23219,PTGS1,599,267b33979bfb5ca263d131678bce8f2d9d962079ce118d4b59fc0d4af11f9364,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL2216739,"Carnitine O-palmitoyltransferase 1, muscle isoform",Homo sapiens,SINGLE PROTEIN,7134,Q92523,CPT1B,772,a93d8265b260ba945a147042f68980aeec2ea04e8b4588fbcc912da3ec27dc1e,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL222,Sodium-dependent noradrenaline transporter,Homo sapiens,SINGLE PROTEIN,436,P23975,SLC6A2,617,7f69aba6b465001d13b7bd7589de4d14647de313773b2cdfa0446b095330ee08,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2243,Fatty-acid amide hydrolase 1,Homo sapiens,SINGLE PROTEIN,584,O00519,FAAH,579,230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2252,Dipeptidyl peptidase 1,Homo sapiens,SINGLE PROTEIN,593,P53634,CTSC,463,11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2273,Caspase-9,Homo sapiens,SINGLE PROTEIN,614,P55211,CASP9,416,4abebcd6fb389b5c4032e147846f854685da6000c7028e0622e8a1612a03006c,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,False,True
CHEMBL2276,Mitogen-activated protein kinase 8,Homo sapiens,SINGLE PROTEIN,617,P45983,MAPK8,427,e21eccad4aa906413ff8b7fcb1a5b107b313731e4054371ff21c72b73ba7ed6f,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL228,Sodium-dependent serotonin transporter,Homo sapiens,SINGLE PROTEIN,226,P31645,SLC6A4,630,08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2285,A disintegrin and metalloproteinase with thrombospondin motifs 5,Homo sapiens,SINGLE PROTEIN,626,Q9UNA0,ADAMTS5,930,c7f982aa0afa168f06fb22ba0d66abd196aa829ba1086730aeea6a759cb9c485,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Homo sapiens,SINGLE PROTEIN,633,Q13627,DYRK1A,763,ca8783b8053e1373c8358af24d59933449f4a63bbae1a5f44f9b3c81490c6c7f,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL230,Prostaglandin G/H synthase 2,Homo sapiens,SINGLE PROTEIN,148,P35354,PTGS2,604,e68aee34450b6e76702b13eaa365d21b896beea374590ad39bfdd7e8d6c145a8,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2311236,High mobility group protein B1,Homo sapiens,SINGLE PROTEIN,7222,P09429,HMGB1,215,665631247a60f67442cdeb06062c767eda520eaca2f8369894710e5720d86093,False,False,False,False,NONCANONICAL_REVIEW,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2321613,Potassium channel subfamily K member 3,Homo sapiens,SINGLE PROTEIN,7234,O14649,KCNK3,394,7960e9cf1aca3a128f8499714b480e1bfa7940bba066f62f5e848bf0671233b0,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2321614,Potassium channel subfamily K member 9,Homo sapiens,SINGLE PROTEIN,7235,Q9NPC2,KCNK9,374,450f49966564e0d2c6fd76f6e8ff87cdea199af3f851173d6695a04424f3f627,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2321615,Potassium channel subfamily K member 2,Homo sapiens,SINGLE PROTEIN,7236,O95069,KCNK2,426,438dc726c30d0ff5ba1dfed88531d0758ecfa43be6730b09dce8957af6ef8e39,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2326,Carbonic anhydrase 7,Homo sapiens,SINGLE PROTEIN,667,P43166,CA7,264,e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2331041,Potassium channel subfamily K member 10,Homo sapiens,SINGLE PROTEIN,7275,P57789,KCNK10,538,87932b006a468d0082ca6d023f78fb2ddccafe498ce651b71fcda079d3627856,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2331042,Potassium channel subfamily K member 18,Homo sapiens,SINGLE PROTEIN,7274,Q7Z418,KCNK18,384,f361d925fefd6f05b6b6744b27baa67387e3d878959303ad383b7ea97baa85e4,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2331059,Delta(24)-sterol reductase,Homo sapiens,SINGLE PROTEIN,7291,Q15392,DHCR24,516,ffa75f4fe09bf9ffc4f5b5d5b32a54d9d240a77390218f19626c6e2fe8f1d4d2,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2331065,Alpha-ketoglutarate-dependent dioxygenase FTO,Homo sapiens,SINGLE PROTEIN,7297,Q9C0B1,FTO,505,022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2337,Sodium- and chloride-dependent glycine transporter 1,Homo sapiens,SINGLE PROTEIN,678,P48067,SLC6A9,706,c942a402c587890f8ae3ac39a033212f5b4b109d0b4b26170e7294dbac3b5553,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2346492,A disintegrin and metalloproteinase with thrombospondin motifs 13,Homo sapiens,SINGLE PROTEIN,7313,Q76LX8,ADAMTS13,1427,20d8937a8f2450b612ad8a1c68c7ea02159f8d228ec3804a4e0c0cfc867e8563,False,False,False,False,ENZYME_BIOCHEMICAL,OT_DIRECT_EXTENSION_NON_GPCR,True,True,False,True
CHEMBL235,Peroxisome proliferator-activated receptor gamma,Homo sapiens,SINGLE PROTEIN,241,P37231,PPARG,505,1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2362986,Phospholipid-transporting ATPase ABCA1,Homo sapiens,SINGLE PROTEIN,7332,O95477,ABCA1,2261,3136cc5cb28231272477a2bcc16add022b5fc6d26aa161cedaa8d3271e785d34,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2362990,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Homo sapiens,SINGLE PROTEIN,7336,P31327,CPS1,1500,66622a82f290497bf9ea701076a942aa9e037bad7e6e5146f97a7133dfd22940,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2362992,Amidophosphoribosyltransferase,Homo sapiens,SINGLE PROTEIN,7338,Q06203,PPAT,517,3f1bec36bceb5715ffcf8f871856c6ac5f06cd9db768dc5b9564357343e04616,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL2364155,Interleukin-6 receptor subunit alpha,Homo sapiens,SINGLE PROTEIN,7798,P08887,IL6R,468,0a6dd3532fb428ec0831e37a6623d71c25d45e753afe87bd4ac9721c9abfbf32,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364156,T-lymphocyte activation antigen CD86,Homo sapiens,SINGLE PROTEIN,7799,P42081,CD86,329,c77548b43927c4f8af0c1b6837a637ec340b920cbcd1c1d902c0d75262e319d0,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364157,T-lymphocyte activation antigen CD80,Homo sapiens,SINGLE PROTEIN,7800,P33681,CD80,288,a0a87cc578bb7670c00078c3717a006703ccde31f6a8efe1a3371dc81c7a19a9,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364158,Tumor necrosis factor ligand superfamily member 13B,Homo sapiens,SINGLE PROTEIN,7801,Q9Y275,TNFSF13B,285,b15dd89e15a78e42bbad5eb4d351833cac3afe5c5a5dc8de65522eb8235ca878,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364159,Synaptosomal-associated protein 25,Homo sapiens,SINGLE PROTEIN,7802,P60880,SNAP25,206,91a6e9a883600e47c7dc751635104ce2810e0a55cc45f218d2dca06fc0027f47,False,False,False,False,NONCANONICAL_REVIEW,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364160,Vesicle-associated membrane protein 2,Homo sapiens,SINGLE PROTEIN,7803,P63027,VAMP2,116,109524acc3b740756240138b4d786a05131a77914585ef4a6937d5a880c6c1e1,False,False,False,False,ION_CHANNEL_FUNCTIONAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364161,Tumor necrosis factor receptor superfamily member 8,Homo sapiens,SINGLE PROTEIN,7804,P28908,TNFRSF8,595,9a61bc3ff7833fc4874fd53fce48683d782bd50295d5d6540448c418af0cf4f1,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364162,Tumor necrosis factor ligand superfamily member 11,Homo sapiens,SINGLE PROTEIN,7805,O14788,TNFSF11,317,cecd15bac55731c8fd5c418e45d1939f0f08ccc4a5ae46bcbe8aa9b1876c6b1e,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2364163,Complement C5,Homo sapiens,SINGLE PROTEIN,7806,P01031,C5,1676,527e783f715430be06def9c928837ba1f9f074ac16b9417e47fe8fcf25dcd127,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,True,False,True
CHEMBL2364164,Cytotoxic T-lymphocyte protein 4,Homo sapiens,SINGLE PROTEIN,7807,P16410,CTLA4,223,0bf1f3a7b18a8a95d11f0f139917ecd97ad681a0e03704abbc83058db79d0fff,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL238,Sodium-dependent dopamine transporter,Homo sapiens,SINGLE PROTEIN,346,Q01959,SLC6A3,620,b94221f783eb87845713fd033590015677926a71ee9010789aeb11e63c50cbd0,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2384897,Monocyte differentiation antigen CD14,Homo sapiens,SINGLE PROTEIN,8156,P08571,CD14,375,fda1f9067d25694b653751bb70dac02b6599238f10d69ab7e5848580bcff073e,True,False,False,False,EXTRACELLULAR_SPECIAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL239,Peroxisome proliferator-activated receptor alpha,Homo sapiens,SINGLE PROTEIN,245,Q07869,PPARA,468,764ef6f778faca895ff91fffd4fa52f9d65cec8f985aed444769b03068e81c4b,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,SINGLE PROTEIN,295,Q12809,KCNH2,1159,287332153da38b59cc1be9554cc3a29f14d3b9e2a33150b4d54137773b22d1f7,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2409,Bifunctional epoxide hydrolase 2,Homo sapiens,SINGLE PROTEIN,750,P34913,EPHX2,555,1c9241b56a619d629499ed1269bc3662f154bd72a3a25f047061c832e374af14,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL241,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Homo sapiens,SINGLE PROTEIN,379,Q14432,PDE3A,1141,5cc627f3bab4b5d0006257cb64797e8ae1bffa09b4726998f79b8e504c56e301,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL242,Estrogen receptor beta,Homo sapiens,SINGLE PROTEIN,317,Q92731,ESR2,530,7f3d679eff5a0b39202fe2696e4b76106c26dd5b3df9d615e208dbdf4bc35724,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2431,RAC-beta serine/threonine-protein kinase,Homo sapiens,SINGLE PROTEIN,772,P31751,AKT2,481,31df09ee54136584c9d22b78c72cb3401adeedaa4ef3491b7618f82c9f676527,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2435,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,Homo sapiens,SINGLE PROTEIN,776,P62714,PPP2CB,309,2c059b5d887c76e8b9c0a49db785f10d0f81564a5167f42ec47ddc8ea3026781,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2439,Myeloperoxidase,Homo sapiens,SINGLE PROTEIN,780,P05164,MPO,745,60676beee4960e060cc78a55a5410118d39b40fbd63e1c600b9498427d1c4eb0,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN,348,P00742,F10,488,ea032885773058ac2c1adb9e98b95aa360b089ec83a35113d9152151e5f5e995,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2476,Potassium voltage-gated channel subfamily KQT member 2,Homo sapiens,SINGLE PROTEIN,817,O43526,KCNQ2,872,a3002bf1c1ab1c7b8d77ea7745647f5608ecbf067ed3fa8b7bc7cda007846d13,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL248,Neutrophil elastase,Homo sapiens,SINGLE PROTEIN,366,P08246,ELANE,267,d6b94d57bf52bc0af4eb1f2866d0175f26a7bd411b9720c512e1b7d133843602,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2487,Amyloid-beta precursor protein,Homo sapiens,SINGLE PROTEIN,828,P05067,APP,770,0f79dd8c1ea278edbe797ca3ccb235de12e8d482492499a37a977a0692d3e49b,True,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL2492,Neuronal acetylcholine receptor subunit alpha-7,Homo sapiens,SINGLE PROTEIN,833,P36544,CHRNA7,502,3d3fd12195f3efe1864680cfd15e17e255a74320c5605f79da077747b27e84c2,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2508,Cyclin-dependent kinase 6,Homo sapiens,SINGLE PROTEIN,847,Q00534,CDK6,326,051fc4732e4921492421cda1544c298561f4d5e41751c6e73886e38ed9280207,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2524,Alpha-galactosidase A,Homo sapiens,SINGLE PROTEIN,863,P06280,GLA,429,a3757f6fbdeed39e8596df6cc5a20fd246063146afc4cbe937193a64fcc3e99e,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2527,Serine/threonine-protein kinase Chk2,Homo sapiens,SINGLE PROTEIN,866,O96017,CHEK2,543,e81f5dcd44302c3c277b4599449c71b5f2a7b3eb761bc2c584db236d9fbb8632,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2534,3-phosphoinositide-dependent protein kinase 1,Homo sapiens,SINGLE PROTEIN,873,O15530,PDPK1,556,7a35c5b4006d9a7e80fc848a1691b4033874f87f578229f3fc6a0f98635b384b,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL258,Tyrosine-protein kinase Lck,Homo sapiens,SINGLE PROTEIN,382,P06239,LCK,509,01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2599,Tyrosine-protein kinase SYK,Homo sapiens,SINGLE PROTEIN,934,P43405,SYK,635,52dacce1ddca9fd8fb4569f19a8d82ad0456ba36260370784d604d66e8b697b2,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL260,Mitogen-activated protein kinase 14,Homo sapiens,SINGLE PROTEIN,2937,Q16539,MAPK14,360,539a4d890afc072187b18b4a970c82df0c180f5a8e93ab2442dbfe99c0aec049,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2608,Lysosomal alpha-glucosidase,Homo sapiens,SINGLE PROTEIN,943,P10253,GAA,952,70dda9e7bae131bb456a3b38859dd051dafc31855b16c33df9289fc7c396099b,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL261,Carbonic anhydrase 1,Homo sapiens,SINGLE PROTEIN,702,P00915,CA1,261,5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL262,Glycogen synthase kinase-3 beta,Homo sapiens,SINGLE PROTEIN,3114,P49841,GSK3B,420,2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2633,Prostatic acid phosphatase,Homo sapiens,SINGLE PROTEIN,4998,P15309,ACP3,386,3c034726488da0d983ef74707427fe347f18653c3a81156061d192a6179ac130,False,False,False,False,ENZYME_BIOCHEMICAL,OT_DIRECT_EXTENSION_NON_GPCR,True,True,False,True
CHEMBL2637,Mitogen-activated protein kinase 10,Homo sapiens,SINGLE PROTEIN,973,P53779,MAPK10,464,808152c23dd7903f79cd211e69be307502872a8319329ebfdb49ad3c6d25ad55,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens,SINGLE PROTEIN,345,P12931,SRC,536,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL268,Cathepsin K,Homo sapiens,SINGLE PROTEIN,1387,P43235,CTSK,329,13aade37cfa34320dabd0a767557abf7f24021728a2bdf4e9e605a99b86a70b2,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2689,Macrophage-stimulating protein receptor,Homo sapiens,SINGLE PROTEIN,1025,Q04912,MST1R,1400,223384aa416b5e9b85eba0bd82b798c35b38f8ae4325c35ff46c78dbac5325ed,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2695,Focal adhesion kinase 1,Homo sapiens,SINGLE PROTEIN,1031,Q05397,PTK2,1052,673a5ff1e9eb71e9f4ce597ab556006ebebba414fa71bbe2287e813bbd3ddf7e,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2706,Receptor-type tyrosine-protein phosphatase beta,Homo sapiens,SINGLE PROTEIN,1042,P23467,PTPRB,1997,d21db1e4df818384f2c9357ac27257fff3f091e740b2823da319c1b572a51e39,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL2708,Mitogen-activated protein kinase kinase kinase 11,Homo sapiens,SINGLE PROTEIN,1044,Q16584,MAP3K11,847,1a32a0b33ebb4ddda7dfecb87ed99595da3dfc7c10e80c7fbc1ad3777f3990c3,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL2722,"Cytochrome P450 11B2, mitochondrial",Homo sapiens,SINGLE PROTEIN,1058,P19099,CYP11B2,503,223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2742,Fibroblast growth factor receptor 3,Homo sapiens,SINGLE PROTEIN,1078,P22607,FGFR3,806,9c4089da85ef3c06dde2c14def7afc4a2e1452947ca9abf34025f90a101db770,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2754,T-cell surface glycoprotein CD4,Homo sapiens,SINGLE PROTEIN,3993,P01730,CD4,458,b598cecf65abf705dba5812286f09dfd6921c638b3f0c7cbee5a156df090db63,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL2755,"Glutathione reductase, mitochondrial",Homo sapiens,SINGLE PROTEIN,1088,P00390,GSR,522,814d7e6114e40802ecf4cea971d5d98de724ce7451f094ffdee525c1371e301c,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL2778,Ileal sodium/bile acid cotransporter,Homo sapiens,SINGLE PROTEIN,1111,Q12908,SLC10A2,348,314374051a4251883f154b5aa9b4a54ee7ad5d2fa3047b6c8dedf6a65f48abbf,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL278,Integrin alpha-4,Homo sapiens,SINGLE PROTEIN,21,P13612,ITGA4,1032,1f0a5a2544b02a305ead1c891b2b8cd0ed571e0d110175d833be071d086e6560,True,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL2782,Sterol O-acyltransferase 1,Homo sapiens,SINGLE PROTEIN,1115,P35610,SOAT1,550,5e20157298f92ee27a802e24a197e856d15db127bc8ac7d4660b4407ebe43b0e,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
