candidate_rank,project_full_inchikey,target_chembl_id,drug_name,gene_symbol,molecule_chembl_id,modeled_chembl_preferred_entity,chembl_standard_inchikey,project_vs_chembl_full_inchikey_status,source_label_vs_chembl_preferred_name_class,identity_execution_status,prodrug,pubchem_cid,pubchem_identity_status,pubchem_vendor_record_status,preassay_chemistry_flags,experimental_handling_risk_tier,risk_tier_reasons,chembl_known_mechanism_count,chembl_known_mechanisms,execution_wave,target_assay_class,primary_assay_route,orthogonal_confirmation_route,required_counterassays,active_species_requirement,execution_authorization,success_gate,deployment_branch,target_lane_evidence_status,known_target_component_count,target_family_relation,top10_view_count_of_8,top20_view_count_of_8,supportive_ge80pct_view_count_of_8,target_centered_supportive_count_of_4,drug_centered_supportive_count_of_4,minimum_directional_percentile,maximum_directional_percentile,directional_percentile_range,rank_discordance_flag,selection_bias_status,rank_rule,boltz_primary_completed,boltz_affinity_probability_binary,boltz_support_count_3seed,physical_metadata_consistency_flag,boltz_rank_within_selectively_computed_target_subset,boltz_target_subset_denominator,gnina_primary_completed,gnina_primary_cnn_affinity,gnina_cnn_rank_within_selectively_computed_target_subset,gnina_target_subset_denominator,receptor_ensemble_decision,comparison_bias,independent_exact_pair_validation_status,internal_selection_overlap,portfolio_decision_state,orthogonal_priority_reason,claim_boundary
21,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CHEMBL5366,ketoconazole,PARP2,CHEMBL295698,LEVOKETOCONAZOLE,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,EXACT_FULL_INCHIKEY_MATCH,DISTINCT_NAMED_STEREOENTITY_LABEL_MISMATCH,ENTITY_NAME_ADJUDICATION_HOLD_MODELED_ENTITY_IS_LEVOKETOCONAZOLE,0,47576,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,PAINS_ALERT,R3_HIGH_SPECIAL_HANDLING,SOURCE_LABEL_ENTITY_NAME_MISMATCH,4,Cytochrome P450 11B1 inhibitor | Cytochrome P450 11A1 inhibitor | Cytochrome P450 11B2 inhibitor | Cytochrome P450 17A1 inhibitor,W2_CONTINGENT_ONLY,PARP,DNA-dependent PARP2 NAD+/PARylation assay,direct binding/engagement or cellular PAR orthogonal readout,"PARP1, DNA dependence, NAD competition, optical and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED|ENTITY_NAME_ADJUDICATION_HOLD,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,4,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,1,4,4,2,2,0.1001390820584144,0.952712100139082,0.8525730180806675,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,False,,3.0,MULTISEED_SUPPORT_METADATA_WITHOUT_MAIN_RESULT_DO_NOT_IMPUTE,,5,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED|ENTITY_NAME_ADJUDICATION_HOLD,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION|MISSING_MAIN_PHYSICAL_RESULT_DO_NOT_IMPUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
22,AURFZBICLPNKBZ-SYBPFIFISA-N,CHEMBL2034,brexanolone,NR3C1,CHEMBL207538,BREXANOLONE,AURFZBICLPNKBZ-SYBPFIFISA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,92786,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,LOW_SOLUBILITY_HEURISTIC,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,GABA-A receptor; anion channel positive allosteric modulator,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR3C1 coregulator-recruitment concentration response,direct NR3C1 binding or cellular GR target engagement,"known receptor pharmacology, reporter interference, mock and viability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,16,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,5,5,5,2,3,0.0347705146036161,0.9973890339425588,0.9626185193389426,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7270166873931885,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,6.0,141,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
23,COUYJEVMBVSIHV-SFHVURJKSA-N,CHEMBL2431,olodaterol,AKT2,CHEMBL605846,OLODATEROL,COUYJEVMBVSIHV-SFHVURJKSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,11504295,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R1_STANDARD,NO_PREDECLARED_R3_OR_R2_FLAG,0,NO_CHEMBL37_DRUG_MECHANISM_ROW,W2_CONTINGENT_ONLY,KINASE,AKT2 biochemical kinase assay at ATP near Km,NanoBRET/CETSA/direct binding with phospho-substrate readout,"AKT1/3, known drug targets, ATP shift, kinase panel and cytotoxicity",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,1,4,4,2,2,0.5169712793733682,0.958005249343832,0.4410339699704638,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.8495417237281799,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,3.0,105,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
24,ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,CHEMBL288,vamorolone,PDE4D,CHEMBL2348780,VAMOROLONE,ZYTXTXAMMDTYDQ-DGEXFFLYSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,3035000,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|ENONE_ELECTROPHILE_CONTROL,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,2,Mineralocorticoid receptor antagonist | Glucocorticoid receptor agonist,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,PDE4D cAMP-hydrolysis concentration response,LC-MS/coupled orthogonal product assay or direct binding,"PDE4A/B/C, coupling-enzyme, fluorescence, aggregation and substrate controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,2,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,2,4,4,2,2,0.0876216968011126,0.9860917941585536,0.8984700973574409,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.806315004825592,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,2.0,76,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
25,HKDLNTKNLJPAIY-WKWWZUSTSA-N,CHEMBL288,ulipristal,PDE4D,CHEMBL2103846,ULIPRISTAL,HKDLNTKNLJPAIY-WKWWZUSTSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,13559281,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,PAINS_ALERT|ENONE_ELECTROPHILE_CONTROL,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Progesterone receptor modulator,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,PDE4D cAMP-hydrolysis concentration response,LC-MS/coupled orthogonal product assay or direct binding,"PDE4A/B/C, coupling-enzyme, fluorescence, aggregation and substrate controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,4,6,6,3,3,0.1981919332406119,0.9833101529902644,0.7851182197496522,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7245503664016724,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,19.0,76,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
26,VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL2023,pitavastatin,COMT,CHEMBL1201753,PITAVASTATIN,VGYFMXBACGZSIL-MCBHFWOFSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5282452,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R1_STANDARD,NO_PREDECLARED_R3_OR_R2_FLAG,0,NO_CHEMBL37_DRUG_MECHANISM_ROW,W2_CONTINGENT_ONLY,METABOLIC_OR_SIGNAL_ENZYME,COMT methyl-transfer assay with SAM/Mg2+,LC-MS product plus orthogonal SAM turnover or direct binding,"substrate stability, redox/optical, active-species and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,2,5,5,2,3,0.3043478260869565,0.9847009735744088,0.6803531474874523,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.6641201376914978,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,3.0,127,True,5.6028046608,60.0,128,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
27,AHOUBRCZNHFOSL-YOEHRIQHSA-N,CHEMBL2431,paroxetine,AKT2,CHEMBL490,PAROXETINE,AHOUBRCZNHFOSL-YOEHRIQHSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,43815,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,NONE,R1_STANDARD,NO_PREDECLARED_R3_OR_R2_FLAG,0,NO_CHEMBL37_DRUG_MECHANISM_ROW,W2_CONTINGENT_ONLY,KINASE,AKT2 biochemical kinase assay at ATP near Km,NanoBRET/CETSA/direct binding with phospho-substrate readout,"AKT1/3, known drug targets, ATP shift, kinase panel and cytotoxicity",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,3,3,3,1,2,0.2058414464534075,0.9638386648122392,0.7579972183588317,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7245974540710449,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,9.0,105,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
28,BPKAHTKRCLCHEA-UBFJEZKGSA-N,CHEMBL2034,paricalcitol,NR3C1,CHEMBL1200622,PARICALCITOL,BPKAHTKRCLCHEA-UBFJEZKGSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,5281104,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,CLOGP_GT_5|BRENK_ALERT,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,1,Vitamin D receptor agonist,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR3C1 coregulator-recruitment concentration response,direct NR3C1 binding or cellular GR target engagement,"known receptor pharmacology, reporter interference, mock and viability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,6,6,6,3,3,0.0500695410292072,0.9868766404199476,0.9368070993907402,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.7413039803504944,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,4.0,141,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
29,HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL2034,levamlodipine,NR3C1,CHEMBL2111097,LEVAMLODIPINE,HTIQEAQVCYTUBX-KRWDZBQOSA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,9822750,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|ESTER_HYDROLYSIS_STABILITY_CONTROL|ENONE_ELECTROPHILE_CONTROL,R2_MODERATE_COUNTERASSAY,CHEMISTRY_OR_PROPERTY_ALERT,0,NO_CHEMBL37_DRUG_MECHANISM_ROW,W2_CONTINGENT_ONLY,NUCLEAR_RECEPTOR,NR3C1 coregulator-recruitment concentration response,direct NR3C1 binding or cellular GR target engagement,"known receptor pharmacology, reporter interference, mock and viability",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,W2_CONTINGENT_COMPUTATIONAL_READINESS_ONLY_PROCUREMENT_AND_ASSAY_NOT_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,4,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,2,5,5,2,3,0.0108695652173913,0.9608355091383812,0.94996594392099,HIGH_RANGE_GE_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.5901538729667664,2.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,33.0,141,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,W2_CONTINGENT_NOT_PROCUREMENT_OR_ASSAY_AUTHORIZED,HIGH_MODEL_PERCENTILE_RANGE_GE_0.50_PRIORITY_ORTHOGONAL_DISCRIMINATION,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
30,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL2039,selinexor,MAOB,CHEMBL3545185,SELINEXOR,DEVSOMFAQLZNKR-RJRFIUFISA-N,EXACT_FULL_INCHIKEY_MATCH,EXACT_NORMALIZED_NAME,IDENTITY_PRECHECK_PASS_NOT_PROCUREMENT_RELEASE,0,71481097,EXACT_FULL_INCHIKEY_MATCH,VENDOR_RECORD_INDICATOR_PRESENT_NOT_STOCK_VERIFIED,BRENK_ALERT|ENONE_ELECTROPHILE_CONTROL,R3_HIGH_SPECIAL_HANDLING,PREDECLARED_COMPOUND_SPECIFIC_R3,1,Exportin-1 inhibitor,VETO_NOT_AUTHORIZED,METABOLIC_OR_SIGNAL_ENZYME,MAOB amine-oxidation substrate-product assay,LC-MS product or direct MAOB binding/thermal shift,"MAOA, peroxide/redox, optical, detergent aggregation and no-enzyme controls",TEST_EXACT_FROZEN_ENTITY; NO_PREDECLARED_SEPARATE_ACTIVE_SPECIES,VETO_COMPUTATIONAL_AUDIT_ONLY_NO_PROCUREMENT_OR_ASSAY_AUTHORIZED,Two QC-valid independent curves <=10 uM plus nonidentical/direct orthogonal confirmation and required species/counterassay gates.,SEEDED_KNOWN_GRAPH_185,PRIMARY_RETROSPECTIVE_EXTERNAL_SUPPORT_KIRHUB,1,F4_DISTANT_OR_UNRESOLVED_KNOWN_TARGET,3,5,5,2,3,0.6304347826086957,0.9888734353268428,0.3584386527181471,LOWER_RANGE_LT_0.50,INTERNAL_EVIDENCE_OVERLAPS_WITH_SELECTION_NOT_INDEPENDENT_VALIDATION,Retain frozen rank 1-30; no V18 reranking.,True,0.788421630859375,3.0,CONSISTENT_MAIN_AND_MULTISEED_METADATA,1.0,147,False,,,0,NOT_RUN_OR_NOT_APPLICABLE,SELECTIVELY_COMPUTED_SUBSET_NOT_RANDOM_NEGATIVE_CONTROL_PANEL,NONE_IN_FROZEN_CHEMBL_BINDINGDB_AND_LITERATURE_AUDITS,YES_INTERNAL_DTA_OR_PHYSICAL_EVIDENCE_OVERLAPS_WITH_SELECTION,VETO_NO_PROCUREMENT_OR_ASSAY_AUTHORIZED,FROZEN_STANDARD_ORTHOGONAL_AND_COUNTERASSAY_ROUTE,"Identity/readiness/internal sensitivity audit only; no binding, efficacy, rank change or execution authorization beyond frozen wave."
